combo,fork,child,mean_crps,mae,coverage_10_90,coverage_25_75,n_cells,crps_reference,skill_vs_reference,backtest_seconds,inherited_choices,configuration_sha256
fitTime_refitAtPredict,analysis/03_models/03_candidate/a_hierNB/04_fitTime,b_refitAtPredict,22.82460798113208,27.3099730458221,0.7196765498652291,0.5876010781671159,371,22.098446493261456,-0.03286029577201521,108.2,5,79c68405dabed4244d00343f148e180607f5ae1eff4a9f06b5ccaa2f066898b1
covariates_rich,analysis/03_models/03_candidate/a_hierNB/02_covariates,b_rich,22.876748377358492,27.31266846361186,0.7035040431266847,0.568733153638814,371,22.098446493261456,-0.03521975557577606,41.8,5,fc07a5fcd82822f6dd9d4677bb8e025e51023c30bc2cba9c475607f165e5cf46
autoregressive_lag3,analysis/03_models/03_candidate/a_hierNB/05_autoregressive,b_lag3,23.344865676549865,27.241239892183287,0.7035040431266847,0.5876010781671159,371,22.098446493261456,-0.05640302288527321,36.2,5,b4ce8280b2897808825c54045025baa4441dd91534bc50bb2d527fd26d7c9202
covariates_lagged,analysis/03_models/03_candidate/a_hierNB/02_covariates,a_lagged,23.586162641509432,27.621293800539082,0.692722371967655,0.5822102425876011,371,22.098446493261456,-0.06732220514693776,36.8,5,3eec41eaa045c9bbb042ba24edc4d581c2c3cb6eb32b1f0aa8bd7a451eed0a74
main,-,the main path,23.697926164420487,27.568733153638814,0.7008086253369272,0.5822102425876011,371,22.098446493261456,-0.07237973364538375,36.4,0,28c7c617d5c26fa0f37f0c9601d690debc3ad9c05d63cb3e14512c16d385faf2
population_ignored,analysis/03_models/03_candidate/a_hierNB/03_population,c_ignored,23.722832668463607,27.544474393530997,0.7008086253369272,0.5822102425876011,371,22.098446493261456,-0.07350680400531684,35.1,5,4a4443476abd3c34c4e9ec74013df7bb52ac833a116df01f6991f11acb4829c1
yearVariance_shared,analysis/03_models/03_candidate/a_hierNB/06_yearVariance,a_shared,23.748895180592992,27.150943396226417,0.7142857142857143,0.5822102425876011,371,22.098446493261456,-0.07468618610067512,28.3,5,0ae5f49fe729d506082e1c1dc649421f85032a7b7ef0f687da1ae03ea2b2b96d
population_covariate,analysis/03_models/03_candidate/a_hierNB/03_population,b_covariate,23.87588850943396,27.63611859838275,0.6981132075471698,0.5849056603773585,371,22.098446493261456,-0.08043289453466795,35.7,5,92e9b7419697e5f98b4cba0653874d748a1d4747b94a8c6b0314d19e16189452
observation_zeroInflated,analysis/03_models/03_candidate/a_hierNB/01_observation,b_zeroInflated,24.129444142857142,27.450134770889488,0.7142857142857143,0.5956873315363881,371,22.098446493261456,-0.09190680667145568,34.9,5,bacb747e16412b9fea8b32d90084c50d802e447b1c956514852a3653adfc7317
observation_negBinomial,analysis/03_models/03_candidate/a_hierNB/01_observation,a_negBinomial,24.29871945013477,27.444743935309972,0.7115902964959568,0.5902964959568733,371,22.098446493261456,-0.09956686129698067,32.9,5,19a13494d0d567e97a4561b609451c2559e2b1c3cf7a54b733be4351e9ef91e6
