location,time_period,horizon_distance,metric,split_first_period
11001,201907,1,27.4566515743808,201907
11001,201908,1,41.575464232978334,201908
11001,201908,2,41.575464232978334,201907
11001,201909,1,64.78708705284171,201909
11001,201909,2,64.78708705284171,201908
11001,201909,3,64.78708705284171,201907
11001,201910,1,45.382924718600776,201910
11001,201910,2,45.382924718600776,201909
11001,201910,3,45.382924718600776,201908
11001,201911,2,24.66792980526472,201910
11001,201911,3,24.66792980526472,201909
11001,201912,3,15.828326750453037,201910
11002,201907,1,46.66352258879576,201907
11002,201908,1,47.24236343364779,201908
11002,201908,2,47.24236343364779,201907
11002,201909,1,70.54311386349201,201909
11002,201909,2,70.54311386349201,201908
11002,201909,3,70.54311386349201,201907
11002,201910,1,61.31508207211559,201910
11002,201910,2,61.31508207211559,201909
11002,201910,3,61.31508207211559,201908
11002,201911,2,55.84179314330706,201910
11002,201911,3,55.84179314330706,201909
11002,201912,3,51.93538059278734,201910
11003,201907,1,45.86833718163004,201907
11003,201908,1,51.52876913491701,201908
11003,201908,2,51.52876913491701,201907
11003,201909,1,68.86918813254113,201909
11003,201909,2,68.86918813254113,201908
11003,201909,3,68.86918813254113,201907
11003,201910,1,59.07999488261606,201910
11003,201910,2,59.07999488261606,201909
11003,201910,3,59.07999488261606,201908
11003,201911,2,43.10949530712966,201910
11003,201911,3,43.10949530712966,201909
11003,201912,3,39.944036564169295,201910
11004,201907,1,34.75999004965641,201907
11004,201908,1,47.838150582388835,201908
11004,201908,2,47.838150582388835,201907
11004,201909,1,62.89846183657201,201909
11004,201909,2,62.89846183657201,201908
11004,201909,3,62.89846183657201,201907
11004,201910,1,56.52760846933049,201910
11004,201910,2,56.52760846933049,201909
11004,201910,3,56.52760846933049,201908
11004,201911,2,47.28346358647812,201910
11004,201911,3,47.28346358647812,201909
11004,201912,3,37.51390420977216,201910
11005,201907,1,42.22673415429841,201907
11005,201908,1,40.22419001332119,201908
11005,201908,2,40.22419001332119,201907
11005,201909,1,64.49868476827828,201909
11005,201909,2,64.49868476827828,201908
11005,201909,3,64.49868476827828,201907
11005,201910,1,54.42788122564119,201910
11005,201910,2,54.42788122564119,201909
11005,201910,3,54.42788122564119,201908
11005,201911,2,51.7888064020446,201910
11005,201911,3,51.7888064020446,201909
11005,201912,3,40.260890466285105,201910
