location,time_period,horizon_distance,metric,split_first_period
LA-AT,200801,1,2.994936,200801
LA-AT,200802,2,1.180637,200801
LA-AT,200803,3,0.07362999999999997,200801
LA-AT,200804,1,0.3705400000000001,200804
LA-AT,200805,2,1.360458,200804
LA-AT,200806,3,3.7046270000000003,200804
LA-AT,200807,1,3.8293630000000007,200807
LA-AT,200808,2,6.792556999999995,200807
LA-AT,200809,3,16.362468999999997,200807
LA-AT,200810,1,29.978985,200810
LA-AT,200811,2,27.403232000000003,200810
LA-AT,200812,3,15.986059999999998,200810
LA-AT,200901,1,8.613442,200901
LA-AT,200902,2,39.208453999999996,200901
LA-AT,200903,3,57.608533,200901
LA-AT,200904,1,49.152201,200904
LA-AT,200905,2,47.221346,200904
LA-AT,200906,3,42.04286900000001,200904
LA-AT,200907,1,48.015692,200907
LA-AT,200908,2,14.664735999999998,200907
LA-AT,200909,3,10.443537999999997,200907
LA-AT,200910,1,7.340116999999999,200910
LA-AT,200911,2,5.627642,200910
LA-AT,200912,3,6.255277000000003,200910
LA-BK,200801,1,0.9389649999999999,200801
LA-BK,200802,2,0.00012099999999999958,200801
LA-BK,200803,3,2.499999999999985e-05,200801
LA-BK,200804,1,0.0033130000000000034,200804
LA-BK,200805,2,11.566531999999999,200804
LA-BK,200806,3,52.417476,200804
LA-BK,200807,1,2.1893770000000004,200807
LA-BK,200808,2,6.14176,200807
LA-BK,200809,3,21.54755499999999,200807
LA-BK,200810,1,19.029392,200810
LA-BK,200811,2,45.852339,200810
LA-BK,200812,3,2.7923380000000004,200810
LA-BK,200901,1,0.4525239999999999,200901
LA-BK,200902,2,0.2692000000000001,200901
LA-BK,200903,3,0.6661470000000003,200901
LA-BK,200904,1,1.2266969999999997,200904
LA-BK,200905,2,42.491918,200904
LA-BK,200906,3,148.19306,200904
LA-BK,200907,1,183.890999,200907
LA-BK,200908,2,89.309681,200907
LA-BK,200909,3,38.598743,200907
LA-BK,200910,1,21.479169999999996,200910
LA-BK,200911,2,10.821346000000002,200910
LA-BK,200912,3,4.727622000000002,200910
LA-BL,200801,1,5.200597,200801
LA-BL,200802,2,5.822369,200801
LA-BL,200803,3,0.4052119999999999,200801
LA-BL,200804,1,1.3963219999999996,200804
LA-BL,200805,2,5.285038999999999,200804
LA-BL,200806,3,5.930144000000002,200804
LA-BL,200807,1,19.050434000000003,200807
LA-BL,200808,2,19.738083000000003,200807
LA-BL,200809,3,17.531949000000004,200807
LA-BL,200810,1,9.004946,200810
LA-BL,200811,2,4.984496,200810
LA-BL,200812,3,1.1226060000000007,200810
LA-BL,200901,1,0.7274419999999999,200901
LA-BL,200902,2,1.7416799999999997,200901
LA-BL,200903,3,1.0297140000000002,200901
LA-BL,200904,1,0.765431,200904
LA-BL,200905,2,3.8402779999999987,200904
LA-BL,200906,3,5.923349999999999,200904
LA-BL,200907,1,21.295330999999997,200907
LA-BL,200908,2,5.511638999999995,200907
LA-BL,200909,3,4.5132580000000075,200907
LA-BL,200910,1,6.155729000000001,200910
LA-BL,200911,2,1.7664099999999996,200910
LA-BL,200912,3,0.7512749999999997,200910
LA-CH,200801,1,30.027025000000002,200801
LA-CH,200802,2,43.977796000000005,200801
LA-CH,200803,3,50.785791,200801
LA-CH,200804,1,22.434244999999997,200804
LA-CH,200805,2,49.116727999999995,200804
LA-CH,200806,3,105.40245100000004,200804
LA-CH,200807,1,99.05393400000003,200807
LA-CH,200808,2,87.724658,200807
LA-CH,200809,3,125.502949,200807
LA-CH,200810,1,47.246277000000006,200810
LA-CH,200811,2,33.11903199999999,200810
LA-CH,200812,3,29.649983000000002,200810
LA-CH,200901,1,9.539186999999998,200901
LA-CH,200902,2,26.702077000000003,200901
LA-CH,200903,3,21.083464999999997,200901
LA-CH,200904,1,37.214938,200904
LA-CH,200905,2,76.47650499999997,200904
LA-CH,200906,3,69.60127499999999,200904
LA-CH,200907,1,73.84317099999998,200907
LA-CH,200908,2,65.73187300000001,200907
LA-CH,200909,3,65.96774599999998,200907
LA-CH,200910,1,20.487376000000005,200910
LA-CH,200911,2,12.243082000000001,200910
LA-CH,200912,3,14.143599000000002,200910
LA-HO,200801,1,0.0015890000000000001,200801
LA-HO,200802,2,0.0011740000000000014,200801
LA-HO,200803,3,0.013313999999999993,200801
LA-HO,200804,1,0.0061169999999999974,200804
