location,time_period,horizon_distance,n_samples
LA-AT,200801,1,1000
LA-AT,200802,2,1000
LA-AT,200803,3,1000
LA-AT,200804,1,1000
LA-AT,200805,2,1000
LA-AT,200806,3,1000
LA-AT,200807,1,1000
LA-AT,200808,2,1000
LA-AT,200809,3,1000
LA-AT,200810,1,1000
LA-AT,200811,2,1000
LA-AT,200812,3,1000
LA-AT,200901,1,1000
LA-AT,200902,2,1000
LA-AT,200903,3,1000
LA-AT,200904,1,1000
LA-AT,200905,2,1000
LA-AT,200906,3,1000
LA-AT,200907,1,1000
LA-AT,200908,2,1000
LA-AT,200909,3,1000
LA-AT,200910,1,1000
LA-AT,200911,2,1000
LA-AT,200912,3,1000
LA-BK,200801,1,1000
LA-BK,200802,2,1000
LA-BK,200803,3,1000
LA-BK,200804,1,1000
LA-BK,200805,2,1000
LA-BK,200806,3,1000
LA-BK,200807,1,1000
LA-BK,200808,2,1000
LA-BK,200809,3,1000
LA-BK,200810,1,1000
LA-BK,200811,2,1000
LA-BK,200812,3,1000
LA-BK,200901,1,1000
LA-BK,200902,2,1000
LA-BK,200903,3,1000
LA-BK,200904,1,1000
LA-BK,200905,2,1000
LA-BK,200906,3,1000
LA-BK,200907,1,1000
LA-BK,200908,2,1000
LA-BK,200909,3,1000
LA-BK,200910,1,1000
LA-BK,200911,2,1000
LA-BK,200912,3,1000
LA-BL,200801,1,1000
LA-BL,200802,2,1000
LA-BL,200803,3,1000
LA-BL,200804,1,1000
LA-BL,200805,2,1000
LA-BL,200806,3,1000
LA-BL,200807,1,1000
LA-BL,200808,2,1000
LA-BL,200809,3,1000
LA-BL,200810,1,1000
LA-BL,200811,2,1000
LA-BL,200812,3,1000
LA-BL,200901,1,1000
LA-BL,200902,2,1000
LA-BL,200903,3,1000
LA-BL,200904,1,1000
LA-BL,200905,2,1000
LA-BL,200906,3,1000
LA-BL,200907,1,1000
LA-BL,200908,2,1000
LA-BL,200909,3,1000
LA-BL,200910,1,1000
LA-BL,200911,2,1000
LA-BL,200912,3,1000
LA-CH,200801,1,1000
LA-CH,200802,2,1000
LA-CH,200803,3,1000
LA-CH,200804,1,1000
LA-CH,200805,2,1000
LA-CH,200806,3,1000
LA-CH,200807,1,1000
LA-CH,200808,2,1000
LA-CH,200809,3,1000
LA-CH,200810,1,1000
LA-CH,200811,2,1000
LA-CH,200812,3,1000
LA-CH,200901,1,1000
LA-CH,200902,2,1000
LA-CH,200903,3,1000
LA-CH,200904,1,1000
LA-CH,200905,2,1000
LA-CH,200906,3,1000
LA-CH,200907,1,1000
LA-CH,200908,2,1000
LA-CH,200909,3,1000
LA-CH,200910,1,1000
LA-CH,200911,2,1000
LA-CH,200912,3,1000
LA-HO,200801,1,1000
LA-HO,200802,2,1000
LA-HO,200803,3,1000
LA-HO,200804,1,1000
LA-HO,200805,2,1000
LA-HO,200806,3,1000
LA-HO,200807,1,1000
LA-HO,200808,2,1000
LA-HO,200809,3,1000
LA-HO,200810,1,1000
LA-HO,200811,2,1000
LA-HO,200812,3,1000
LA-HO,200901,1,1000
LA-HO,200902,2,1000
LA-HO,200903,3,1000
LA-HO,200904,1,1000
LA-HO,200905,2,1000
LA-HO,200906,3,1000
LA-HO,200907,1,1000
LA-HO,200908,2,1000
LA-HO,200909,3,1000
LA-HO,200910,1,1000
LA-HO,200911,2,1000
LA-HO,200912,3,1000
LA-KH,200801,1,1000
LA-KH,200802,2,1000
LA-KH,200803,3,1000
LA-KH,200804,1,1000
LA-KH,200805,2,1000
LA-KH,200806,3,1000
LA-KH,200807,1,1000
LA-KH,200808,2,1000
LA-KH,200809,3,1000
LA-KH,200810,1,1000
LA-KH,200811,2,1000
LA-KH,200812,3,1000
LA-KH,200901,1,1000
LA-KH,200902,2,1000
LA-KH,200903,3,1000
LA-KH,200904,1,1000
LA-KH,200905,2,1000
LA-KH,200906,3,1000
LA-KH,200907,1,1000
LA-KH,200908,2,1000
LA-KH,200909,3,1000
LA-KH,200910,1,1000
LA-KH,200911,2,1000
LA-KH,200912,3,1000
LA-LM,200801,1,1000
LA-LM,200802,2,1000
LA-LM,200803,3,1000
LA-LM,200804,1,1000
LA-LM,200805,2,1000
LA-LM,200806,3,1000
LA-LM,200807,1,1000
LA-LM,200808,2,1000
LA-LM,200809,3,1000
LA-LM,200810,1,1000
LA-LM,200811,2,1000
LA-LM,200812,3,1000
LA-LM,200901,1,1000
LA-LM,200902,2,1000
LA-LM,200903,3,1000
LA-LM,200904,1,1000
LA-LM,200905,2,1000
LA-LM,200906,3,1000
LA-LM,200907,1,1000
LA-LM,200908,2,1000
LA-LM,200909,3,1000
LA-LM,200910,1,1000
LA-LM,200911,2,1000
LA-LM,200912,3,1000
LA-LP,200801,1,1000
LA-LP,200802,2,1000
LA-LP,200803,3,1000
LA-LP,200804,1,1000
LA-LP,200805,2,1000
LA-LP,200806,3,1000
LA-LP,200807,1,1000
LA-LP,200808,2,1000
LA-LP,200809,3,1000
LA-LP,200810,1,1000
LA-LP,200811,2,1000
LA-LP,200812,3,1000
LA-LP,200901,1,1000
LA-LP,200902,2,1000
LA-LP,200903,3,1000
LA-LP,200904,1,1000
LA-LP,200905,2,1000
LA-LP,200906,3,1000
LA-LP,200907,1,1000
LA-LP,200908,2,1000
LA-LP,200909,3,1000
LA-LP,200910,1,1000
LA-LP,200911,2,1000
LA-LP,200912,3,1000
LA-OU,200801,1,1000
LA-OU,200802,2,1000
LA-OU,200803,3,1000
LA-OU,200804,1,1000
LA-OU,200805,2,1000
LA-OU,200806,3,1000
LA-OU,200807,1,1000
LA-OU,200808,2,1000
LA-OU,200809,3,1000
LA-OU,200810,1,1000
LA-OU,200811,2,1000
LA-OU,200812,3,1000
LA-OU,200901,1,1000
LA-OU,200902,2,1000
LA-OU,200903,3,1000
LA-OU,200904,1,1000
LA-OU,200905,2,1000
LA-OU,200906,3,1000
LA-OU,200907,1,1000
LA-OU,200908,2,1000
LA-OU,200909,3,1000
LA-OU,200910,1,1000
LA-OU,200911,2,1000
LA-OU,200912,3,1000
LA-PH,200801,1,1000
LA-PH,200802,2,1000
LA-PH,200803,3,1000
LA-PH,200804,1,1000
LA-PH,200805,2,1000
LA-PH,200806,3,1000
LA-PH,200807,1,1000
LA-PH,200808,2,1000
LA-PH,200809,3,1000
LA-PH,200810,1,1000
LA-PH,200811,2,1000
LA-PH,200812,3,1000
LA-PH,200901,1,1000
LA-PH,200902,2,1000
LA-PH,200903,3,1000
LA-PH,200904,1,1000
LA-PH,200905,2,1000
LA-PH,200906,3,1000
LA-PH,200907,1,1000
LA-PH,200908,2,1000
LA-PH,200909,3,1000
LA-PH,200910,1,1000
LA-PH,200911,2,1000
LA-PH,200912,3,1000
LA-SL,200801,1,1000
LA-SL,200802,2,1000
LA-SL,200803,3,1000
LA-SL,200804,1,1000
LA-SL,200805,2,1000
LA-SL,200806,3,1000
LA-SL,200807,1,1000
LA-SL,200808,2,1000
LA-SL,200809,3,1000
LA-SL,200810,1,1000
LA-SL,200811,2,1000
LA-SL,200812,3,1000
LA-SL,200901,1,1000
LA-SL,200902,2,1000
LA-SL,200903,3,1000
LA-SL,200904,1,1000
LA-SL,200905,2,1000
LA-SL,200906,3,1000
LA-SL,200907,1,1000
LA-SL,200908,2,1000
LA-SL,200909,3,1000
LA-SL,200910,1,1000
LA-SL,200911,2,1000
LA-SL,200912,3,1000
LA-SV,200801,1,1000
LA-SV,200802,2,1000
LA-SV,200803,3,1000
LA-SV,200804,1,1000
LA-SV,200805,2,1000
LA-SV,200806,3,1000
LA-SV,200807,1,1000
LA-SV,200808,2,1000
LA-SV,200809,3,1000
LA-SV,200810,1,1000
LA-SV,200811,2,1000
LA-SV,200812,3,1000
LA-SV,200901,1,1000
LA-SV,200902,2,1000
LA-SV,200903,3,1000
LA-SV,200904,1,1000
LA-SV,200905,2,1000
LA-SV,200906,3,1000
LA-SV,200907,1,1000
LA-SV,200908,2,1000
LA-SV,200909,3,1000
LA-SV,200910,1,1000
LA-SV,200911,2,1000
LA-SV,200912,3,1000
LA-VT,200801,1,1000
LA-VT,200802,2,1000
LA-VT,200803,3,1000
LA-VT,200804,1,1000
LA-VT,200805,2,1000
LA-VT,200806,3,1000
LA-VT,200807,1,1000
LA-VT,200808,2,1000
LA-VT,200809,3,1000
LA-VT,200810,1,1000
