model,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
persistence,LA-AT,24,15.346857291666666,16.291666666666668,0.25,0.08333333333333333,566.0
persistence,LA-BK,24,38.44067654166667,39.125,0.16666666666666666,0.125,927.0
persistence,LA-BL,24,7.121955875,8.791666666666666,1.0,0.7916666666666666,228.0
persistence,LA-CH,24,41.619956125,56.708333333333336,0.875,0.3333333333333333,2431.0
persistence,LA-HO,24,0.3535625,0.4166666666666667,0.75,0.5833333333333334,6.0
persistence,LA-KH,24,43.7257775,50.583333333333336,0.7083333333333334,0.5,1056.0
persistence,LA-LM,24,0.4121275416666666,0.4583333333333333,0.7083333333333334,0.7083333333333334,23.0
persistence,LA-LP,24,91.59999908333333,104.5,0.4166666666666667,0.16666666666666666,1336.0
persistence,LA-OU,24,1.211563,1.25,0.7916666666666666,0.7916666666666666,53.0
persistence,LA-PH,11,0.0002807272727272715,0.0,1.0,1.0,0.0
persistence,LA-SL,24,58.60333916666667,61.583333333333336,0.041666666666666664,0.0,1455.0
persistence,LA-SV,24,12.685130541666666,9.25,1.0,0.9583333333333334,192.0
persistence,LA-VT,24,59.77715691666666,85.95833333333333,0.875,0.6666666666666666,3707.0
persistence,LA-XA,24,3.9521735833333334,4.291666666666667,1.0,0.625,125.0
persistence,LA-XE,24,2.9310691666666666,3.375,0.625,0.16666666666666666,102.0
persistence,LA-XI,24,6.811630875,6.833333333333333,0.625,0.625,84.0
