time_period,location,disease_cases,population,location_name,rainfall,mean_temperature,mean_relative_humidity
1993-01,TH-10,194,6539064,Bangkok,0.4197954684458011,26.144235234640288,61.76071503167882
1993-02,TH-10,159,6539064,Bangkok,0.1647784260190337,26.68158942807605,60.11405570819191
1993-03,TH-10,175,6539064,Bangkok,2.6768779920068817,28.33514298408945,71.43028241557813
1993-04,TH-10,130,6539064,Bangkok,1.3820802907242442,30.23333957610043,64.91437892353909
1993-05,TH-10,151,6539064,Bangkok,3.661058538112124,30.012884867147207,70.08274778917291
1993-06,TH-10,162,6539064,Bangkok,4.875167446142365,29.19281702916511,73.99237512349316
1993-07,TH-10,283,6539064,Bangkok,4.035621017504746,28.92401413417549,71.31037044097043
1993-08,TH-10,279,6539064,Bangkok,6.180156584351107,27.739924855564183,77.53626969146465
1993-09,TH-10,372,6539064,Bangkok,8.043845840033203,27.13274373213534,82.17159559059363
1993-10,TH-10,438,6539064,Bangkok,6.4407920122767575,26.53702517390551,81.44344559363331
1993-11,TH-10,434,6539064,Bangkok,0.3413018232534535,26.464048452000107,69.06842008854863
1993-12,TH-10,254,6539064,Bangkok,0.1829121438455995,24.63445985959306,56.95090403424964
1994-01,TH-10,127,6539064,Bangkok,0.0809743076175425,26.66887560612812,63.0711619329595
1994-02,TH-10,151,6539064,Bangkok,0.1869001242777503,28.7682357308527,65.50993823674902
1994-03,TH-10,132,6539064,Bangkok,3.3035933758750398,28.2672612539243,71.13226044585596
1994-04,TH-10,87,6539064,Bangkok,1.2053175116645254,30.399116378683008,65.58484673099414
1994-05,TH-10,138,6539064,Bangkok,6.732114916361762,29.200870541432707,74.57928501681687
1994-06,TH-10,153,6539064,Bangkok,9.060265162884718,27.84880688177809,80.0955871971246
1994-07,TH-10,253,6539064,Bangkok,5.557135704847651,27.34025231413444,80.37236309565084
1994-08,TH-10,277,6539064,Bangkok,6.818722505581142,27.19352739612045,81.05304680634137
1994-09,TH-10,173,6539064,Bangkok,7.343739159369976,27.16788887646657,82.24380642456742
1994-10,TH-10,147,6539064,Bangkok,3.270006697627975,26.0416753164243,76.92097362962775
1994-11,TH-10,109,6539064,Bangkok,0.4815489181323411,27.196481484808157,61.38436452210748
1994-12,TH-10,123,6539064,Bangkok,0.4237383166826704,26.646202854362897,59.599932424164784
1995-01,TH-10,85,6539064,Bangkok,0.661643758772705,26.154244948126,60.155210278715685
1995-02,TH-10,103,6539064,Bangkok,0.1829682686831256,26.779224822360067,64.52653499553983
1995-03,TH-10,70,6539064,Bangkok,1.3009826757490328,29.11588384712347,67.81379267268044
1995-04,TH-10,58,6539064,Bangkok,1.805107314815649,30.89081111345407,65.39893160875944
1995-05,TH-10,84,6539064,Bangkok,5.906063657965749,29.109563981115016,76.14964732396537
1995-06,TH-10,82,6539064,Bangkok,5.554536251666314,28.6666800089604,77.2802746888075
1995-07,TH-10,125,6539064,Bangkok,8.571808149059686,27.574873488191752,80.62558889190875
1995-08,TH-10,260,6539064,Bangkok,9.293153345290722,27.564859916398586,83.02709082866768
1995-09,TH-10,306,6539064,Bangkok,12.526260615649203,26.636153567156104,86.10720199421111
1995-10,TH-10,223,6539064,Bangkok,8.304783301403855,26.66324446926968,82.38985177466762
1995-11,TH-10,158,6539064,Bangkok,0.7008927787816703,26.694481643004348,65.80186856430906
1995-12,TH-10,106,6539064,Bangkok,0.1189059845682525,25.09049645475945,54.93232009246276
1996-01,TH-10,82,6539064,Bangkok,0.2751414715648831,25.979903358598943,62.9073197683826
1996-02,TH-10,69,6539064,Bangkok,0.8254889094522576,26.33097533535948,59.441196266006365
1996-03,TH-10,79,6539064,Bangkok,0.7001934134417892,28.70133572497725,69.30708195473188
1996-04,TH-10,51,6539064,Bangkok,4.618757152483938,29.41691747575628,71.93374770514471
1996-05,TH-10,73,6539064,Bangkok,6.191805391887698,28.38126939903457,80.32564647782011
1996-06,TH-10,199,6539064,Bangkok,8.019146239328755,28.02141534643889,81.57202198698238
1996-07,TH-10,160,6539064,Bangkok,5.78023142274055,27.758718886874505,80.03465414687712
1996-08,TH-10,232,6539064,Bangkok,5.855556862478178,27.74602028959924,80.23571539895786
1996-09,TH-10,237,6539064,Bangkok,12.45987572919256,26.842693407548705,84.79588789197854
1996-10,TH-10,260,6539064,Bangkok,6.154439609778383,26.693028322037428,82.52851051408778
1996-11,TH-10,305,6539064,Bangkok,3.092554995447175,26.222815772416187,76.5551332427319
1996-12,TH-10,234,6539064,Bangkok,0.0838799253496849,25.04775088538988,57.82018044012234
1997-01,TH-10,180,6539064,Bangkok,0.113804440846956,25.321444518051567,61.99642938147317
1997-02,TH-10,177,6539064,Bangkok,0.6526088335979003,27.64078775505217,64.96524426983004
1997-03,TH-10,183,6539064,Bangkok,1.2005367780794145,28.868087004488235,67.62449114082617
1997-04,TH-10,126,6539064,Bangkok,2.238161406593457,29.407896316807264,66.51862629184491
1997-05,TH-10,178,6539064,Bangkok,3.2145915722259915,30.03385916667401,67.38810777087723
1997-06,TH-10,255,6539064,Bangkok,2.302766058390077,30.20792309001261,64.22973387834405
1997-07,TH-10,402,6539064,Bangkok,4.399067442896257,28.5148105147414,72.5478997757914
1997-08,TH-10,967,6539064,Bangkok,6.89848021025022,27.691813562791488,78.81781729065327
1997-09,TH-10,1350,6539064,Bangkok,7.878355704167594,27.52580445520273,81.81607745072196
1997-10,TH-10,1729,6539064,Bangkok,4.515521040145181,27.282641331209952,81.6956867840056
1997-11,TH-10,2368,6539064,Bangkok,1.7330218114586418,27.01018138435646,73.64212997770794
1997-12,TH-10,1979,6539064,Bangkok,0.0408356163433624,27.46748274034786,61.3615010341382
1998-01,TH-10,1586,6539064,Bangkok,0.3116106710138008,28.087827748875103,65.14544960923598
1998-02,TH-10,1258,6539064,Bangkok,0.5329081615826823,29.12224792724981,68.15960982205077
1998-03,TH-10,1169,6539064,Bangkok,0.559352388043736,30.18106944613776,62.78747520757759
1998-04,TH-10,433,6539064,Bangkok,1.316591085355008,30.88688870027418,67.52557696981171
1998-05,TH-10,302,6539064,Bangkok,4.651634431326124,30.58927914068829,71.41721625571515
1998-06,TH-10,437,6539064,Bangkok,4.116844042661448,29.31801002114665,75.25491787683511
1998-07,TH-10,583,6539064,Bangkok,4.169166285597293,29.067300175584208,74.98895988133597
1998-08,TH-10,710,6539064,Bangkok,6.6519993203607575,28.26482568727477,78.651819677586
1998-09,TH-10,887,6539064,Bangkok,8.618677560325104,27.248457420427464,82.76212113846222
1998-10,TH-10,910,6539064,Bangkok,6.279481954786896,27.06363624133406,81.00897059179493
1998-11,TH-10,772,6539064,Bangkok,2.667920942236534,26.368329059541637,72.9639873494528
1998-12,TH-10,518,6539064,Bangkok,0.2928134848971772,25.78584263674076,61.45076760602493
1999-01,TH-10,466,6539064,Bangkok,0.8443800554154616,26.38275077093948,61.50557834669931
1999-02,TH-10,384,6539064,Bangkok,0.960618549881292,26.97674538081809,65.65378472747965
1999-03,TH-10,406,6539064,Bangkok,2.1722422136442967,29.119082597829067,66.1770448147216
1999-04,TH-10,263,6539064,Bangkok,7.251987007640801,28.41474017947933,77.96458790155194
1999-05,TH-10,374,6539064,Bangkok,7.318697000304789,27.473560290606464,82.95218680477487
1999-06,TH-10,654,6539064,Bangkok,5.258994275365349,27.46964105792326,80.30734984240942
1999-07,TH-10,611,6539064,Bangkok,6.286276085629576,27.934243169984175,76.59191565375727
1999-08,TH-10,554,6539064,Bangkok,6.344017280906261,27.30362657998764,81.09069229981277
1999-09,TH-10,383,6539064,Bangkok,7.382138822138753,27.2308801817954,81.38823194813044
1999-10,TH-10,312,6539064,Bangkok,7.759239988946622,26.380044524766365,84.04747243490559
