scope,location,covariate,n,min,p05,median,mean,p95,max,sd
overall,ALL,rainfall,2592,0.00258,0.17696,4.17607,5.3927,14.24993,25.10934,4.78888
overall,ALL,mean_temperature,2592,10.4488,16.66612,22.89469,22.3931,26.36343,29.69056,2.88878
overall,ALL,mean_relative_humidity,2592,43.0368,59.13584,80.62076,78.3363,90.8991,95.58612,10.41901
province,LA-AT,rainfall,144,0.00462,0.03628,4.73724,5.98653,15.93717,20.81133,5.46483
province,LA-AT,mean_temperature,144,19.63581,22.07126,23.94986,24.22459,26.72723,28.44118,1.46056
province,LA-AT,mean_relative_humidity,144,47.79878,53.99987,79.81706,76.13192,92.31647,93.9436,13.76201
province,LA-BK,rainfall,144,0.02199,0.1392,4.59391,5.88067,14.5165,22.5005,5.26247
province,LA-BK,mean_temperature,144,15.78298,18.79804,23.61271,22.94171,25.96489,28.22448,2.37506
province,LA-BK,mean_relative_humidity,144,43.0368,53.26321,80.79387,76.8512,90.56024,93.68801,12.16786
province,LA-BL,rainfall,144,0.19879,0.37781,3.74792,5.70989,14.49976,21.42957,5.21277
province,LA-BL,mean_temperature,144,14.06642,16.83262,23.21703,22.0143,25.05677,25.65036,2.65409
province,LA-BL,mean_relative_humidity,144,65.97081,68.1569,81.33622,80.24802,90.81913,92.8179,8.11604
province,LA-CH,rainfall,144,0.01336,0.05777,4.96379,6.02117,16.2485,19.15008,5.37816
province,LA-CH,mean_temperature,144,20.52698,22.98937,24.96735,25.30055,28.06245,29.69056,1.52338
province,LA-CH,mean_relative_humidity,144,47.70511,55.23428,79.96975,76.09755,90.90923,92.96435,13.28765
province,LA-HO,rainfall,144,0.12772,0.34425,3.45467,4.13682,9.62237,12.68307,3.40053
province,LA-HO,mean_temperature,144,10.4488,13.61441,20.78203,19.57825,23.35198,23.78353,3.30731
province,LA-HO,mean_relative_humidity,144,65.4852,70.18854,83.11203,81.30014,89.47083,92.33681,6.40456
province,LA-KH,rainfall,144,0.17395,0.32579,3.1856,5.45121,14.2924,21.10767,4.9639
province,LA-KH,mean_temperature,144,15.26057,17.83844,23.65007,22.72311,25.77701,26.65409,2.54111
province,LA-KH,mean_relative_humidity,144,64.29693,68.65911,78.87981,79.62453,90.367,92.20077,7.9242
province,LA-LM,rainfall,144,0.03343,0.21128,4.00122,4.9338,11.63193,16.82837,4.04618
province,LA-LM,mean_temperature,144,13.98762,16.72972,22.14313,21.29743,24.14965,25.6789,2.51013
province,LA-LM,mean_relative_humidity,144,44.31312,52.88225,80.35627,77.15663,90.31001,93.07327,11.581
province,LA-LP,rainfall,144,0.01377,0.16315,3.50346,4.29142,10.8717,16.16847,3.86825
province,LA-LP,mean_temperature,144,13.85966,16.57951,22.36117,21.35599,24.31422,25.02371,2.55085
province,LA-LP,mean_relative_humidity,144,55.23466,60.35654,79.61531,77.92976,89.97869,94.09479,9.83994
province,LA-OU,rainfall,144,0.01273,0.23694,3.67765,4.61527,11.84992,17.28145,4.04858
province,LA-OU,mean_temperature,144,14.06983,17.09919,22.3528,21.54963,24.50541,25.74107,2.47987
province,LA-OU,mean_relative_humidity,144,48.9987,56.26112,80.10314,77.15416,90.43045,93.31398,10.80268
province,LA-PH,rainfall,144,0.03307,0.32996,4.37957,5.64513,14.48001,17.34071,4.74216
province,LA-PH,mean_temperature,144,12.46995,14.8727,21.58789,20.27362,23.43294,24.43367,2.94369
province,LA-PH,mean_relative_humidity,144,52.29686,61.47761,81.81272,80.32059,91.20916,94.10354,9.53252
province,LA-SL,rainfall,144,0.10851,0.46584,4.58661,5.40628,13.2458,18.14096,4.38996
province,LA-SL,mean_temperature,144,18.04062,20.52217,24.24992,24.01984,26.44062,28.07483,1.805
province,LA-SL,mean_relative_humidity,144,57.54613,63.28582,80.16383,77.9407,89.78353,91.68718,9.46491
province,LA-SV,rainfall,144,0.08012,0.14783,3.225,4.88562,13.76704,16.67142,4.53313
province,LA-SV,mean_temperature,144,17.83502,20.35363,24.93449,24.40478,27.36527,28.78256,2.16057
province,LA-SV,mean_relative_humidity,144,59.11715,64.77877,76.83625,77.22615,89.15367,91.02412,8.73458
province,LA-VI,rainfall,144,0.01878,0.11805,4.59171,6.05108,15.09237,17.90256,5.47269
province,LA-VI,mean_temperature,144,17.47764,19.57006,23.91244,23.40222,26.25601,27.08574,1.94501
province,LA-VI,mean_relative_humidity,144,54.27487,59.65238,79.80003,77.8832,91.10408,91.87023,11.03534
province,LA-VT,rainfall,144,0.00258,0.02588,3.41815,5.69773,15.4186,17.1248,5.52273
province,LA-VT,mean_temperature,144,18.88195,21.24025,25.77033,25.21998,28.31729,29.48628,2.08447
province,LA-VT,mean_relative_humidity,144,52.73806,56.93997,74.22927,73.97001,88.67513,89.61321,11.87677
province,LA-XA,rainfall,144,0.00797,0.11487,4.13051,5.21114,12.44234,15.28308,4.46864
province,LA-XA,mean_temperature,144,16.54847,19.03045,23.36107,22.84392,25.59696,26.77722,1.98075
province,LA-XA,mean_relative_humidity,144,51.48123,56.18183,78.68555,76.49009,90.02939,91.8416,11.41196
province,LA-XE,rainfall,144,0.31593,0.91259,5.83653,6.17297,12.65019,23.2517,4.10681
province,LA-XE,mean_temperature,144,15.78331,17.99249,21.78813,21.27733,23.43644,24.44535,1.73107
province,LA-XE,mean_relative_humidity,144,61.87446,69.70663,84.2595,82.15354,90.17779,92.09419,6.73813
province,LA-XI,rainfall,144,0.05839,0.225,3.88957,4.4802,11.0453,17.41149,3.90805
province,LA-XI,mean_temperature,144,11.7334,14.34708,20.48116,19.42334,22.25662,22.93083,2.63977
province,LA-XI,mean_relative_humidity,144,62.70687,68.25859,82.46028,80.74919,90.87897,93.24083,7.87602
province,LA-XN,rainfall,144,0.03032,0.1953,4.66912,6.49172,16.57483,25.10934,5.89853
province,LA-XN,mean_temperature,144,15.38336,17.43073,21.95174,21.22528,23.46708,24.31761,1.90261
province,LA-XN,mean_relative_humidity,144,60.96587,66.51867,82.10177,80.82599,93.16674,95.58612,9.69609
