location,location_name,time_period,year,month
LA-PH,Phongsaly,2008-01,2008,1
LA-PH,Phongsaly,2008-02,2008,2
LA-PH,Phongsaly,2008-03,2008,3
LA-PH,Phongsaly,2008-04,2008,4
LA-PH,Phongsaly,2008-05,2008,5
LA-PH,Phongsaly,2008-06,2008,6
LA-PH,Phongsaly,2008-07,2008,7
LA-PH,Phongsaly,2008-08,2008,8
LA-PH,Phongsaly,2008-09,2008,9
LA-PH,Phongsaly,2008-10,2008,10
LA-PH,Phongsaly,2008-11,2008,11
LA-PH,Phongsaly,2008-12,2008,12
LA-PH,Phongsaly,2009-08,2009,8
LA-VI,Vientiane,1998-01,1998,1
LA-VI,Vientiane,1998-02,1998,2
LA-VI,Vientiane,1998-03,1998,3
LA-VI,Vientiane,1998-04,1998,4
LA-VI,Vientiane,1998-05,1998,5
LA-VI,Vientiane,1998-06,1998,6
LA-VI,Vientiane,1998-07,1998,7
LA-VI,Vientiane,1998-08,1998,8
LA-VI,Vientiane,1998-09,1998,9
LA-VI,Vientiane,1998-10,1998,10
LA-VI,Vientiane,1998-11,1998,11
LA-VI,Vientiane,1998-12,1998,12
LA-VI,Vientiane,1999-01,1999,1
LA-VI,Vientiane,1999-02,1999,2
LA-VI,Vientiane,1999-03,1999,3
LA-VI,Vientiane,1999-04,1999,4
LA-VI,Vientiane,1999-05,1999,5
LA-VI,Vientiane,1999-06,1999,6
LA-VI,Vientiane,1999-07,1999,7
LA-VI,Vientiane,1999-08,1999,8
LA-VI,Vientiane,1999-09,1999,9
LA-VI,Vientiane,1999-10,1999,10
LA-VI,Vientiane,1999-11,1999,11
LA-VI,Vientiane,1999-12,1999,12
LA-VI,Vientiane,2000-01,2000,1
LA-VI,Vientiane,2000-02,2000,2
LA-VI,Vientiane,2000-03,2000,3
LA-VI,Vientiane,2000-04,2000,4
LA-VI,Vientiane,2000-05,2000,5
LA-VI,Vientiane,2000-06,2000,6
LA-VI,Vientiane,2000-07,2000,7
LA-VI,Vientiane,2000-08,2000,8
LA-VI,Vientiane,2000-09,2000,9
LA-VI,Vientiane,2000-10,2000,10
LA-VI,Vientiane,2000-11,2000,11
LA-VI,Vientiane,2000-12,2000,12
LA-VI,Vientiane,2001-01,2001,1
LA-VI,Vientiane,2001-02,2001,2
LA-VI,Vientiane,2001-03,2001,3
LA-VI,Vientiane,2001-04,2001,4
LA-VI,Vientiane,2001-05,2001,5
LA-VI,Vientiane,2001-06,2001,6
LA-VI,Vientiane,2001-07,2001,7
LA-VI,Vientiane,2001-08,2001,8
LA-VI,Vientiane,2001-09,2001,9
LA-VI,Vientiane,2001-10,2001,10
LA-VI,Vientiane,2001-11,2001,11
LA-VI,Vientiane,2001-12,2001,12
LA-VI,Vientiane,2002-01,2002,1
LA-VI,Vientiane,2002-02,2002,2
LA-VI,Vientiane,2002-03,2002,3
LA-VI,Vientiane,2002-04,2002,4
LA-VI,Vientiane,2002-05,2002,5
LA-VI,Vientiane,2002-06,2002,6
LA-VI,Vientiane,2002-07,2002,7
LA-VI,Vientiane,2002-08,2002,8
LA-VI,Vientiane,2002-09,2002,9
LA-VI,Vientiane,2002-10,2002,10
LA-VI,Vientiane,2002-11,2002,11
LA-VI,Vientiane,2002-12,2002,12
LA-VI,Vientiane,2003-01,2003,1
LA-VI,Vientiane,2003-02,2003,2
LA-VI,Vientiane,2003-03,2003,3
LA-VI,Vientiane,2003-04,2003,4
LA-VI,Vientiane,2003-05,2003,5
LA-VI,Vientiane,2003-06,2003,6
LA-VI,Vientiane,2003-07,2003,7
LA-VI,Vientiane,2003-08,2003,8
LA-VI,Vientiane,2003-09,2003,9
LA-VI,Vientiane,2003-10,2003,10
LA-VI,Vientiane,2003-11,2003,11
LA-VI,Vientiane,2003-12,2003,12
LA-VI,Vientiane,2004-01,2004,1
LA-VI,Vientiane,2004-02,2004,2
LA-VI,Vientiane,2004-03,2004,3
LA-VI,Vientiane,2004-04,2004,4
LA-VI,Vientiane,2004-05,2004,5
LA-VI,Vientiane,2004-06,2004,6
LA-VI,Vientiane,2004-07,2004,7
LA-VI,Vientiane,2004-08,2004,8
LA-VI,Vientiane,2004-09,2004,9
LA-VI,Vientiane,2004-10,2004,10
LA-VI,Vientiane,2004-11,2004,11
LA-VI,Vientiane,2004-12,2004,12
LA-VI,Vientiane,2005-01,2005,1
LA-VI,Vientiane,2005-02,2005,2
LA-VI,Vientiane,2005-03,2005,3
LA-VI,Vientiane,2005-04,2005,4
LA-VI,Vientiane,2005-05,2005,5
LA-VI,Vientiane,2005-06,2005,6
LA-VI,Vientiane,2005-07,2005,7
LA-VI,Vientiane,2005-08,2005,8
LA-VI,Vientiane,2005-09,2005,9
LA-VI,Vientiane,2005-10,2005,10
LA-VI,Vientiane,2005-11,2005,11
LA-VI,Vientiane,2005-12,2005,12
LA-VI,Vientiane,2006-01,2006,1
LA-VI,Vientiane,2006-02,2006,2
LA-VI,Vientiane,2006-03,2006,3
LA-VI,Vientiane,2006-04,2006,4
LA-VI,Vientiane,2006-05,2006,5
LA-VI,Vientiane,2006-06,2006,6
LA-VI,Vientiane,2006-07,2006,7
LA-VI,Vientiane,2006-08,2006,8
LA-VI,Vientiane,2006-09,2006,9
LA-VI,Vientiane,2006-10,2006,10
LA-VI,Vientiane,2006-11,2006,11
LA-VI,Vientiane,2006-12,2006,12
LA-VI,Vientiane,2007-01,2007,1
LA-VI,Vientiane,2007-02,2007,2
LA-VI,Vientiane,2007-03,2007,3
LA-VI,Vientiane,2007-04,2007,4
LA-VI,Vientiane,2007-05,2007,5
LA-VI,Vientiane,2007-06,2007,6
LA-VI,Vientiane,2007-07,2007,7
LA-VI,Vientiane,2007-08,2007,8
LA-VI,Vientiane,2007-09,2007,9
LA-VI,Vientiane,2007-10,2007,10
LA-VI,Vientiane,2007-11,2007,11
LA-VI,Vientiane,2007-12,2007,12
LA-VI,Vientiane,2008-01,2008,1
LA-VI,Vientiane,2008-02,2008,2
LA-VI,Vientiane,2008-03,2008,3
LA-VI,Vientiane,2008-04,2008,4
LA-VI,Vientiane,2008-05,2008,5
LA-VI,Vientiane,2008-06,2008,6
LA-VI,Vientiane,2008-07,2008,7
LA-VI,Vientiane,2008-08,2008,8
LA-VI,Vientiane,2008-09,2008,9
LA-VI,Vientiane,2008-10,2008,10
LA-VI,Vientiane,2008-11,2008,11
LA-VI,Vientiane,2008-12,2008,12
LA-VI,Vientiane,2009-01,2009,1
LA-VI,Vientiane,2009-02,2009,2
LA-VI,Vientiane,2009-03,2009,3
LA-VI,Vientiane,2009-04,2009,4
LA-VI,Vientiane,2009-05,2009,5
LA-VI,Vientiane,2009-06,2009,6
LA-VI,Vientiane,2009-07,2009,7
LA-VI,Vientiane,2009-08,2009,8
LA-VI,Vientiane,2009-09,2009,9
LA-VI,Vientiane,2009-10,2009,10
LA-VI,Vientiane,2009-11,2009,11
LA-VI,Vientiane,2009-12,2009,12
LA-XE,Xekong,2007-03,2007,3
LA-XE,Xekong,2007-04,2007,4
LA-XE,Xekong,2007-11,2007,11
LA-XE,Xekong,2007-12,2007,12
LA-XN,Xaisomboun,2006-01,2006,1
LA-XN,Xaisomboun,2006-02,2006,2
LA-XN,Xaisomboun,2006-03,2006,3
LA-XN,Xaisomboun,2006-04,2006,4
LA-XN,Xaisomboun,2006-05,2006,5
LA-XN,Xaisomboun,2006-06,2006,6
LA-XN,Xaisomboun,2006-07,2006,7
LA-XN,Xaisomboun,2006-08,2006,8
LA-XN,Xaisomboun,2006-09,2006,9
LA-XN,Xaisomboun,2006-10,2006,10
LA-XN,Xaisomboun,2006-11,2006,11
