location,location_name,population,cells_observed,cells_missing,total_cases,mean_cases,median_cases,max_cases,zero_months,zero_share,first_nonzero_period,last_nonzero_period,cases_per_100k_per_year
LA-VT,Vientiane Capital,960194,144,0,28768,199.778,109.0,1660,0,0.0,1998-01,2009-12,249.67
LA-SV,Savannakhet,719887,144,0,16821,116.812,10.5,2643,29,0.2014,1998-04,2009-12,194.72
LA-CH,Champasak,586946,144,0,12055,83.715,49.5,438,13,0.0903,1998-01,2009-12,171.15
LA-KH,Khammouane,325633,144,0,4800,33.333,0.0,597,73,0.5069,1998-01,2009-12,122.84
LA-BL,Bolikhamsai,304188,144,0,4305,29.896,12.0,312,17,0.1181,1998-02,2009-12,117.94
LA-LP,Luang Prabang,231328,144,0,3531,24.521,5.0,313,36,0.25,1998-01,2009-11,127.2
LA-XA,Xaignabouli,265717,144,0,2553,17.729,1.0,348,52,0.3611,1998-01,2009-11,80.07
LA-SL,Salavan,289512,144,0,1846,12.819,0.0,226,89,0.6181,1998-01,2009-12,53.14
LA-BK,Bokeo,88893,144,0,1004,6.972,0.0,216,95,0.6597,1999-10,2009-12,94.12
LA-AT,Attapeu,100456,144,0,857,5.951,0.0,199,104,0.7222,1998-08,2009-12,71.09
LA-XE,Xekong,86599,140,4,191,1.364,0.0,29,95,0.6786,1998-02,2009-12,18.9
LA-XI,Xiangkhouang,148858,144,0,88,0.611,0.0,39,136,0.9444,1999-09,2009-08,4.93
LA-OU,Oudomxay,195084,144,0,72,0.5,0.0,18,128,0.8889,1998-08,2009-12,3.08
LA-XN,Xaisomboun,53171,96,48,58,0.604,0.0,32,90,0.9375,1998-08,2005-12,13.64
LA-LM,Luang Namtha,118364,144,0,42,0.292,0.0,6,129,0.8958,1999-04,2009-12,2.96
LA-HO,Houaphan,97424,144,0,36,0.25,0.0,6,125,0.8681,1999-09,2009-12,3.08
LA-PH,Phongsaly,40280,131,13,4,0.031,0.0,4,130,0.9924,2004-09,2004-09,0.91
LA-VI,Vientiane,348542,0,144,0,,,0,0,,-,-,
