covariate,lag_months,provinces_used,mean_spearman,median_spearman,min_spearman,max_spearman,provinces_positive
rainfall,0,17,0.2609,0.209,-0.0216,0.5708,16
rainfall,1,17,0.3188,0.2414,0.0457,0.7103,17
rainfall,2,17,0.2885,0.2585,0.0064,0.7596,17
rainfall,3,17,0.1782,0.1496,0.0209,0.5395,17
rainfall,4,17,0.0148,-0.0017,-0.1613,0.2034,8
rainfall,5,17,-0.1558,-0.1386,-0.3962,0.1021,2
rainfall,6,17,-0.2949,-0.2291,-0.6215,0.0358,1
mean_temperature,0,17,0.1109,0.0758,-0.1504,0.4123,14
mean_temperature,1,17,0.2525,0.1764,-0.0972,0.584,16
mean_temperature,2,17,0.3228,0.2808,-0.0297,0.6362,16
mean_temperature,3,17,0.3211,0.305,0.0114,0.7221,17
mean_temperature,4,17,0.2132,0.1694,-0.0542,0.6031,16
mean_temperature,5,17,0.0833,0.0861,-0.1356,0.2984,14
mean_temperature,6,17,-0.0746,-0.0783,-0.3783,0.115,5
mean_relative_humidity,0,17,0.3076,0.2572,0.0337,0.6416,17
mean_relative_humidity,1,17,0.3187,0.262,0.0799,0.7308,17
mean_relative_humidity,2,17,0.2233,0.1916,0.0002,0.6409,17
mean_relative_humidity,3,17,0.0643,0.0604,-0.1258,0.3319,12
mean_relative_humidity,4,17,-0.0951,-0.0643,-0.3446,0.0993,4
mean_relative_humidity,5,17,-0.2469,-0.219,-0.5172,0.0627,2
mean_relative_humidity,6,17,-0.3292,-0.2423,-0.6607,-0.0148,0
