scope,location,month,mean_cases,median_cases,total_cases,cells_observed,mean_rainfall,mean_mean_temperature,mean_mean_relative_humidity
national,ALL,1,5.794,0.0,1153.0,199,0.544,19.028,68.375
national,ALL,2,4.729,0.0,941.0,199,0.853,21.136,65.003
national,ALL,3,6.162,0.0,1220.0,198,1.963,23.478,65.649
national,ALL,4,7.793,0.0,1543.0,198,3.993,24.749,74.029
national,ALL,5,23.965,0.0,4769.0,199,8.903,24.09,83.471
national,ALL,6,43.332,1.0,8623.0,199,9.305,24.136,86.842
national,ALL,7,82.141,2.0,16346.0,199,11.419,23.743,88.479
national,ALL,8,74.722,2.0,14795.0,198,11.808,23.539,89.544
national,ALL,9,59.985,1.0,11937.0,199,9.366,23.132,88.121
national,ALL,10,40.126,1.0,7985.0,199,4.283,22.53,83.179
national,ALL,11,21.737,0.0,4304.0,198,1.579,20.539,75.397
national,ALL,12,17.247,0.0,3415.0,198,0.695,18.617,71.945
province,LA-AT,1,1.833,0.0,22.0,12,0.153,23.138,58.827
province,LA-AT,2,4.25,0.0,51.0,12,0.373,24.904,54.399
province,LA-AT,3,6.417,0.0,77.0,12,1.753,26.268,60.006
province,LA-AT,4,8.417,0.0,101.0,12,3.348,26.61,69.819
province,LA-AT,5,0.583,0.0,7.0,12,9.013,25.148,82.884
province,LA-AT,6,3.333,0.0,40.0,12,9.855,24.387,88.305
province,LA-AT,7,6.5,0.0,78.0,12,13.124,23.847,90.011
province,LA-AT,8,3.417,0.5,41.0,12,13.697,23.641,91.073
province,LA-AT,9,7.833,0.0,94.0,12,11.814,23.479,90.716
province,LA-AT,10,21.167,0.0,254.0,12,5.817,23.71,84.625
province,LA-AT,11,4.917,0.0,59.0,12,2.34,23.184,75.222
province,LA-AT,12,2.75,0.0,33.0,12,0.551,22.379,67.697
province,LA-BK,1,0.25,0.0,3.0,12,0.822,19.309,69.206
province,LA-BK,2,0.083,0.0,1.0,12,0.87,21.744,60.203
province,LA-BK,3,0.167,0.0,2.0,12,1.64,24.423,57.118
province,LA-BK,4,0.333,0.0,4.0,12,4.33,25.835,67.824
province,LA-BK,5,7.333,0.0,88.0,12,10.255,24.687,81.996
province,LA-BK,6,22.833,0.5,274.0,12,11.013,24.548,87.061
province,LA-BK,7,19.0,1.5,228.0,12,13.498,24.148,88.714
province,LA-BK,8,10.917,0.0,131.0,12,12.589,24.113,88.943
province,LA-BK,9,8.75,0.5,105.0,12,9.252,23.875,87.709
province,LA-BK,10,8.25,2.0,99.0,12,4.397,23.183,84.106
province,LA-BK,11,5.0,0.0,60.0,12,1.281,20.778,76.251
province,LA-BK,12,0.75,0.0,9.0,12,0.62,18.657,73.083
province,LA-BL,1,3.417,2.0,41.0,12,0.466,17.713,70.977
province,LA-BL,2,4.0,2.5,48.0,12,1.104,19.854,72.02
province,LA-BL,3,6.5,3.5,78.0,12,1.906,22.472,73.469
province,LA-BL,4,6.667,5.5,80.0,12,3.614,24.351,78.732
province,LA-BL,5,34.083,15.5,409.0,12,9.162,24.03,85.592
province,LA-BL,6,35.75,22.5,429.0,12,10.503,24.26,88.617
province,LA-BL,7,68.167,75.5,818.0,12,12.58,24.023,89.283
province,LA-BL,8,66.333,51.0,796.0,12,13.106,23.797,90.482
province,LA-BL,9,74.25,55.0,891.0,12,10.157,23.407,87.731
province,LA-BL,10,33.583,25.5,403.0,12,4.157,22.652,80.908
province,LA-BL,11,19.583,13.5,235.0,12,1.181,20.059,73.307
province,LA-BL,12,6.417,1.5,77.0,12,0.58,17.553,71.859
province,LA-CH,1,21.833,13.5,262.0,12,0.172,24.145,59.332
province,LA-CH,2,31.833,17.5,382.0,12,0.465,26.027,55.07
province,LA-CH,3,43.667,30.0,524.0,12,2.114,27.497,60.236
province,LA-CH,4,36.833,24.0,442.0,12,3.798,27.689,70.318
province,LA-CH,5,85.083,65.5,1021.0,12,8.899,26.235,82.343
province,LA-CH,6,131.333,129.0,1576.0,12,9.901,25.54,87.399
province,LA-CH,7,154.083,178.0,1849.0,12,12.684,25.055,89.051
province,LA-CH,8,166.0,145.5,1992.0,12,13.757,24.797,90.006
province,LA-CH,9,129.0,121.5,1548.0,12,11.845,24.55,90.213
province,LA-CH,10,96.333,87.0,1156.0,12,5.923,24.62,85.655
province,LA-CH,11,51.167,36.5,614.0,12,2.232,24.077,75.962
province,LA-CH,12,57.417,28.5,689.0,12,0.462,23.376,67.585
province,LA-HO,1,0.083,0.0,1.0,12,0.572,14.326,75.903
province,LA-HO,2,0.083,0.0,1.0,12,0.865,16.646,74.277
province,LA-HO,3,0.083,0.0,1.0,12,1.872,19.587,73.515
province,LA-HO,4,0.083,0.0,1.0,12,3.638,21.695,79.044
province,LA-HO,5,0.0,0.0,0.0,12,7.264,22.111,84.203
province,LA-HO,6,0.5,0.0,6.0,12,6.866,23.067,85.749
province,LA-HO,7,0.833,0.0,10.0,12,8.37,22.796,87.38
province,LA-HO,8,0.0,0.0,0.0,12,8.507,22.381,89.1
province,LA-HO,9,0.583,0.0,7.0,12,6.934,21.393,86.504
province,LA-HO,10,0.25,0.0,3.0,12,3.26,19.863,84.183
province,LA-HO,11,0.083,0.0,1.0,12,0.94,16.872,78.119
province,LA-HO,12,0.417,0.0,5.0,12,0.555,14.201,77.625
province,LA-KH,1,6.083,0.0,73.0,12,0.378,18.684,70.856
province,LA-KH,2,0.583,0.0,7.0,12,0.903,20.736,70.496
province,LA-KH,3,0.833,0.0,10.0,12,1.801,23.383,71.572
province,LA-KH,4,0.583,0.0,7.0,12,3.101,25.226,75.771
province,LA-KH,5,7.667,0.5,92.0,12,8.435,24.767,83.957
province,LA-KH,6,33.417,7.0,401.0,12,9.71,24.879,87.468
province,LA-KH,7,109.417,34.0,1313.0,12,11.748,24.522,88.72
province,LA-KH,8,124.417,43.0,1493.0,12,12.295,24.251,89.923
province,LA-KH,9,73.833,11.5,886.0,12,10.443,23.781,87.932
province,LA-KH,10,21.917,6.0,263.0,12,4.442,23.13,81.095
province,LA-KH,11,8.417,2.0,101.0,12,1.544,20.82,74.511
province,LA-KH,12,12.833,0.0,154.0,12,0.614,18.499,73.193
province,LA-LM,1,0.0,0.0,0.0,12,0.984,17.417,69.687
province,LA-LM,2,0.0,0.0,0.0,12,1.094,19.713,61.222
province,LA-LM,3,0.417,0.0,5.0,12,1.824,22.367,58.768
province,LA-LM,4,0.167,0.0,2.0,12,4.133,23.873,69.58
province,LA-LM,5,0.0,0.0,0.0,12,8.359,23.206,81.606
province,LA-LM,6,0.167,0.0,2.0,12,8.283,23.375,86.304
province,LA-LM,7,0.333,0.0,4.0,12,11.078,22.898,88.735
province,LA-LM,8,0.25,0.0,3.0,12,10.131,22.889,88.972
province,LA-LM,9,0.333,0.0,4.0,12,7.334,22.516,86.928
province,LA-LM,10,0.833,0.0,10.0,12,3.86,21.532,84.09
province,LA-LM,11,0.667,0.0,8.0,12,1.408,18.962,76.384
province,LA-LM,12,0.333,0.0,4.0,12,0.718,16.822,73.603
province,LA-LP,1,0.5,0.0,6.0,12,0.524,17.367,69.596
province,LA-LP,2,2.333,0.0,28.0,12,0.706,19.711,65.234
province,LA-LP,3,2.417,0.0,29.0,12,1.55,22.279,64.551
province,LA-LP,4,3.667,0.5,44.0,12,3.453,23.672,74.216
province,LA-LP,5,14.167,3.0,170.0,12,6.886,23.396,82.105
province,LA-LP,6,28.0,9.0,336.0,12,7.487,23.643,85.606
province,LA-LP,7,34.333,29.0,412.0,12,10.206,23.17,88.325
province,LA-LP,8,41.333,30.0,496.0,12,9.753,23.037,89.369
province,LA-LP,9,69.083,26.5,829.0,12,6.829,22.534,87.428
province,LA-LP,10,38.25,18.5,459.0,12,2.804,21.545,82.942
province,LA-LP,11,24.417,10.5,293.0,12,0.79,19.062,73.952
province,LA-LP,12,35.75,2.5,429.0,12,0.507,16.855,71.832
province,LA-OU,1,0.0,0.0,0.0,12,0.784,17.765,68.99
province,LA-OU,2,0.0,0.0,0.0,12,0.819,20.094,62.578
province,LA-OU,3,0.0,0.0,0.0,12,1.671,22.661,61.081
province,LA-OU,4,0.0,0.0,0.0,12,3.811,24.057,71.486
