dataset,split,train_set_last_period,historic_first,historic_last,historic_months,predicted_first,predicted_last,predicted_months
development,0,2007-12,1998-01,2007-12,120,2008-01,2008-03,3
development,1,2007-12,1998-01,2008-03,123,2008-04,2008-06,3
development,2,2007-12,1998-01,2008-06,126,2008-07,2008-09,3
development,3,2007-12,1998-01,2008-09,129,2008-10,2008-12,3
development,4,2007-12,1998-01,2008-12,132,2009-01,2009-03,3
development,5,2007-12,1998-01,2009-03,135,2009-04,2009-06,3
development,6,2007-12,1998-01,2009-06,138,2009-07,2009-09,3
development,7,2007-12,1998-01,2009-09,141,2009-10,2009-12,3
synthetic full calendar (phase-E arrangement),0,2009-12,1998-01,2009-12,144,2010-01,2010-03,3
synthetic full calendar (phase-E arrangement),1,2009-12,1998-01,2010-03,147,2010-04,2010-06,3
synthetic full calendar (phase-E arrangement),2,2009-12,1998-01,2010-06,150,2010-07,2010-09,3
synthetic full calendar (phase-E arrangement),3,2009-12,1998-01,2010-09,153,2010-10,2010-12,3
