location,location_name,year,cells_observed,zero_months,total_cases,zero_share
LA-AT,Attapeu,1998,12,11,1,0.9167
LA-AT,Attapeu,1999,12,11,2,0.9167
LA-AT,Attapeu,2000,12,12,0,1.0
LA-AT,Attapeu,2001,12,12,0,1.0
LA-AT,Attapeu,2002,12,11,2,0.9167
LA-AT,Attapeu,2003,12,10,4,0.8333
LA-AT,Attapeu,2004,12,11,4,0.9167
LA-AT,Attapeu,2005,12,7,17,0.5833
LA-AT,Attapeu,2006,12,8,244,0.6667
LA-AT,Attapeu,2007,12,8,17,0.6667
LA-AT,Attapeu,2008,12,2,174,0.1667
LA-AT,Attapeu,2009,12,1,392,0.0833
LA-BK,Bokeo,1998,12,12,0,1.0
LA-BK,Bokeo,1999,12,11,6,0.9167
LA-BK,Bokeo,2000,12,12,0,1.0
LA-BK,Bokeo,2001,12,7,7,0.5833
LA-BK,Bokeo,2002,12,8,5,0.6667
LA-BK,Bokeo,2003,12,7,29,0.5833
LA-BK,Bokeo,2004,12,9,3,0.75
LA-BK,Bokeo,2005,12,7,12,0.5833
LA-BK,Bokeo,2006,12,7,14,0.5833
LA-BK,Bokeo,2007,12,11,1,0.9167
LA-BK,Bokeo,2008,12,3,218,0.25
LA-BK,Bokeo,2009,12,1,709,0.0833
LA-BL,Bolikhamsai,1998,12,3,501,0.25
LA-BL,Bolikhamsai,1999,12,1,329,0.0833
LA-BL,Bolikhamsai,2000,12,3,78,0.25
LA-BL,Bolikhamsai,2001,12,7,162,0.5833
LA-BL,Bolikhamsai,2002,12,0,480,0.0
LA-BL,Bolikhamsai,2003,12,0,1075,0.0
LA-BL,Bolikhamsai,2004,12,0,457,0.0
LA-BL,Bolikhamsai,2005,12,0,461,0.0
LA-BL,Bolikhamsai,2006,12,0,300,0.0
LA-BL,Bolikhamsai,2007,12,0,234,0.0
LA-BL,Bolikhamsai,2008,12,0,166,0.0
LA-BL,Bolikhamsai,2009,12,3,62,0.25
LA-CH,Champasak,1998,12,1,1062,0.0833
LA-CH,Champasak,1999,12,4,91,0.3333
LA-CH,Champasak,2000,12,4,33,0.3333
LA-CH,Champasak,2001,12,4,140,0.3333
LA-CH,Champasak,2002,12,0,1696,0.0
LA-CH,Champasak,2003,12,0,991,0.0
LA-CH,Champasak,2004,12,0,1012,0.0
LA-CH,Champasak,2005,12,0,1807,0.0
LA-CH,Champasak,2006,12,0,1411,0.0
LA-CH,Champasak,2007,12,0,1381,0.0
LA-CH,Champasak,2008,12,0,1537,0.0
LA-CH,Champasak,2009,12,0,894,0.0
LA-HO,Houaphan,1998,12,12,0,1.0
LA-HO,Houaphan,1999,12,11,3,0.9167
LA-HO,Houaphan,2000,12,11,1,0.9167
LA-HO,Houaphan,2001,12,12,0,1.0
LA-HO,Houaphan,2002,12,9,9,0.75
LA-HO,Houaphan,2003,12,11,2,0.9167
LA-HO,Houaphan,2004,12,11,6,0.9167
LA-HO,Houaphan,2005,12,10,5,0.8333
LA-HO,Houaphan,2006,12,9,3,0.75
LA-HO,Houaphan,2007,12,11,1,0.9167
LA-HO,Houaphan,2008,12,10,2,0.8333
LA-HO,Houaphan,2009,12,8,4,0.6667
LA-KH,Khammouane,1998,12,5,320,0.4167
LA-KH,Khammouane,1999,12,12,0,1.0
LA-KH,Khammouane,2000,12,12,0,1.0
LA-KH,Khammouane,2001,12,11,1,0.9167
LA-KH,Khammouane,2002,12,6,202,0.5
LA-KH,Khammouane,2003,12,0,1791,0.0
LA-KH,Khammouane,2004,12,5,70,0.4167
LA-KH,Khammouane,2005,12,2,646,0.1667
LA-KH,Khammouane,2006,12,5,541,0.4167
LA-KH,Khammouane,2007,12,6,173,0.5
LA-KH,Khammouane,2008,12,6,16,0.5
LA-KH,Khammouane,2009,12,3,1040,0.25
LA-LM,Luang Namtha,1998,12,12,0,1.0
LA-LM,Luang Namtha,1999,12,11,1,0.9167
LA-LM,Luang Namtha,2000,12,11,3,0.9167
LA-LM,Luang Namtha,2001,12,12,0,1.0
LA-LM,Luang Namtha,2002,12,11,1,0.9167
LA-LM,Luang Namtha,2003,12,10,5,0.8333
LA-LM,Luang Namtha,2004,12,11,5,0.9167
LA-LM,Luang Namtha,2005,12,11,2,0.9167
LA-LM,Luang Namtha,2006,12,11,2,0.9167
LA-LM,Luang Namtha,2007,12,12,0,1.0
LA-LM,Luang Namtha,2008,12,12,0,1.0
LA-LM,Luang Namtha,2009,12,5,23,0.4167
LA-LP,Luang Prabang,1998,12,3,198,0.25
LA-LP,Luang Prabang,1999,12,0,179,0.0
LA-LP,Luang Prabang,2000,12,4,38,0.3333
LA-LP,Luang Prabang,2001,12,2,206,0.1667
LA-LP,Luang Prabang,2002,12,5,155,0.4167
LA-LP,Luang Prabang,2003,12,7,472,0.5833
LA-LP,Luang Prabang,2004,12,4,202,0.3333
LA-LP,Luang Prabang,2005,12,1,510,0.0833
LA-LP,Luang Prabang,2006,12,0,134,0.0
LA-LP,Luang Prabang,2007,12,3,101,0.25
LA-LP,Luang Prabang,2008,12,1,700,0.0833
LA-LP,Luang Prabang,2009,12,6,636,0.5
LA-OU,Oudomxay,1998,12,11,3,0.9167
LA-OU,Oudomxay,1999,12,12,0,1.0
LA-OU,Oudomxay,2000,12,12,0,1.0
LA-OU,Oudomxay,2001,12,10,2,0.8333
LA-OU,Oudomxay,2002,12,12,0,1.0
LA-OU,Oudomxay,2003,12,11,1,0.9167
LA-OU,Oudomxay,2004,12,12,0,1.0
LA-OU,Oudomxay,2005,12,12,0,1.0
LA-OU,Oudomxay,2006,12,7,11,0.5833
LA-OU,Oudomxay,2007,12,10,2,0.8333
LA-OU,Oudomxay,2008,12,12,0,1.0
LA-OU,Oudomxay,2009,12,7,53,0.5833
LA-PH,Phongsaly,1998,12,12,0,1.0
LA-PH,Phongsaly,1999,12,12,0,1.0
LA-PH,Phongsaly,2000,12,12,0,1.0
LA-PH,Phongsaly,2001,12,12,0,1.0
LA-PH,Phongsaly,2002,12,12,0,1.0
LA-PH,Phongsaly,2003,12,12,0,1.0
LA-PH,Phongsaly,2004,12,11,4,0.9167
LA-PH,Phongsaly,2005,12,12,0,1.0
LA-PH,Phongsaly,2006,12,12,0,1.0
LA-PH,Phongsaly,2007,12,12,0,1.0
LA-PH,Phongsaly,2008,0,0,0,
LA-PH,Phongsaly,2009,11,11,0,1.0
LA-SL,Salavan,1998,12,10,8,0.8333
LA-SL,Salavan,1999,12,12,0,1.0
LA-SL,Salavan,2000,12,12,0,1.0
LA-SL,Salavan,2001,12,11,1,0.9167
LA-SL,Salavan,2002,12,10,3,0.8333
LA-SL,Salavan,2003,12,5,29,0.4167
LA-SL,Salavan,2004,12,10,3,0.8333
LA-SL,Salavan,2005,12,9,4,0.75
LA-SL,Salavan,2006,12,4,247,0.3333
