dataset,split,train_set_last_period,historic_first,historic_last,historic_months,predicted_first,predicted_last,predicted_months
tha,0,2007-12,1998-01,2007-12,120,2008-01,2008-03,3
tha,1,2007-12,1998-01,2008-03,123,2008-04,2008-06,3
tha,2,2007-12,1998-01,2008-06,126,2008-07,2008-09,3
tha,3,2007-12,1998-01,2008-09,129,2008-10,2008-12,3
tha,4,2007-12,1998-01,2008-12,132,2009-01,2009-03,3
tha,5,2007-12,1998-01,2009-03,135,2009-04,2009-06,3
tha,6,2007-12,1998-01,2009-06,138,2009-07,2009-09,3
tha,7,2007-12,1998-01,2009-09,141,2009-10,2009-12,3
thaFinal,0,2009-12,1998-01,2009-12,144,2010-01,2010-03,3
thaFinal,1,2009-12,1998-01,2010-03,147,2010-04,2010-06,3
thaFinal,2,2009-12,1998-01,2010-06,150,2010-07,2010-09,3
thaFinal,3,2009-12,1998-01,2010-09,153,2010-10,2010-12,3
vnm,0,2007-12,1998-01,2007-12,120,2008-01,2008-03,3
vnm,1,2007-12,1998-01,2008-03,123,2008-04,2008-06,3
vnm,2,2007-12,1998-01,2008-06,126,2008-07,2008-09,3
vnm,3,2007-12,1998-01,2008-09,129,2008-10,2008-12,3
vnm,4,2007-12,1998-01,2008-12,132,2009-01,2009-03,3
vnm,5,2007-12,1998-01,2009-03,135,2009-04,2009-06,3
vnm,6,2007-12,1998-01,2009-06,138,2009-07,2009-09,3
vnm,7,2007-12,1998-01,2009-09,141,2009-10,2009-12,3
vnmFinal,0,2009-12,1998-01,2009-12,144,2010-01,2010-03,3
vnmFinal,1,2009-12,1998-01,2010-03,147,2010-04,2010-06,3
vnmFinal,2,2009-12,1998-01,2010-06,150,2010-07,2010-09,3
vnmFinal,3,2009-12,1998-01,2010-09,153,2010-10,2010-12,3
