model,location,time_period,horizon_distance,crps,abs_error,in_10_90,in_25_75,observed,split_first_period,n_samples
climatology,TH-10,201001,1,81.67820700000001,66.0,1.0,1.0,198.0,201001,1000
climatology,TH-10,201002,2,82.78534199999999,76.0,1.0,1.0,172.0,201001,1000
climatology,TH-10,201003,3,78.88860599999998,69.0,1.0,1.0,171.0,201001,1000
climatology,TH-10,201004,1,57.04329299999998,45.5,1.0,1.0,132.0,201004,1000
climatology,TH-10,201005,2,54.426124000000016,20.5,1.0,1.0,97.0,201004,1000
climatology,TH-10,201006,3,83.06876699999998,2.0,1.0,1.0,162.0,201004,1000
climatology,TH-10,201007,1,118.50856199999998,134.0,1.0,1.0,295.0,201007,1000
climatology,TH-10,201008,2,130.10945499999997,194.0,1.0,1.0,411.0,201007,1000
climatology,TH-10,201009,3,122.04433300000002,234.5,1.0,1.0,406.0,201007,1000
climatology,TH-10,201010,1,127.35425599999999,193.0,1.0,1.0,458.0,201010,1000
climatology,TH-10,201011,2,118.75331000000003,133.5,1.0,1.0,386.0,201010,1000
climatology,TH-10,201012,3,84.672755,66.0,1.0,1.0,234.0,201010,1000
climatology,TH-11,201001,1,12.968904000000002,16.0,1.0,1.0,45.0,201001,1000
climatology,TH-11,201002,2,14.513953,17.0,1.0,1.0,39.0,201001,1000
climatology,TH-11,201003,3,18.141962,22.5,1.0,1.0,54.0,201001,1000
climatology,TH-11,201004,1,8.653570000000002,3.5,1.0,1.0,24.0,201004,1000
climatology,TH-11,201005,2,11.876016,14.5,1.0,1.0,23.0,201004,1000
climatology,TH-11,201006,3,20.81536,35.0,1.0,1.0,28.0,201004,1000
climatology,TH-11,201007,1,14.460096,10.0,1.0,1.0,48.0,201007,1000
climatology,TH-11,201008,2,16.345971999999996,6.0,1.0,1.0,72.0,201007,1000
climatology,TH-11,201009,3,16.805683000000002,30.5,1.0,1.0,74.0,201007,1000
climatology,TH-11,201010,1,16.219792,24.5,1.0,0.0,74.0,201010,1000
climatology,TH-11,201011,2,8.966733000000001,2.0,1.0,1.0,58.0,201010,1000
climatology,TH-11,201012,3,8.885784,10.5,1.0,1.0,36.0,201010,1000
climatology,TH-12,201001,1,15.949365,22.0,1.0,1.0,45.0,201001,1000
climatology,TH-12,201002,2,16.232245000000002,27.0,1.0,1.0,44.0,201001,1000
