model,location,time_period,horizon_distance,crps,abs_error,in_10_90,in_25_75,observed,split_first_period,n_samples
climatology,VN-01,200801,1,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-01,200802,2,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-01,200803,3,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-01,200804,1,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-01,200805,2,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-01,200806,3,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-01,200807,1,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-01,200808,2,0.020000000000000018,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-01,200809,3,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-01,200810,1,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-01,200811,2,0.010000000000000009,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-01,200812,3,0.010000000000000009,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-01,200901,1,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-01,200902,2,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-01,200903,3,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-01,200904,1,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-01,200905,2,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-01,200906,3,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-01,200907,1,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-01,200908,2,0.016561999999999993,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-01,200909,3,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-01,200910,1,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-01,200911,2,0.008280999999999997,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-01,200912,3,0.008280999999999997,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-02,200801,1,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-02,200802,2,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-02,200803,3,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-02,200804,1,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-02,200805,2,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-02,200806,3,0.010000000000000009,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-02,200807,1,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-02,200808,2,0.010000000000000009,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-02,200809,3,0.06,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-02,200810,1,0.02999999999999997,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-02,200811,2,0.010000000000000009,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-02,200812,3,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-02,200901,1,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-02,200902,2,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-02,200903,3,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-02,200904,1,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-02,200905,2,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-02,200906,3,0.008280999999999997,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-02,200907,1,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-02,200908,2,0.008280999999999997,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-02,200909,3,0.04968600000000001,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-02,200910,1,0.02484300000000003,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-02,200911,2,0.008280999999999997,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-02,200912,3,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-03,200801,1,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-03,200802,2,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-03,200803,3,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-03,200804,1,0.020000000000000018,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-03,200805,2,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-03,200806,3,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-03,200807,1,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-03,200808,2,0.1399999999999999,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-03,200809,3,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-03,200810,1,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-03,200811,2,0.010000000000000009,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-03,200812,3,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-03,200901,1,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-03,200902,2,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-03,200903,3,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-03,200904,1,0.016561999999999993,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-03,200905,2,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-03,200906,3,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-03,200907,1,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-03,200908,2,0.11593399999999998,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-03,200909,3,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-03,200910,1,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-03,200911,2,0.008280999999999997,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-03,200912,3,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-04,200801,1,0.040000000000000036,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-04,200802,2,0.05999999999999994,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-04,200803,3,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-04,200804,1,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-04,200805,2,0.26000000000000023,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-04,200806,3,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-04,200807,1,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-04,200808,2,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-04,200809,3,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-04,200810,1,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-04,200811,2,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-04,200812,3,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-04,200901,1,0.03312399999999999,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-04,200902,2,0.04968600000000006,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-04,200903,3,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-04,200904,1,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-04,200905,2,0.215306,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-04,200906,3,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-04,200907,1,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-04,200908,2,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-04,200909,3,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-04,200910,1,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-04,200911,2,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-04,200912,3,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-05,200801,1,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-05,200802,2,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-05,200803,3,0.07,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-05,200804,1,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-05,200805,2,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-05,200806,3,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-05,200807,1,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-05,200808,2,0.010000000000000009,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-05,200809,3,0.19999999999999996,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-05,200810,1,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-05,200811,2,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-05,200812,3,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-05,200901,1,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-05,200902,2,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-05,200903,3,0.05796699999999999,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-05,200904,1,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-05,200905,2,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-05,200906,3,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-05,200907,1,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-05,200908,2,0.008280999999999997,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-05,200909,3,0.1656200000000001,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-05,200910,1,8.0,8.0,0.0,0.0,8.0,200910,1000
climatology,VN-05,200911,2,3.0,3.0,0.0,0.0,3.0,200910,1000
climatology,VN-05,200912,3,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-06,200801,1,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-06,200802,2,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-06,200803,3,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-06,200804,1,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-06,200805,2,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-06,200806,3,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-06,200807,1,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-06,200808,2,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-06,200809,3,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-06,200810,1,0.010000000000000009,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-06,200811,2,0.04000000000000001,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-06,200812,3,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-06,200901,1,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-06,200902,2,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-06,200903,3,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-06,200904,1,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-06,200905,2,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-06,200906,3,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-06,200907,1,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-06,200908,2,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-06,200909,3,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-06,200910,1,0.008280999999999997,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-06,200911,2,0.03312399999999999,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-06,200912,3,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-07,200801,1,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-07,200802,2,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-07,200803,3,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-07,200804,1,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-07,200805,2,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-07,200806,3,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-07,200807,1,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-07,200808,2,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-07,200809,3,0.0,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-07,200810,1,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-07,200811,2,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-07,200812,3,0.0,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-07,200901,1,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-07,200902,2,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-07,200903,3,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-07,200904,1,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-07,200905,2,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-07,200906,3,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-07,200907,1,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-07,200908,2,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-07,200909,3,0.0,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-07,200910,1,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-07,200911,2,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-07,200912,3,0.0,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-09,200801,1,0.07,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-09,200802,2,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-09,200803,3,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-09,200804,1,0.0,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-09,200805,2,0.04000000000000001,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-09,200806,3,0.010000000000000009,0.0,1.0,1.0,0.0,200804,1000
climatology,VN-09,200807,1,0.010000000000000009,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-09,200808,2,0.09,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-09,200809,3,0.10999999999999999,0.0,1.0,1.0,0.0,200807,1000
climatology,VN-09,200810,1,0.10999999999999999,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-09,200811,2,0.36,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-09,200812,3,0.15000000000000013,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-09,200901,1,0.05796699999999999,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-09,200902,2,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-09,200903,3,0.0,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-09,200904,1,0.0,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-09,200905,2,0.03312399999999999,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-09,200906,3,0.008280999999999997,0.0,1.0,1.0,0.0,200904,1000
climatology,VN-09,200907,1,0.008280999999999997,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-09,200908,2,0.07452900000000001,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-09,200909,3,0.09109100000000003,0.0,1.0,1.0,0.0,200907,1000
climatology,VN-09,200910,1,0.09109100000000003,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-09,200911,2,0.29811600000000005,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-09,200912,3,0.12421499999999985,0.0,1.0,1.0,0.0,200910,1000
climatology,VN-13,200801,1,0.71,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-13,200802,2,0.33000000000000007,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-13,200803,3,1.02,0.0,1.0,1.0,0.0,200801,1000
climatology,VN-13,200804,1,1.83,1.5,1.0,1.0,0.0,200804,1000
climatology,VN-13,200805,2,5.4399999999999995,4.0,1.0,1.0,0.0,200804,1000
climatology,VN-13,200806,3,13.16,13.0,1.0,1.0,0.0,200804,1000
climatology,VN-13,200807,1,5.18,5.0,1.0,1.0,0.0,200807,1000
climatology,VN-13,200808,2,3.33,2.0,1.0,1.0,0.0,200807,1000
climatology,VN-13,200809,3,5.639999999999999,2.0,1.0,0.0,0.0,200807,1000
climatology,VN-13,200810,1,9.329999999999998,3.0,1.0,1.0,0.0,200810,1000
climatology,VN-13,200811,2,7.030000000000001,1.0,1.0,1.0,0.0,200810,1000
climatology,VN-13,200812,3,1.1,0.0,1.0,1.0,0.0,200810,1000
climatology,VN-13,200901,1,0.5879510000000003,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-13,200902,2,0.2732730000000001,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-13,200903,3,0.844662,0.0,1.0,1.0,0.0,200901,1000
climatology,VN-13,200904,1,1.5143320000000005,1.0,1.0,1.0,2.0,200904,1000
climatology,VN-13,200905,2,4.230499999999999,1.0,1.0,1.0,1.0,200904,1000
climatology,VN-13,200906,3,10.525795000000002,7.0,1.0,1.0,2.0,200904,1000
