model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
climatology,unweighted,LA-AT,24,21.906170375000002,23.583333333333332,0.20833333333333334,0.125,566.0
climatology,unweighted,LA-BK,24,36.6274375,38.416666666666664,0.25,0.20833333333333334,927.0
climatology,unweighted,LA-BL,24,12.361217125000001,19.770833333333332,0.7083333333333334,0.5,228.0
climatology,unweighted,LA-CH,24,38.36997479166667,49.708333333333336,0.75,0.5416666666666666,2431.0
climatology,unweighted,LA-HO,24,0.20207233333333333,0.25,0.9166666666666666,0.8333333333333334,6.0
climatology,unweighted,LA-KH,24,31.59191566666667,43.729166666666664,0.75,0.5833333333333334,1056.0
climatology,unweighted,LA-LM,24,0.9015427083333334,0.9583333333333334,0.75,0.7083333333333334,23.0
climatology,unweighted,LA-LP,24,43.227911541666664,49.5,0.5833333333333334,0.4583333333333333,1336.0
climatology,unweighted,LA-OU,24,2.148529625,2.2083333333333335,0.8333333333333334,0.7916666666666666,53.0
climatology,unweighted,LA-PH,11,0.0036363636363636364,0.0,1.0,1.0,0.0
climatology,unweighted,LA-SL,24,52.09655854166667,60.416666666666664,0.125,0.08333333333333333,1455.0
climatology,unweighted,LA-SV,24,43.52257779166666,62.5,0.7916666666666666,0.5833333333333334,192.0
climatology,unweighted,LA-VT,24,80.17909370833333,107.14583333333333,0.5833333333333334,0.4583333333333333,3707.0
climatology,unweighted,LA-XA,24,5.902487666666667,7.4375,0.9583333333333334,0.7916666666666666,125.0
climatology,unweighted,LA-XE,24,3.6882480833333333,4.208333333333333,0.5833333333333334,0.4583333333333333,102.0
climatology,unweighted,LA-XI,24,3.480641875,3.5,0.7916666666666666,0.7916666666666666,84.0
ensemble,unweighted,LA-AT,24,16.488447333333333,23.25,0.5416666666666666,0.4166666666666667,566.0
ensemble,unweighted,LA-BK,24,29.063302625000002,38.125,0.7083333333333334,0.5833333333333334,927.0
ensemble,unweighted,LA-BL,24,6.998584791666667,6.125,1.0,0.7916666666666666,228.0
ensemble,unweighted,LA-CH,24,37.50516033333333,45.9375,1.0,0.75,2431.0
ensemble,unweighted,LA-HO,24,0.19763687499999996,0.25,1.0,0.9166666666666666,6.0
ensemble,unweighted,LA-KH,24,29.389750083333336,39.375,0.9166666666666666,0.75,1056.0
ensemble,unweighted,LA-LM,24,0.6109383333333332,0.9583333333333334,0.8333333333333334,0.7916666666666666,23.0
ensemble,unweighted,LA-LP,24,43.47567441666666,51.604166666666664,0.6666666666666666,0.5833333333333334,1336.0
ensemble,unweighted,LA-OU,24,1.52265925,2.2083333333333335,0.9166666666666666,0.8333333333333334,53.0
ensemble,unweighted,LA-PH,11,0.020283181818181773,0.0,1.0,1.0,0.0
ensemble,unweighted,LA-SL,24,40.58728033333333,57.708333333333336,0.5833333333333334,0.5416666666666666,1455.0
ensemble,unweighted,LA-SV,24,15.775381999999995,9.5,1.0,0.875,192.0
ensemble,unweighted,LA-VT,24,58.62097691666667,73.22916666666667,1.0,0.7916666666666666,3707.0
ensemble,unweighted,LA-XA,24,4.1155025,3.0,1.0,0.9583333333333334,125.0
ensemble,unweighted,LA-XE,24,3.034777875,4.083333333333333,0.7916666666666666,0.6666666666666666,102.0
ensemble,unweighted,LA-XI,24,3.4821105416666662,3.5,0.9166666666666666,0.875,84.0
hier_nb,unweighted,LA-AT,24,21.840270750000002,23.583333333333332,0.20833333333333334,0.125,566.0
hier_nb,unweighted,LA-BK,24,37.50427466666667,38.625,0.20833333333333334,0.20833333333333334,927.0
hier_nb,unweighted,LA-BL,24,8.4282305,9.291666666666666,0.9583333333333334,0.625,228.0
hier_nb,unweighted,LA-CH,24,54.07770158333333,77.125,0.75,0.3333333333333333,2431.0
hier_nb,unweighted,LA-HO,24,0.2299645,0.25,0.875,0.75,6.0
hier_nb,unweighted,LA-KH,24,32.482350249999996,43.166666666666664,0.75,0.6666666666666666,1056.0
hier_nb,unweighted,LA-LM,24,0.8877277499999999,0.9583333333333334,0.75,0.7083333333333334,23.0
hier_nb,unweighted,LA-LP,24,43.35385233333333,50.25,0.5833333333333334,0.5416666666666666,1336.0
hier_nb,unweighted,LA-OU,24,2.129109,2.2083333333333335,0.8333333333333334,0.8333333333333334,53.0
hier_nb,unweighted,LA-PH,11,0.0004862727272727001,0.0,1.0,1.0,0.0
hier_nb,unweighted,LA-SL,24,55.089677583333334,60.458333333333336,0.125,0.041666666666666664,1455.0
hier_nb,unweighted,LA-SV,24,20.586637666666668,12.166666666666666,1.0,0.75,192.0
hier_nb,unweighted,LA-VT,24,77.99117308333332,97.45833333333333,0.875,0.7083333333333334,3707.0
hier_nb,unweighted,LA-XA,24,4.839831083333333,2.875,1.0,1.0,125.0
hier_nb,unweighted,LA-XE,24,3.4353990833333334,4.25,0.6666666666666666,0.4583333333333333,102.0
hier_nb,unweighted,LA-XI,24,3.4540192500000004,3.5,0.7916666666666666,0.7916666666666666,84.0
persistence,unweighted,LA-AT,24,15.346857291666666,16.291666666666668,0.25,0.08333333333333333,566.0
