model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
hier_nb,unweighted,1,124,22.88074565322581
hier_nb,unweighted,2,123,25.608534544715447
hier_nb,unweighted,3,124,29.80716362903226
persistence,unweighted,1,124,16.426420161290324
persistence,unweighted,2,123,24.763161593495933
persistence,unweighted,3,124,33.44749620161291
reference,unweighted,1,124,16.5393660766129
reference,unweighted,2,123,21.96890907317073
reference,unweighted,3,124,27.786019673387095
reference_r1,unweighted,1,124,16.408711258064514
reference_r1,unweighted,2,123,21.96262679674797
reference_r1,unweighted,3,124,27.381238540322578
reference_r2,unweighted,1,124,16.581343500000003
reference_r2,unweighted,2,123,22.148328357723578
reference_r2,unweighted,3,124,28.08524212903226
reference_r3,unweighted,1,124,16.7268215
reference_r3,unweighted,2,123,22.049273739837396
reference_r3,unweighted,3,124,28.375731927419356
reference_r4,unweighted,1,124,16.44058804838709
reference_r4,unweighted,2,123,21.715407398373983
reference_r4,unweighted,3,124,27.301866096774194
