model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,608,16.44029045394737
climatology,unweighted,2,608,16.511953565789472
climatology,unweighted,3,608,16.101400381578948
ensemble,unweighted,1,608,11.169995108552632
ensemble,unweighted,2,608,12.652983996710526
ensemble,unweighted,3,608,13.73929275493421
persistence,unweighted,1,608,8.79719091611842
persistence,unweighted,2,608,14.543109190789473
persistence,unweighted,3,608,21.984526315789473
reference,unweighted,1,608,12.11617691118421
reference,unweighted,2,608,14.065338965460526
reference,unweighted,3,608,14.89862693832237
reference_r1,unweighted,1,608,12.112542763157895
reference_r1,unweighted,2,608,14.054408422697367
reference_r1,unweighted,3,608,14.96927050657895
reference_r2,unweighted,1,608,12.111717006578948
reference_r2,unweighted,2,608,14.064598715460528
reference_r2,unweighted,3,608,14.862712764802632
reference_r3,unweighted,1,608,12.122539486842106
reference_r3,unweighted,2,608,14.105340386513157
reference_r3,unweighted,3,608,14.863769639802632
reference_r4,unweighted,1,608,12.117908388157895
reference_r4,unweighted,2,608,14.037008337171052
reference_r4,unweighted,3,608,14.898754842105264
