model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,304,27.185786796052632
climatology,unweighted,2,304,32.003415884868424
climatology,unweighted,3,304,28.97334922368421
ensemble,unweighted,1,304,22.14998905263158
ensemble,unweighted,2,304,28.87419678618421
ensemble,unweighted,3,304,25.789687055921053
persistence,unweighted,1,304,25.935629342105262
persistence,unweighted,2,304,39.516807332236844
persistence,unweighted,3,304,42.424961664473685
reference,unweighted,1,304,22.404586117598683
reference,unweighted,2,304,29.053854922697372
reference,unweighted,3,304,26.902988422697366
reference_r1,unweighted,1,304,22.40443114144737
reference_r1,unweighted,2,304,29.14711826644737
reference_r1,unweighted,3,304,26.971133924342105
reference_r2,unweighted,1,304,22.524232611842105
reference_r2,unweighted,2,304,28.983876325657896
reference_r2,unweighted,3,304,26.878207924342107
reference_r3,unweighted,1,304,22.430849335526315
reference_r3,unweighted,2,304,29.04778033223684
reference_r3,unweighted,3,304,26.909037302631578
reference_r4,unweighted,1,304,22.258831381578947
reference_r4,unweighted,2,304,29.03664476644737
reference_r4,unweighted,3,304,26.853574539473684
