model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
climatology,unweighted,VN-01,24,0.003046833333333321,0.0,1.0,1.0,0.0
climatology,unweighted,VN-02,24,0.009140499999999984,0.0,1.0,1.0,0.0
climatology,unweighted,VN-03,24,0.012949041666666649,0.0,1.0,1.0,0.0
climatology,unweighted,VN-04,24,0.027421499999999998,0.0,1.0,1.0,0.0
climatology,unweighted,VN-05,24,0.47966116666666664,0.4583333333333333,0.9166666666666666,0.9166666666666666,11.0
climatology,unweighted,VN-06,24,0.003808541666666658,0.0,1.0,1.0,0.0
climatology,unweighted,VN-07,24,0.0,0.0,1.0,1.0,0.0
climatology,unweighted,VN-09,24,0.07236229166666663,0.0,1.0,1.0,0.0
climatology,unweighted,VN-13,24,10.639031333333334,12.229166666666666,0.9166666666666666,0.8333333333333334,268.0
climatology,unweighted,VN-14,24,0.7659579999999999,0.75,0.9166666666666666,0.9166666666666666,18.0
climatology,unweighted,VN-18,24,0.11400208333333332,0.125,0.9583333333333334,0.9166666666666666,3.0
climatology,unweighted,VN-20,24,5.278731541666667,6.020833333333333,0.75,0.625,144.0
climatology,unweighted,VN-21,24,10.316162458333332,12.708333333333334,0.875,0.8333333333333334,352.0
climatology,unweighted,VN-22,24,50.10592066666667,60.0625,0.9166666666666666,0.7916666666666666,1818.0
climatology,unweighted,VN-23,24,17.89574191666667,14.1875,1.0,0.7916666666666666,264.0
climatology,unweighted,VN-24,24,19.61788195833333,15.270833333333334,0.9166666666666666,0.8333333333333334,124.0
climatology,unweighted,VN-25,24,18.73017666666666,4.604166666666667,0.9583333333333334,0.875,119.0
climatology,unweighted,VN-26,24,9.1632845,8.416666666666666,0.8333333333333334,0.75,170.0
climatology,unweighted,VN-27,24,18.739982,21.1875,0.9583333333333334,0.8333333333333334,736.0
climatology,unweighted,VN-28,24,6.576359125000001,5.291666666666667,0.8333333333333334,0.7916666666666666,144.0
climatology,unweighted,VN-29,24,43.01436266666667,61.166666666666664,0.8333333333333334,0.6666666666666666,1899.0
climatology,unweighted,VN-30,24,15.465424375,19.375,0.8333333333333334,0.7083333333333334,803.0
climatology,unweighted,VN-31,24,40.138976875000004,51.729166666666664,0.7916666666666666,0.4166666666666667,1748.0
climatology,unweighted,VN-32,24,87.911744,129.79166666666666,0.7083333333333334,0.4583333333333333,4152.0
climatology,unweighted,VN-33,24,26.429031749999996,23.6875,0.9583333333333334,0.8333333333333334,1188.0
climatology,unweighted,VN-34,24,70.51451487499999,106.14583333333333,0.9166666666666666,0.7083333333333334,5264.0
climatology,unweighted,VN-35,24,7.3917358333333345,10.604166666666666,0.75,0.4583333333333333,468.0
climatology,unweighted,VN-36,24,27.124431625,26.958333333333332,0.9166666666666666,0.75,1303.0
climatology,unweighted,VN-37,24,31.360703875,36.083333333333336,0.875,0.5833333333333334,1977.0
climatology,unweighted,VN-39,24,202.7920255,289.375,0.4583333333333333,0.25,11493.0
climatology,unweighted,VN-40,24,59.59343766666667,72.375,1.0,0.6666666666666666,2566.0
climatology,unweighted,VN-41,24,192.36229733333334,274.6458333333333,0.3333333333333333,0.041666666666666664,9737.0
climatology,unweighted,VN-43,24,134.88027654166666,186.8125,0.3333333333333333,0.16666666666666666,5852.0
climatology,unweighted,VN-44,24,87.17503070833334,107.14583333333333,0.7916666666666666,0.75,6266.0
climatology,unweighted,VN-45,24,99.16078862500001,112.60416666666667,0.9166666666666666,0.625,6242.0
climatology,unweighted,VN-46,24,100.69250970833333,133.41666666666666,0.9166666666666666,0.7916666666666666,12501.0
climatology,unweighted,VN-47,24,104.66319529166667,135.25,0.8333333333333334,0.7083333333333334,8308.0
climatology,unweighted,VN-49,24,49.44323329166667,59.75,0.7083333333333334,0.5,3164.0
climatology,unweighted,VN-50,24,109.31794383333333,128.6875,0.875,0.625,9440.0
climatology,unweighted,VN-51,24,59.234906875,83.625,0.7916666666666666,0.625,3727.0
climatology,unweighted,VN-52,24,105.92725341666666,149.08333333333334,0.75,0.4583333333333333,9262.0
climatology,unweighted,VN-53,24,0.08561845833333333,0.08333333333333333,0.9166666666666666,0.9166666666666666,2.0
climatology,unweighted,VN-54,24,16.981278333333332,17.729166666666668,0.75,0.75,425.0
climatology,unweighted,VN-55,24,116.1691445,146.8125,0.75,0.6666666666666666,5083.0
climatology,unweighted,VN-56,24,6.283061458333333,7.583333333333333,0.8333333333333334,0.8333333333333334,181.0
climatology,unweighted,VN-57,24,175.41636495833333,225.3125,0.4583333333333333,0.3333333333333333,7341.0
climatology,unweighted,VN-58,24,125.954292125,153.8125,0.4583333333333333,0.2916666666666667,6073.0
climatology,unweighted,VN-59,24,274.72887091666666,325.2916666666667,0.625,0.4166666666666667,9208.0
climatology,unweighted,VN-61,24,0.4927692916666666,0.5,0.8333333333333334,0.8333333333333334,12.0
climatology,unweighted,VN-63,24,0.473334875,0.1875,0.9166666666666666,0.875,4.0
climatology,unweighted,VN-66,24,0.1546088333333333,0.125,0.875,0.875,3.0
climatology,unweighted,VN-67,24,3.7623946666666668,3.7916666666666665,0.9583333333333334,0.9166666666666666,94.0
climatology,unweighted,VN-68,24,0.5773749166666667,0.0,1.0,1.0,0.0
climatology,unweighted,VN-69,24,0.10892429166666662,0.0,1.0,1.0,0.0
climatology,unweighted,VN-70,24,2.8821421249999997,2.7291666666666665,0.9166666666666666,0.8333333333333334,63.0
climatology,unweighted,VN-71,24,0.021354166666666664,0.0,1.0,1.0,0.0
climatology,unweighted,VN-72,24,12.865729166666666,11.041666666666666,0.7916666666666666,0.5416666666666666,346.0
climatology,unweighted,VN-73,24,24.06177083333333,30.6875,0.625,0.2916666666666667,1857.0
climatology,unweighted,VN-CT,24,26.49718891666667,29.6875,0.875,0.7916666666666666,2620.0
climatology,unweighted,VN-DN,24,49.59303154166667,68.66666666666667,0.8333333333333334,0.5833333333333334,2309.0
climatology,unweighted,VN-HN,24,629.4870311666666,729.4791666666666,0.5833333333333334,0.3333333333333333,18528.0
climatology,unweighted,VN-HP,24,12.523582041666666,17.145833333333332,0.7916666666666666,0.5833333333333334,278.0
climatology,unweighted,VN-SG,24,828.1229269583333,1056.5833333333333,0.16666666666666666,0.0,35863.0
ensemble,unweighted,VN-01,24,0.007935666666666629,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-02,24,0.03679204166666663,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-03,24,0.031227999999999933,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-04,24,0.04851170833333327,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-05,24,0.42597099999999993,0.4583333333333333,0.9166666666666666,0.9166666666666666,11.0
ensemble,unweighted,VN-06,24,0.028784749999999953,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-07,24,0.024439541666666637,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-09,24,0.09866891666666662,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-13,24,7.6290579166666666,10.375,0.9583333333333334,0.9583333333333334,268.0
ensemble,unweighted,VN-14,24,0.779474125,0.75,0.9166666666666666,0.9166666666666666,18.0
ensemble,unweighted,VN-18,24,0.1718472916666666,0.125,1.0,0.9166666666666666,3.0
ensemble,unweighted,VN-20,24,4.397282541666667,5.833333333333333,0.9583333333333334,0.7916666666666666,144.0
ensemble,unweighted,VN-21,24,8.241782708333334,12.479166666666666,1.0,0.875,352.0
ensemble,unweighted,VN-22,24,53.57349933333333,65.875,0.875,0.8333333333333334,1818.0
ensemble,unweighted,VN-23,24,10.384181874999998,11.958333333333334,0.9583333333333334,0.8333333333333334,264.0
ensemble,unweighted,VN-24,24,8.652526,6.166666666666667,1.0,0.9583333333333334,124.0
ensemble,unweighted,VN-25,24,6.450317083333335,3.8958333333333335,1.0,0.875,119.0
ensemble,unweighted,VN-26,24,5.486637583333334,6.541666666666667,1.0,0.8333333333333334,170.0
ensemble,unweighted,VN-27,24,15.746131208333333,19.0,0.9583333333333334,0.875,736.0
ensemble,unweighted,VN-28,24,4.382887375,5.333333333333333,0.9583333333333334,0.7916666666666666,144.0
ensemble,unweighted,VN-29,24,40.003867125,57.708333333333336,0.9166666666666666,0.75,1899.0
ensemble,unweighted,VN-30,24,14.814411291666667,19.854166666666668,1.0,0.7083333333333334,803.0
ensemble,unweighted,VN-31,24,35.662678,45.5625,0.875,0.75,1748.0
ensemble,unweighted,VN-32,24,80.51133225,117.60416666666667,0.9166666666666666,0.625,4152.0
ensemble,unweighted,VN-33,24,21.412269416666664,21.9375,1.0,0.7083333333333334,1188.0
ensemble,unweighted,VN-34,24,62.56678929166666,93.04166666666667,1.0,0.7083333333333334,5264.0
ensemble,unweighted,VN-35,24,6.721703833333333,9.5,1.0,0.5833333333333334,468.0
ensemble,unweighted,VN-36,24,21.732074208333334,25.0,1.0,0.7916666666666666,1303.0
ensemble,unweighted,VN-37,24,26.626631791666668,31.9375,1.0,0.7916666666666666,1977.0
ensemble,unweighted,VN-39,24,173.4999025,247.66666666666666,0.875,0.625,11493.0
ensemble,unweighted,VN-40,24,37.16780945833333,26.166666666666668,1.0,0.9583333333333334,2566.0
ensemble,unweighted,VN-41,24,130.70284891666665,226.02083333333334,0.9166666666666666,0.7083333333333334,9737.0
ensemble,unweighted,VN-43,24,103.43977670833334,166.83333333333334,0.75,0.5,5852.0
ensemble,unweighted,VN-44,24,71.32901008333333,79.875,1.0,0.9166666666666666,6266.0
ensemble,unweighted,VN-45,24,77.84442441666667,55.375,1.0,1.0,6242.0
ensemble,unweighted,VN-46,24,118.33575975000001,149.45833333333334,1.0,0.7916666666666666,12501.0
ensemble,unweighted,VN-47,24,101.208430125,126.79166666666667,0.9583333333333334,0.8333333333333334,8308.0
ensemble,unweighted,VN-49,24,50.861091833333326,59.791666666666664,0.9166666666666666,0.75,3164.0
ensemble,unweighted,VN-50,24,108.78620020833334,139.47916666666666,1.0,0.7916666666666666,9440.0
ensemble,unweighted,VN-51,24,50.99574795833333,66.125,0.9166666666666666,0.8333333333333334,3727.0
ensemble,unweighted,VN-52,24,105.92704908333333,141.5,1.0,0.6666666666666666,9262.0
ensemble,unweighted,VN-53,24,0.07735399999999998,0.08333333333333333,0.9583333333333334,0.9166666666666666,2.0
ensemble,unweighted,VN-54,24,13.823281458333334,17.291666666666668,0.875,0.7916666666666666,425.0
ensemble,unweighted,VN-55,24,83.98793266666667,122.8125,0.875,0.7916666666666666,5083.0
ensemble,unweighted,VN-56,24,6.620419541666667,7.541666666666667,0.8333333333333334,0.8333333333333334,181.0
ensemble,unweighted,VN-57,24,122.45934125000001,186.97916666666666,0.8333333333333334,0.625,7341.0
ensemble,unweighted,VN-58,24,106.86791266666665,153.58333333333334,0.75,0.6666666666666666,6073.0
ensemble,unweighted,VN-59,24,195.52713604166664,272.0625,0.75,0.6666666666666666,9208.0
ensemble,unweighted,VN-61,24,0.5031365,0.5833333333333334,0.9166666666666666,0.8333333333333334,12.0
ensemble,unweighted,VN-63,24,0.33746629166666664,0.16666666666666666,1.0,0.9166666666666666,4.0
ensemble,unweighted,VN-66,24,0.20199279166666664,0.16666666666666666,1.0,0.9166666666666666,3.0
ensemble,unweighted,VN-67,24,4.434378041666666,4.291666666666667,0.9583333333333334,0.9583333333333334,94.0
ensemble,unweighted,VN-68,24,0.42893325,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-69,24,0.14769829166666665,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-70,24,3.1338356249999997,2.8333333333333335,0.9583333333333334,0.875,63.0
ensemble,unweighted,VN-71,24,0.051770999999999956,0.0,1.0,1.0,0.0
ensemble,unweighted,VN-72,24,7.257062374999999,8.041666666666666,1.0,0.875,346.0
ensemble,unweighted,VN-73,24,24.19145758333333,32.270833333333336,0.9583333333333334,0.6666666666666666,1857.0
ensemble,unweighted,VN-CT,24,30.392434166666664,32.041666666666664,1.0,0.875,2620.0
ensemble,unweighted,VN-DN,24,55.26365508333333,74.52083333333333,0.8333333333333334,0.5833333333333334,2309.0
ensemble,unweighted,VN-HN,24,492.4298490416666,692.1458333333334,0.7083333333333334,0.625,18528.0
ensemble,unweighted,VN-HP,24,7.991794291666667,11.375,0.875,0.7916666666666666,278.0
ensemble,unweighted,VN-SG,24,595.0330404583334,925.8958333333334,0.6666666666666666,0.375,35863.0
persistence,unweighted,VN-01,24,0.0007116666666666668,0.0,1.0,1.0,0.0
persistence,unweighted,VN-02,24,0.0028663333333333,0.0,1.0,1.0,0.0
persistence,unweighted,VN-03,24,0.0016669999999999665,0.0,1.0,1.0,0.0
persistence,unweighted,VN-04,24,0.0038206666666666003,0.0,1.0,1.0,0.0
persistence,unweighted,VN-05,24,0.4460543333333333,0.4583333333333333,0.9166666666666666,0.9166666666666666,11.0
persistence,unweighted,VN-06,24,0.0005023333333333334,0.0,1.0,1.0,0.0
persistence,unweighted,VN-07,24,0.0,0.0,1.0,1.0,0.0
persistence,unweighted,VN-09,24,0.0252863333333333,0.0,1.0,1.0,0.0
persistence,unweighted,VN-13,24,10.896930916666667,12.291666666666666,0.875,0.75,268.0
persistence,unweighted,VN-14,24,0.7365013333333333,0.75,0.9166666666666666,0.9166666666666666,18.0
persistence,unweighted,VN-18,24,0.21514312499999996,0.25,0.8333333333333334,0.75,3.0
persistence,unweighted,VN-20,24,7.772242833333333,8.416666666666666,0.625,0.4166666666666667,144.0
