model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,200801,189,14.829219576719575
climatology,unweighted,200804,189,39.42597883597884
climatology,unweighted,200807,189,107.13953703703704
climatology,unweighted,200810,189,100.88961640211639
climatology,unweighted,200901,189,25.98353521164021
climatology,unweighted,200904,189,50.270954999999994
climatology,unweighted,200907,189,104.34848611640211
climatology,unweighted,200910,189,81.60641675132275
ensemble,unweighted,200801,189,14.890929582010582
ensemble,unweighted,200804,189,33.665149386243385
ensemble,unweighted,200807,189,82.360547989418
ensemble,unweighted,200810,189,74.92641112698412
ensemble,unweighted,200901,189,22.73749301058201
ensemble,unweighted,200904,189,43.43532618518518
ensemble,unweighted,200907,189,90.41629621693122
ensemble,unweighted,200910,189,58.88970648148148
persistence,unweighted,200801,189,34.31856477248677
persistence,unweighted,200804,189,36.06857103174603
persistence,unweighted,200807,189,67.23215127513228
persistence,unweighted,200810,189,78.49209103174603
persistence,unweighted,200901,189,68.86675567195768
persistence,unweighted,200904,189,45.04238695238095
persistence,unweighted,200907,189,84.13558478306878
persistence,unweighted,200910,189,71.22492105291005
reference,unweighted,200801,189,19.143164080687832
reference,unweighted,200804,189,34.486572006613756
reference,unweighted,200807,189,92.06452658597884
reference,unweighted,200810,189,85.13727053439153
reference,unweighted,200901,189,21.497017698412698
reference,unweighted,200904,189,45.89653300793651
reference,unweighted,200907,189,96.5614361600529
reference,unweighted,200910,189,65.77522744179893
reference_r1,unweighted,200801,189,19.05412231746032
reference_r1,unweighted,200804,189,34.504435074074074
reference_r1,unweighted,200807,189,78.40843895238095
reference_r1,unweighted,200810,189,85.63783572486773
reference_r1,unweighted,200901,189,21.6746838994709
reference_r1,unweighted,200904,189,46.07963401587301
reference_r1,unweighted,200907,189,97.18436486772487
reference_r1,unweighted,200910,189,65.81628051322751
reference_r2,unweighted,200801,189,19.31568347089947
reference_r2,unweighted,200804,189,34.38718478835979
reference_r2,unweighted,200807,189,78.63903953439153
reference_r2,unweighted,200810,189,84.34902068783069
reference_r2,unweighted,200901,189,21.371012767195765
reference_r2,unweighted,200904,189,45.86416792063492
reference_r2,unweighted,200907,189,96.80139246560847
reference_r2,unweighted,200910,189,65.56717994708994
reference_r3,unweighted,200801,189,19.136212142857143
reference_r3,unweighted,200804,189,34.4223375026455
reference_r3,unweighted,200807,189,78.05312678306878
reference_r3,unweighted,200810,189,84.96337894708994
reference_r3,unweighted,200901,189,21.623053052910052
reference_r3,unweighted,200904,189,45.48421801587302
reference_r3,unweighted,200907,189,96.30242370370371
reference_r3,unweighted,200910,189,65.48268577248678
reference_r4,unweighted,200801,189,19.06663839153439
reference_r4,unweighted,200804,189,34.63233066137566
reference_r4,unweighted,200807,189,133.15750107407408
reference_r4,unweighted,200810,189,85.59884677777778
reference_r4,unweighted,200901,189,21.31932107407407
reference_r4,unweighted,200904,189,46.158112079365075
reference_r4,unweighted,200907,189,95.9575636031746
reference_r4,unweighted,200910,189,66.23476353439153
