model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,252,102.90842320634921
climatology,unweighted,2,252,95.54547133333332
climatology,unweighted,3,252,99.56771457539683
ensemble,unweighted,1,252,78.09726309126985
ensemble,unweighted,2,252,83.54888453174603
ensemble,unweighted,3,252,90.09178787698413
persistence,unweighted,1,252,70.75458513888888
persistence,unweighted,2,252,108.63224486507936
persistence,unweighted,3,252,134.24183617460318
reference,unweighted,1,252,74.85494023214287
reference,unweighted,2,252,75.22848363789683
reference,unweighted,3,252,81.67280685019843
reference_r1,unweighted,1,252,74.86952965079365
reference_r1,unweighted,2,252,75.18915026984126
reference_r1,unweighted,3,252,81.54754658730158
reference_r2,unweighted,1,252,74.38106074603175
reference_r2,unweighted,2,252,74.83436717063492
reference_r2,unweighted,3,252,81.71711272222221
reference_r3,unweighted,1,252,75.40392225
reference_r3,unweighted,2,252,75.50692331349207
reference_r3,unweighted,3,252,81.56150962698412
reference_r4,unweighted,1,252,74.76524828174603
reference_r4,unweighted,2,252,75.38349379761905
reference_r4,unweighted,3,252,81.86505846428571
