model,weighting,location,split_first_period,n_cells,mean_crps
climatology,unweighted,VN-01,201001,3,0.0
climatology,unweighted,VN-01,201004,3,0.0
climatology,unweighted,VN-01,201007,3,0.004592666666666667
climatology,unweighted,VN-01,201010,3,0.004592666666666667
climatology,unweighted,VN-02,201001,3,0.0
climatology,unweighted,VN-02,201004,3,0.0022963333333333334
climatology,unweighted,VN-02,201007,3,0.016185333333333333
climatology,unweighted,VN-02,201010,3,0.0091853333333333
climatology,unweighted,VN-03,201001,3,0.0
climatology,unweighted,VN-03,201004,3,0.004592666666666667
climatology,unweighted,VN-03,201007,3,0.032148666666666666
climatology,unweighted,VN-03,201010,3,0.0022963333333333334
climatology,unweighted,VN-04,201001,3,0.022963333333333297
climatology,unweighted,VN-04,201004,3,0.05970466666666666
climatology,unweighted,VN-04,201007,3,0.0
climatology,unweighted,VN-04,201010,3,0.0
climatology,unweighted,VN-05,201001,3,0.23818533333333336
climatology,unweighted,VN-05,201004,3,0.0
climatology,unweighted,VN-05,201007,3,0.04822300000000001
climatology,unweighted,VN-05,201010,3,0.025259666666666635
climatology,unweighted,VN-06,201001,3,0.0
climatology,unweighted,VN-06,201004,3,0.0
climatology,unweighted,VN-06,201007,3,0.0
climatology,unweighted,VN-06,201010,3,0.011592666666666633
climatology,unweighted,VN-07,201001,3,0.0
climatology,unweighted,VN-07,201004,3,0.0
climatology,unweighted,VN-07,201007,3,0.0
climatology,unweighted,VN-07,201010,3,0.0
climatology,unweighted,VN-09,201001,3,0.016185333333333298
climatology,unweighted,VN-09,201004,3,0.011592666666666633
climatology,unweighted,VN-09,201007,3,0.048611333333333305
climatology,unweighted,VN-09,201010,3,0.14331533333333327
climatology,unweighted,VN-13,201001,3,0.4767053333333333
climatology,unweighted,VN-13,201004,3,4.771969000000001
climatology,unweighted,VN-13,201007,3,5.245656333333335
climatology,unweighted,VN-13,201010,3,30.419230666666664
climatology,unweighted,VN-14,201001,3,0.900815
climatology,unweighted,VN-14,201004,3,1.8565186666666664
climatology,unweighted,VN-14,201007,3,5.526704
climatology,unweighted,VN-14,201010,3,1.7226673333333336
climatology,unweighted,VN-18,201001,3,0.006889
climatology,unweighted,VN-18,201004,3,0.013777999999999966
climatology,unweighted,VN-18,201007,3,1.5393706666666667
climatology,unweighted,VN-18,201010,3,1.9119076666666668
climatology,unweighted,VN-20,201001,3,0.094316
climatology,unweighted,VN-20,201004,3,1.129427
climatology,unweighted,VN-20,201007,3,13.231097
climatology,unweighted,VN-20,201010,3,6.807428333333333
climatology,unweighted,VN-21,201001,3,0.0022963333333333334
climatology,unweighted,VN-21,201004,3,0.7558263333333329
climatology,unweighted,VN-21,201007,3,9.825758333333333
climatology,unweighted,VN-21,201010,3,15.764462666666669
climatology,unweighted,VN-22,201001,3,0.364076
climatology,unweighted,VN-22,201004,3,0.644170666666667
climatology,unweighted,VN-22,201007,3,33.14563066666667
climatology,unweighted,VN-22,201010,3,62.53146433333334
climatology,unweighted,VN-23,201001,3,0.5646296666666667
climatology,unweighted,VN-23,201004,3,0.5471929999999994
climatology,unweighted,VN-23,201007,3,16.65936766666667
climatology,unweighted,VN-23,201010,3,28.620922999999976
climatology,unweighted,VN-24,201001,3,0.29833400000000004
climatology,unweighted,VN-24,201004,3,16.094675
climatology,unweighted,VN-24,201007,3,94.51904633333332
climatology,unweighted,VN-24,201010,3,26.04716066666667
climatology,unweighted,VN-25,201001,3,1.8327643333333334
climatology,unweighted,VN-25,201004,3,13.844595999999989
climatology,unweighted,VN-25,201007,3,48.61335966666669
climatology,unweighted,VN-25,201010,3,16.42939566666666
climatology,unweighted,VN-26,201001,3,15.101651666666669
climatology,unweighted,VN-26,201004,3,73.60804833333333
climatology,unweighted,VN-26,201007,3,506.5618676666666
climatology,unweighted,VN-26,201010,3,164.71294833333334
climatology,unweighted,VN-27,201001,3,8.532114666666667
climatology,unweighted,VN-27,201004,3,35.763163999999996
climatology,unweighted,VN-27,201007,3,329.57891566666666
climatology,unweighted,VN-27,201010,3,349.20954033333334
climatology,unweighted,VN-28,201001,3,4.405518666666667
climatology,unweighted,VN-28,201004,3,21.341855
climatology,unweighted,VN-28,201007,3,205.49040533333334
climatology,unweighted,VN-28,201010,3,30.882338666666666
climatology,unweighted,VN-29,201001,3,60.34612033333334
climatology,unweighted,VN-29,201004,3,80.88571133333333
climatology,unweighted,VN-29,201007,3,488.2844376666667
climatology,unweighted,VN-29,201010,3,894.0051109999999
climatology,unweighted,VN-30,201001,3,6.440373999999999
climatology,unweighted,VN-30,201004,3,43.30357333333333
climatology,unweighted,VN-30,201007,3,612.9482429999999
climatology,unweighted,VN-30,201010,3,232.392797
climatology,unweighted,VN-31,201001,3,32.17769966666666
climatology,unweighted,VN-31,201004,3,98.60445700000001
climatology,unweighted,VN-31,201007,3,461.1709596666667
climatology,unweighted,VN-31,201010,3,310.4275446666667
climatology,unweighted,VN-32,201001,3,10.689608000000002
climatology,unweighted,VN-32,201004,3,57.77372833333332
climatology,unweighted,VN-32,201007,3,535.03876
climatology,unweighted,VN-32,201010,3,246.19937333333334
climatology,unweighted,VN-33,201001,3,11.790467
climatology,unweighted,VN-33,201004,3,52.154242333333336
climatology,unweighted,VN-33,201007,3,1105.5650249999999
climatology,unweighted,VN-33,201010,3,437.1016323333333
climatology,unweighted,VN-34,201001,3,80.022104
climatology,unweighted,VN-34,201004,3,180.86303466666666
climatology,unweighted,VN-34,201007,3,798.1514553333333
climatology,unweighted,VN-34,201010,3,241.72923433333335
climatology,unweighted,VN-35,201001,3,102.57168633333333
climatology,unweighted,VN-35,201004,3,41.69645766666667
climatology,unweighted,VN-35,201007,3,622.3640276666666
climatology,unweighted,VN-35,201010,3,582.2223386666666
climatology,unweighted,VN-36,201001,3,10.227402333333332
climatology,unweighted,VN-36,201004,3,28.135866000000004
climatology,unweighted,VN-36,201007,3,170.79671833333336
climatology,unweighted,VN-36,201010,3,55.19744766666667
climatology,unweighted,VN-37,201001,3,21.900063333333335
climatology,unweighted,VN-37,201004,3,18.76502233333333
climatology,unweighted,VN-37,201007,3,29.88938299999999
climatology,unweighted,VN-37,201010,3,37.13009066666667
climatology,unweighted,VN-39,201001,3,20.128395
climatology,unweighted,VN-39,201004,3,57.486898999999994
climatology,unweighted,VN-39,201007,3,679.048712
climatology,unweighted,VN-39,201010,3,166.23295599999997
climatology,unweighted,VN-40,201001,3,22.48091066666666
climatology,unweighted,VN-40,201004,3,57.88650833333333
climatology,unweighted,VN-40,201007,3,98.58654166666668
climatology,unweighted,VN-40,201010,3,58.77909999999999
climatology,unweighted,VN-41,201001,3,11.861979
climatology,unweighted,VN-41,201004,3,34.67189633333333
climatology,unweighted,VN-41,201007,3,182.33813666666666
climatology,unweighted,VN-41,201010,3,70.00271733333334
climatology,unweighted,VN-43,201001,3,8.486864666666667
climatology,unweighted,VN-43,201004,3,18.63676133333333
climatology,unweighted,VN-43,201007,3,53.07784233333334
climatology,unweighted,VN-43,201010,3,47.201053
climatology,unweighted,VN-44,201001,3,34.060848
climatology,unweighted,VN-44,201004,3,52.94622966666666
climatology,unweighted,VN-44,201007,3,217.09269166666664
climatology,unweighted,VN-44,201010,3,259.559714
climatology,unweighted,VN-45,201001,3,35.68134866666666
climatology,unweighted,VN-45,201004,3,45.76275866666668
climatology,unweighted,VN-45,201007,3,141.84483766666668
climatology,unweighted,VN-45,201010,3,104.88292533333333
climatology,unweighted,VN-46,201001,3,50.523395
climatology,unweighted,VN-46,201004,3,124.46914466666665
climatology,unweighted,VN-46,201007,3,157.10402200000001
climatology,unweighted,VN-46,201010,3,122.08897000000002
climatology,unweighted,VN-47,201001,3,105.13180166666666
climatology,unweighted,VN-47,201004,3,77.13775266666667
climatology,unweighted,VN-47,201007,3,392.7994003333333
climatology,unweighted,VN-47,201010,3,125.80194966666666
