model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,201001,189,29.186803063492064
climatology,unweighted,201004,189,39.27321906878307
climatology,unweighted,201007,189,188.29440206878306
climatology,unweighted,201010,189,140.6077212857143
ensemble,unweighted,201001,189,30.11775531746032
ensemble,unweighted,201004,189,30.85015884656085
ensemble,unweighted,201007,189,178.14398961375662
ensemble,unweighted,201010,189,96.53867688888889
persistence,unweighted,201001,189,64.43919290476191
persistence,unweighted,201004,189,26.953598285714286
persistence,unweighted,201007,189,184.01021931216934
persistence,unweighted,201010,189,142.76854440211642
reference,unweighted,201001,189,33.21784726058201
reference,unweighted,201004,189,32.55122470634921
reference,unweighted,201007,189,147.95555541798942
reference,unweighted,201010,189,95.28368024206348
reference_r1,unweighted,201001,189,33.21270219576719
reference_r1,unweighted,201004,189,32.49826896825397
reference_r1,unweighted,201007,189,147.75753185185187
reference_r1,unweighted,201010,189,95.339798994709
reference_r2,unweighted,201001,189,33.20048473015873
reference_r2,unweighted,201004,189,32.429595243386245
reference_r2,unweighted,201007,189,147.1742956984127
reference_r2,unweighted,201010,189,95.1056785132275
reference_r3,unweighted,201001,189,33.12636151851852
reference_r3,unweighted,201004,189,32.746161
reference_r3,unweighted,201007,189,148.23044806878306
reference_r3,unweighted,201010,189,95.86016966666668
reference_r4,unweighted,201001,189,33.3318405978836
reference_r4,unweighted,201004,189,32.53087361375661
reference_r4,unweighted,201007,189,148.65994605291004
reference_r4,unweighted,201010,189,94.82907379365079
