model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
ensemble,unweighted,1,124,14.801413782258065
ensemble,unweighted,2,123,18.491554902439024
ensemble,unweighted,3,124,23.736954451612903
persistence,unweighted,1,124,16.426420161290324
persistence,unweighted,2,123,24.763161593495933
persistence,unweighted,3,124,33.44749620161291
reference,unweighted,1,124,16.51051058669355
reference,unweighted,2,123,21.895506032520327
reference,unweighted,3,124,27.502472425403226
reference_r1,unweighted,1,124,16.739348475806448
reference_r1,unweighted,2,123,21.974515878048784
reference_r1,unweighted,3,124,27.532027895161296
reference_r2,unweighted,1,124,16.429169774193547
reference_r2,unweighted,2,123,21.96121982926829
reference_r2,unweighted,3,124,27.43824337903226
reference_r3,unweighted,1,124,16.29495192741936
reference_r3,unweighted,2,123,21.843647861788615
reference_r3,unweighted,3,124,27.491497895161288
reference_r4,unweighted,1,124,16.57857216935484
reference_r4,unweighted,2,123,21.802640560975608
reference_r4,unweighted,3,124,27.548120532258064
