model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,200801,45,5.359555555555555
climatology,unweighted,200804,45,26.23410315555556
climatology,unweighted,200807,45,33.693777777777775
climatology,unweighted,200810,45,21.7052214
climatology,unweighted,200901,48,5.830577854166666
climatology,unweighted,200904,48,20.965904208333335
climatology,unweighted,200907,47,51.11837406382978
climatology,unweighted,200910,48,29.698516229166668
ensemble,unweighted,200801,45,4.753939777777778
ensemble,unweighted,200804,45,22.201609266666665
ensemble,unweighted,200807,45,18.65976351111111
ensemble,unweighted,200810,45,16.988816311111112
ensemble,unweighted,200901,48,6.1840143124999996
ensemble,unweighted,200904,48,18.620446520833333
ensemble,unweighted,200907,47,42.47517780851064
ensemble,unweighted,200910,48,21.855950791666668
persistence,unweighted,200801,45,6.611819177777777
persistence,unweighted,200804,45,20.304079
persistence,unweighted,200807,45,33.16028768888889
persistence,unweighted,200810,45,19.002294022222223
persistence,unweighted,200901,48,16.822697104166668
persistence,unweighted,200904,48,19.039242229166668
persistence,unweighted,200907,47,45.428911
persistence,unweighted,200910,48,37.81606260416667
reference,unweighted,200801,45,5.2330444499999995
reference,unweighted,200804,45,19.314679277777778
reference,unweighted,200807,45,21.80531777777778
reference,unweighted,200810,45,17.441473166666665
reference,unweighted,200901,48,5.6495341875
reference,unweighted,200904,48,24.69160071875
reference,unweighted,200907,47,56.382879526595744
reference,unweighted,200910,48,24.450711708333333
reference_r1,unweighted,200801,45,6.226406333333333
reference_r1,unweighted,200804,45,19.288861955555554
reference_r1,unweighted,200807,45,22.02757835555556
reference_r1,unweighted,200810,45,16.56324471111111
reference_r1,unweighted,200901,48,5.702242604166667
reference_r1,unweighted,200904,48,24.508242166666665
reference_r1,unweighted,200907,47,57.36907570212767
reference_r1,unweighted,200910,48,24.1935871875
reference_r2,unweighted,200801,45,4.915807355555556
reference_r2,unweighted,200804,45,19.303185822222222
reference_r2,unweighted,200807,45,21.962784088888895
reference_r2,unweighted,200810,45,17.80522793333333
reference_r2,unweighted,200901,48,5.6346318958333335
reference_r2,unweighted,200904,48,24.623909375
reference_r2,unweighted,200907,47,56.10802214893617
reference_r2,unweighted,200910,48,24.414312791666664
reference_r3,unweighted,200801,45,4.877242022222222
reference_r3,unweighted,200804,45,19.178672133333333
reference_r3,unweighted,200807,45,21.24908813333333
reference_r3,unweighted,200810,45,17.72656408888889
reference_r3,unweighted,200901,48,5.626102291666666
reference_r3,unweighted,200904,48,24.875673833333334
reference_r3,unweighted,200907,47,55.96134840425532
reference_r3,unweighted,200910,48,24.6999864375
reference_r4,unweighted,200801,45,4.912722088888889
reference_r4,unweighted,200804,45,19.4879972
reference_r4,unweighted,200807,45,21.981820533333334
reference_r4,unweighted,200810,45,17.670855933333335
reference_r4,unweighted,200901,48,5.6351599583333325
reference_r4,unweighted,200904,48,24.7585775
reference_r4,unweighted,200907,47,56.09307185106383
reference_r4,unweighted,200910,48,24.494960416666668
