model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
ensemble,unweighted,1,124,14.812072088709678
ensemble,unweighted,2,123,18.506735723577236
ensemble,unweighted,3,124,23.696632991935484
persistence,unweighted,1,124,16.426420161290324
persistence,unweighted,2,123,24.763161593495933
persistence,unweighted,3,124,33.44749620161291
reference,unweighted,1,124,16.384264381048386
reference,unweighted,2,123,21.83070968699187
reference,unweighted,3,124,27.51282527620968
reference_r1,unweighted,1,124,16.26943475
reference_r1,unweighted,2,123,22.264546365853658
reference_r1,unweighted,3,124,27.562275435483873
reference_r2,unweighted,1,124,16.452199999999998
reference_r2,unweighted,2,123,21.34576591869919
reference_r2,unweighted,3,124,27.392648129032256
reference_r3,unweighted,1,124,16.59437329032258
reference_r3,unweighted,2,123,21.88519064227642
reference_r3,unweighted,3,124,27.78612138709677
reference_r4,unweighted,1,124,16.221049483870967
reference_r4,unweighted,2,123,21.827335821138213
reference_r4,unweighted,3,124,27.310256153225808
