model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,200801,45,5.359555555555555
climatology,unweighted,200804,45,26.23410315555556
climatology,unweighted,200807,45,33.693777777777775
climatology,unweighted,200810,45,21.7052214
climatology,unweighted,200901,48,5.830577854166666
climatology,unweighted,200904,48,20.965904208333335
climatology,unweighted,200907,47,51.11837406382978
climatology,unweighted,200910,48,29.698516229166668
ensemble,unweighted,200801,45,4.9433880666666665
ensemble,unweighted,200804,45,22.07319231111111
ensemble,unweighted,200807,45,18.464174177777778
ensemble,unweighted,200810,45,16.747688155555554
ensemble,unweighted,200901,48,6.1811166250000005
ensemble,unweighted,200904,48,18.473858333333332
ensemble,unweighted,200907,47,42.81029055319149
ensemble,unweighted,200910,48,21.99178225
persistence,unweighted,200801,45,6.611819177777777
persistence,unweighted,200804,45,20.304079
persistence,unweighted,200807,45,33.16028768888889
persistence,unweighted,200810,45,19.002294022222223
persistence,unweighted,200901,48,16.822697104166668
persistence,unweighted,200904,48,19.039242229166668
persistence,unweighted,200907,47,45.428911
persistence,unweighted,200910,48,37.81606260416667
reference,unweighted,200801,45,9.689602116666668
reference,unweighted,200804,45,19.61641596666667
reference,unweighted,200807,45,22.936568411111107
reference,unweighted,200810,45,16.72055668333333
reference,unweighted,200901,48,5.680135760416667
reference,unweighted,200904,48,23.286161010416667
reference,unweighted,200907,47,57.52688398936171
reference,unweighted,200910,48,27.339289406250003
reference_r1,unweighted,200801,45,5.945647466666667
reference_r1,unweighted,200804,45,19.600115066666667
reference_r1,unweighted,200807,45,21.327610644444444
reference_r1,unweighted,200810,45,17.682050755555554
reference_r1,unweighted,200901,48,5.644085458333333
reference_r1,unweighted,200904,48,22.566899687499998
reference_r1,unweighted,200907,47,57.50557078723404
reference_r1,unweighted,200910,48,25.324594020833334
reference_r2,unweighted,200801,45,4.961562733333333
reference_r2,unweighted,200804,45,19.755097266666667
reference_r2,unweighted,200807,45,21.479371244444444
reference_r2,unweighted,200810,45,16.56195691111111
reference_r2,unweighted,200901,48,5.633081625
reference_r2,unweighted,200904,48,25.0623323125
reference_r2,unweighted,200907,47,56.963522680851064
reference_r2,unweighted,200910,48,25.330972645833338
reference_r3,unweighted,200801,45,5.256252377777778
reference_r3,unweighted,200804,45,19.243293422222223
reference_r3,unweighted,200807,45,22.024269599999997
reference_r3,unweighted,200810,45,16.306312377777775
reference_r3,unweighted,200901,48,5.60761275
reference_r3,unweighted,200904,48,20.319486458333333
reference_r3,unweighted,200907,47,58.1631430425532
reference_r3,unweighted,200910,48,24.515023895833334
reference_r4,unweighted,200801,45,22.59494588888889
reference_r4,unweighted,200804,45,19.86715811111111
reference_r4,unweighted,200807,45,26.915022155555548
reference_r4,unweighted,200810,45,16.33190668888889
reference_r4,unweighted,200901,48,5.835763208333333
reference_r4,unweighted,200904,48,25.195925583333334
reference_r4,unweighted,200907,47,57.47529944680851
reference_r4,unweighted,200910,48,34.186567062499996
