model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
hier_nb,unweighted,1,124,20.18950747580645
hier_nb,unweighted,2,123,23.27700687804878
hier_nb,unweighted,3,124,27.498441250000003
persistence,unweighted,1,124,16.426420161290324
persistence,unweighted,2,123,24.763161593495933
persistence,unweighted,3,124,33.44749620161291
reference,unweighted,1,124,17.487813078629035
reference,unweighted,2,123,22.4782213597561
reference,unweighted,3,124,27.56547004032258
reference_r1,unweighted,1,124,18.640859669354843
reference_r1,unweighted,2,123,22.987865422764227
reference_r1,unweighted,3,124,27.61869134677419
reference_r2,unweighted,1,124,16.405087274193548
reference_r2,unweighted,2,123,22.70497558536585
reference_r2,unweighted,3,124,28.056474911290326
reference_r3,unweighted,1,124,16.817897758064518
reference_r3,unweighted,2,123,22.658793861788617
reference_r3,unweighted,3,124,27.87987636290323
reference_r4,unweighted,1,124,18.087407612903224
reference_r4,unweighted,2,123,21.56125056910569
reference_r4,unweighted,3,124,26.70683754032258
