model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,200801,45,5.359555555555555
climatology,unweighted,200804,45,26.23410315555556
climatology,unweighted,200807,45,33.693777777777775
climatology,unweighted,200810,45,21.7052214
climatology,unweighted,200901,48,5.830577854166666
climatology,unweighted,200904,48,20.965904208333335
climatology,unweighted,200907,47,51.11837406382978
climatology,unweighted,200910,48,29.698516229166668
hier_nb,unweighted,200801,45,6.110903599999999
hier_nb,unweighted,200804,45,25.54597353333333
hier_nb,unweighted,200807,45,24.69270673333333
hier_nb,unweighted,200810,45,20.861057622222223
hier_nb,unweighted,200901,48,6.801930729166667
hier_nb,unweighted,200904,48,22.368287499999997
hier_nb,unweighted,200907,47,49.7039070212766
hier_nb,unweighted,200910,48,32.61759408333334
persistence,unweighted,200801,45,6.611819177777777
persistence,unweighted,200804,45,20.304079
persistence,unweighted,200807,45,33.16028768888889
persistence,unweighted,200810,45,19.002294022222223
persistence,unweighted,200901,48,16.822697104166668
persistence,unweighted,200904,48,19.039242229166668
persistence,unweighted,200907,47,45.428911
persistence,unweighted,200910,48,37.81606260416667
reference,unweighted,200801,45,5.157544722222222
reference,unweighted,200804,45,20.70022172777778
reference,unweighted,200807,45,21.645569894444446
reference,unweighted,200810,45,18.51043798888889
reference,unweighted,200901,48,5.732241322916667
reference,unweighted,200904,48,22.970581854166667
reference,unweighted,200907,47,57.20782460638298
reference,unweighted,200910,48,27.38135875
reference_r1,unweighted,200801,45,5.324646755555555
reference_r1,unweighted,200804,45,19.589215
reference_r1,unweighted,200807,45,22.033615244444448
reference_r1,unweighted,200810,45,17.61355448888889
reference_r1,unweighted,200901,48,5.693932583333333
reference_r1,unweighted,200904,48,22.490134166666664
reference_r1,unweighted,200907,47,56.8119364680851
reference_r1,unweighted,200910,48,34.07185704166667
reference_r2,unweighted,200801,45,5.154188733333333
reference_r2,unweighted,200804,45,21.91266731111111
reference_r2,unweighted,200807,45,21.600931955555556
reference_r2,unweighted,200810,45,16.518859155555557
reference_r2,unweighted,200901,48,5.823556020833333
reference_r2,unweighted,200904,48,24.511735083333335
reference_r2,unweighted,200907,47,57.46377342553192
reference_r2,unweighted,200910,48,25.326151291666665
reference_r3,unweighted,200801,45,5.093034577777778
reference_r3,unweighted,200804,45,21.00408086666667
reference_r3,unweighted,200807,45,21.97008464444445
reference_r3,unweighted,200810,45,17.881393066666668
reference_r3,unweighted,200901,48,5.7194780624999995
reference_r3,unweighted,200904,48,24.647550520833335
reference_r3,unweighted,200907,47,57.381595723404246
reference_r3,unweighted,200910,48,25.15242860416667
reference_r4,unweighted,200801,45,5.058308822222223
reference_r4,unweighted,200804,45,20.294923733333334
reference_r4,unweighted,200807,45,20.977647733333335
reference_r4,unweighted,200810,45,22.027945244444442
reference_r4,unweighted,200901,48,5.691998625
reference_r4,unweighted,200904,48,20.232907645833333
reference_r4,unweighted,200907,47,57.17399280851064
reference_r4,unweighted,200910,48,24.974998062500003
