model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
ensemble,unweighted,1,124,19.49218347580645
ensemble,unweighted,2,123,22.72596169105691
ensemble,unweighted,3,124,27.054633983870968
persistence,unweighted,1,124,16.426420161290324
persistence,unweighted,2,123,24.763161593495933
persistence,unweighted,3,124,33.44749620161291
reference,unweighted,1,124,17.02544626612903
reference,unweighted,2,123,22.637685660569108
reference,unweighted,3,124,27.697190651209677
reference_r1,unweighted,1,124,16.469456322580644
reference_r1,unweighted,2,123,22.263838154471543
reference_r1,unweighted,3,124,27.460025249999997
reference_r2,unweighted,1,124,16.586883258064518
reference_r2,unweighted,2,123,22.633342081300814
reference_r2,unweighted,3,124,27.786504411290323
reference_r3,unweighted,1,124,16.499866
reference_r3,unweighted,2,123,22.8765833902439
reference_r3,unweighted,3,124,28.034569806451614
reference_r4,unweighted,1,124,18.545579483870966
reference_r4,unweighted,2,123,22.776979016260164
reference_r4,unweighted,3,124,27.507663137096774
