model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
climatology,unweighted,LA-AT,24,21.906170375000002,23.583333333333332,0.20833333333333334,0.125,566.0
climatology,unweighted,LA-BK,24,36.6274375,38.416666666666664,0.25,0.20833333333333334,927.0
climatology,unweighted,LA-BL,24,12.361217125000001,19.770833333333332,0.7083333333333334,0.5,228.0
climatology,unweighted,LA-CH,24,38.36997479166667,49.708333333333336,0.75,0.5416666666666666,2431.0
climatology,unweighted,LA-HO,24,0.20207233333333333,0.25,0.9166666666666666,0.8333333333333334,6.0
climatology,unweighted,LA-KH,24,31.59191566666667,43.729166666666664,0.75,0.5833333333333334,1056.0
climatology,unweighted,LA-LM,24,0.9015427083333334,0.9583333333333334,0.75,0.7083333333333334,23.0
climatology,unweighted,LA-LP,24,43.227911541666664,49.5,0.5833333333333334,0.4583333333333333,1336.0
climatology,unweighted,LA-OU,24,2.148529625,2.2083333333333335,0.8333333333333334,0.7916666666666666,53.0
climatology,unweighted,LA-PH,11,0.0036363636363636364,0.0,1.0,1.0,0.0
climatology,unweighted,LA-SL,24,52.09655854166667,60.416666666666664,0.125,0.08333333333333333,1455.0
climatology,unweighted,LA-SV,24,43.52257779166666,62.5,0.7916666666666666,0.5833333333333334,192.0
climatology,unweighted,LA-VT,24,80.17909370833333,107.14583333333333,0.5833333333333334,0.4583333333333333,3707.0
climatology,unweighted,LA-XA,24,5.902487666666667,7.4375,0.9583333333333334,0.7916666666666666,125.0
climatology,unweighted,LA-XE,24,3.6882480833333333,4.208333333333333,0.5833333333333334,0.4583333333333333,102.0
climatology,unweighted,LA-XI,24,3.480641875,3.5,0.7916666666666666,0.7916666666666666,84.0
ensemble,unweighted,LA-AT,24,21.098320208333334,23.583333333333332,0.25,0.125,566.0
ensemble,unweighted,LA-BK,24,36.24710804166667,38.625,0.2916666666666667,0.20833333333333334,927.0
ensemble,unweighted,LA-BL,24,8.366155708333332,8.875,0.9583333333333334,0.6666666666666666,228.0
ensemble,unweighted,LA-CH,24,51.95754279166667,76.5625,0.75,0.375,2431.0
ensemble,unweighted,LA-HO,24,0.2224243333333333,0.25,0.9166666666666666,0.75,6.0
ensemble,unweighted,LA-KH,24,31.904604083333336,42.875,0.8333333333333334,0.6666666666666666,1056.0
ensemble,unweighted,LA-LM,24,0.8548496666666666,0.9583333333333334,0.75,0.7083333333333334,23.0
ensemble,unweighted,LA-LP,24,43.42045916666667,50.333333333333336,0.5833333333333334,0.5416666666666666,1336.0
ensemble,unweighted,LA-OU,24,2.0441141666666667,2.2083333333333335,0.8333333333333334,0.8333333333333334,53.0
ensemble,unweighted,LA-PH,11,0.0005205454545454182,0.0,1.0,1.0,0.0
ensemble,unweighted,LA-SL,24,53.17135620833333,60.375,0.16666666666666666,0.041666666666666664,1455.0
ensemble,unweighted,LA-SV,24,20.08372120833333,11.875,1.0,0.75,192.0
ensemble,unweighted,LA-VT,24,75.92281204166666,96.89583333333333,0.875,0.75,3707.0
ensemble,unweighted,LA-XA,24,4.87585875,2.8958333333333335,1.0,1.0,125.0
ensemble,unweighted,LA-XE,24,3.359399291666667,4.25,0.7083333333333334,0.4583333333333333,102.0
ensemble,unweighted,LA-XI,24,3.433479625,3.5,0.8333333333333334,0.7916666666666666,84.0
persistence,unweighted,LA-AT,24,15.346857291666666,16.291666666666668,0.25,0.08333333333333333,566.0
persistence,unweighted,LA-BK,24,38.44067654166667,39.125,0.16666666666666666,0.125,927.0
persistence,unweighted,LA-BL,24,7.121955875,8.791666666666666,1.0,0.7916666666666666,228.0
persistence,unweighted,LA-CH,24,41.619956125,56.708333333333336,0.875,0.3333333333333333,2431.0
persistence,unweighted,LA-HO,24,0.35356249999999995,0.4166666666666667,0.75,0.5833333333333334,6.0
persistence,unweighted,LA-KH,24,43.7257775,50.583333333333336,0.7083333333333334,0.5,1056.0
persistence,unweighted,LA-LM,24,0.4121275416666666,0.4583333333333333,0.7083333333333334,0.7083333333333334,23.0
persistence,unweighted,LA-LP,24,91.59999908333333,104.5,0.4166666666666667,0.16666666666666666,1336.0
persistence,unweighted,LA-OU,24,1.211563,1.25,0.7916666666666666,0.7916666666666666,53.0
persistence,unweighted,LA-PH,11,0.00028072727272717275,0.0,1.0,1.0,0.0
persistence,unweighted,LA-SL,24,58.60333916666667,61.583333333333336,0.041666666666666664,0.0,1455.0
persistence,unweighted,LA-SV,24,12.685130541666666,9.25,1.0,0.9583333333333334,192.0
persistence,unweighted,LA-VT,24,59.77715691666666,85.95833333333333,0.875,0.6666666666666666,3707.0
persistence,unweighted,LA-XA,24,3.9521735833333334,4.291666666666667,1.0,0.625,125.0
persistence,unweighted,LA-XE,24,2.9310691666666666,3.375,0.625,0.16666666666666666,102.0
persistence,unweighted,LA-XI,24,6.811630875,6.833333333333333,0.625,0.625,84.0
reference,unweighted,LA-AT,24,19.02294625,25.265625,0.6041666666666666,0.3229166666666667,566.0
