model,weighting,location,split_first_period,n_cells,mean_crps
climatology,unweighted,LA-AT,200801,3,1.8766666666666667
climatology,unweighted,LA-AT,200804,3,4.11
climatology,unweighted,LA-AT,200807,3,10.526666666666667
climatology,unweighted,LA-AT,200810,3,34.74333333333333
climatology,unweighted,LA-AT,200901,3,46.48988433333333
climatology,unweighted,LA-AT,200904,3,40.032215
climatology,unweighted,LA-AT,200907,3,29.878155000000003
climatology,unweighted,LA-AT,200910,3,7.592441999999999
climatology,unweighted,LA-BK,200801,3,0.27666666666666667
climatology,unweighted,LA-BK,200804,3,21.273333333333333
climatology,unweighted,LA-BK,200807,3,12.280000000000001
climatology,unweighted,LA-BK,200810,3,34.973333333333336
climatology,unweighted,LA-BK,200901,3,0.5012286666666667
climatology,unweighted,LA-BK,200904,3,93.51679366666667
climatology,unweighted,LA-BK,200907,3,119.84184633333335
climatology,unweighted,LA-BK,200910,3,10.356298
climatology,unweighted,LA-BL,200801,3,3.6199999999999997
climatology,unweighted,LA-BL,200804,3,7.366666666666667
climatology,unweighted,LA-BL,200807,3,24.00666666666667
climatology,unweighted,LA-BL,200810,3,8.403333333333334
climatology,unweighted,LA-BL,200901,3,1.3863260000000002
climatology,unweighted,LA-BL,200904,3,12.274881666666667
climatology,unweighted,LA-BL,200907,3,31.795670666666666
climatology,unweighted,LA-BL,200910,3,10.036192000000002
climatology,unweighted,LA-CH,200801,3,50.373333333333335
climatology,unweighted,LA-CH,200804,3,65.99333333333334
climatology,unweighted,LA-CH,200807,3,44.45333333333334
climatology,unweighted,LA-CH,200810,3,37.36000000000001
climatology,unweighted,LA-CH,200901,3,17.137458
climatology,unweighted,LA-CH,200904,3,34.411892333333334
climatology,unweighted,LA-CH,200907,3,40.429376000000005
climatology,unweighted,LA-CH,200910,3,16.801071999999998
climatology,unweighted,LA-HO,200801,3,0.01
climatology,unweighted,LA-HO,200804,3,0.0233333333333333
climatology,unweighted,LA-HO,200807,3,0.2966666666666667
climatology,unweighted,LA-HO,200810,3,0.22333333333333336
climatology,unweighted,LA-HO,200901,3,0.0082809999999999
climatology,unweighted,LA-HO,200904,3,0.0193223333333333
climatology,unweighted,LA-HO,200907,3,0.24518466666666663
climatology,unweighted,LA-HO,200910,3,0.7904573333333333
climatology,unweighted,LA-KH,200801,3,0.44666666666666655
climatology,unweighted,LA-KH,200804,3,3.476666666666667
climatology,unweighted,LA-KH,200807,3,29.02666666666666
climatology,unweighted,LA-KH,200810,3,3.53
climatology,unweighted,LA-KH,200901,3,2.1272179999999996
climatology,unweighted,LA-KH,200904,3,16.835876000000003
climatology,unweighted,LA-KH,200907,3,142.235039
climatology,unweighted,LA-KH,200910,3,55.057192333333326
climatology,unweighted,LA-LM,200801,3,0.016666666666666632
climatology,unweighted,LA-LM,200804,3,0.0033333333333333335
climatology,unweighted,LA-LM,200807,3,0.0266666666666666
climatology,unweighted,LA-LM,200810,3,0.03666666666666667
climatology,unweighted,LA-LM,200901,3,0.013801666666666665
climatology,unweighted,LA-LM,200904,3,0.9420936666666666
climatology,unweighted,LA-LM,200907,3,1.567416
climatology,unweighted,LA-LM,200910,3,4.605697
climatology,unweighted,LA-LP,200801,3,11.643333333333333
climatology,unweighted,LA-LP,200804,3,90.5
climatology,unweighted,LA-LP,200807,3,11.196666666666665
climatology,unweighted,LA-LP,200810,3,79.79
climatology,unweighted,LA-LP,200901,3,0.4112896666666666
climatology,unweighted,LA-LP,200904,3,3.404432666666666
climatology,unweighted,LA-LP,200907,3,83.72971433333333
climatology,unweighted,LA-LP,200910,3,65.14785566666667
climatology,unweighted,LA-OU,200801,3,0.0
climatology,unweighted,LA-OU,200804,3,0.006666666666666667
climatology,unweighted,LA-OU,200807,3,0.06666666666666667
climatology,unweighted,LA-OU,200810,3,0.029999999999999968
climatology,unweighted,LA-OU,200901,3,0.0
climatology,unweighted,LA-OU,200904,3,0.0055206666666666
climatology,unweighted,LA-OU,200907,3,5.145873333333333
climatology,unweighted,LA-OU,200910,3,11.933509666666666
climatology,unweighted,LA-PH,200901,3,0.0
climatology,unweighted,LA-PH,200904,3,0.0
climatology,unweighted,LA-PH,200907,2,0.02
climatology,unweighted,LA-PH,200910,3,0.0
climatology,unweighted,LA-SL,200801,3,1.9100000000000001
climatology,unweighted,LA-SL,200804,3,97.24000000000001
climatology,unweighted,LA-SL,200807,3,67.91666666666667
climatology,unweighted,LA-SL,200810,3,38.13
climatology,unweighted,LA-SL,200901,3,16.062821
climatology,unweighted,LA-SL,200904,3,44.22854833333334
climatology,unweighted,LA-SL,200907,3,108.11319199999998
climatology,unweighted,LA-SL,200910,3,43.17124033333334
climatology,unweighted,LA-SV,200801,3,1.2733333333333334
climatology,unweighted,LA-SV,200804,3,33.72666666666667
climatology,unweighted,LA-SV,200807,3,135.32
climatology,unweighted,LA-SV,200810,3,24.676666666666666
climatology,unweighted,LA-SV,200901,3,1.1447503333333335
climatology,unweighted,LA-SV,200904,3,30.738805
climatology,unweighted,LA-SV,200907,3,101.11638766666665
climatology,unweighted,LA-SV,200910,3,20.184012666666664
climatology,unweighted,LA-VT,200801,3,8.256666666666666
climatology,unweighted,LA-VT,200804,3,60.656666666666666
climatology,unweighted,LA-VT,200807,3,156.8033333333333
climatology,unweighted,LA-VT,200810,3,61.43333333333334
climatology,unweighted,LA-VT,200901,3,6.3441313333333325
climatology,unweighted,LA-VT,200904,3,25.158537
climatology,unweighted,LA-VT,200907,3,100.21278933333333
climatology,unweighted,LA-VT,200910,3,222.56729199999998
climatology,unweighted,LA-XA,200801,3,0.62
climatology,unweighted,LA-XA,200804,3,7.716666666666666
climatology,unweighted,LA-XA,200807,3,13.056666666666667
climatology,unweighted,LA-XA,200810,3,1.7866666666666668
climatology,unweighted,LA-XA,200901,3,0.5134219999999999
climatology,unweighted,LA-XA,200904,3,7.023262333333335
climatology,unweighted,LA-XA,200907,3,14.176890666666667
climatology,unweighted,LA-XA,200910,3,2.326326333333334
climatology,unweighted,LA-XE,200801,3,0.06999999999999999
climatology,unweighted,LA-XE,200804,3,1.0848806666666666
climatology,unweighted,LA-XE,200807,3,0.41999999999999993
climatology,unweighted,LA-XE,200810,3,0.4583209999999999
climatology,unweighted,LA-XE,200901,3,1.1486336666666668
climatology,unweighted,LA-XE,200904,3,2.920193
climatology,unweighted,LA-XE,200907,3,18.800044333333332
climatology,unweighted,LA-XE,200910,3,4.603912
climatology,unweighted,LA-XI,200801,3,0.0
climatology,unweighted,LA-XI,200804,3,0.3333333333333333
climatology,unweighted,LA-XI,200807,3,0.01
climatology,unweighted,LA-XI,200810,3,0.0033333333333333335
climatology,unweighted,LA-XI,200901,3,0.0
climatology,unweighted,LA-XI,200904,3,23.942093666666665
climatology,unweighted,LA-XI,200907,3,3.5536143333333334
climatology,unweighted,LA-XI,200910,3,0.0027603333333333
ensemble,unweighted,LA-AT,200801,3,1.9068583333333333
ensemble,unweighted,LA-AT,200804,3,3.7461213333333334
ensemble,unweighted,LA-AT,200807,3,9.976142666666668
ensemble,unweighted,LA-AT,200810,3,34.656711333333334
ensemble,unweighted,LA-AT,200901,3,45.581430000000005
ensemble,unweighted,LA-AT,200904,3,37.883451666666666
ensemble,unweighted,LA-AT,200907,3,27.70680966666667
ensemble,unweighted,LA-AT,200910,3,7.329036666666667
ensemble,unweighted,LA-BK,200801,3,0.2814486666666666
ensemble,unweighted,LA-BK,200804,3,20.78861
ensemble,unweighted,LA-BK,200807,3,11.857300666666667
ensemble,unweighted,LA-BK,200810,3,33.76990033333333
ensemble,unweighted,LA-BK,200901,3,0.5345146666666667
ensemble,unweighted,LA-BK,200904,3,96.616311
ensemble,unweighted,LA-BK,200907,3,114.34728633333333
ensemble,unweighted,LA-BK,200910,3,11.781492666666665
ensemble,unweighted,LA-BL,200801,3,2.768033666666667
ensemble,unweighted,LA-BL,200804,3,5.166351
ensemble,unweighted,LA-BL,200807,3,13.83453633333333
ensemble,unweighted,LA-BL,200810,3,6.841900333333334
ensemble,unweighted,LA-BL,200901,3,1.3907003333333334
ensemble,unweighted,LA-BL,200904,3,7.404408333333335
ensemble,unweighted,LA-BL,200907,3,21.257027333333333
ensemble,unweighted,LA-BL,200910,3,8.266288333333334
ensemble,unweighted,LA-CH,200801,3,62.389706666666676
ensemble,unweighted,LA-CH,200804,3,85.173072
ensemble,unweighted,LA-CH,200807,3,69.00374533333331
ensemble,unweighted,LA-CH,200810,3,49.67916099999999
ensemble,unweighted,LA-CH,200901,3,29.715003
ensemble,unweighted,LA-CH,200904,3,49.996206
ensemble,unweighted,LA-CH,200907,3,50.128273
ensemble,unweighted,LA-CH,200910,3,19.575175333333338
ensemble,unweighted,LA-HO,200801,3,0.0026453333333333333
ensemble,unweighted,LA-HO,200804,3,0.02104399999999997
ensemble,unweighted,LA-HO,200807,3,0.3183853333333333
ensemble,unweighted,LA-HO,200810,3,0.3106226666666666
ensemble,unweighted,LA-HO,200901,3,0.0026453333333333333
ensemble,unweighted,LA-HO,200904,3,0.02104399999999997
ensemble,unweighted,LA-HO,200907,3,0.3183853333333333
ensemble,unweighted,LA-HO,200910,3,0.7846226666666666
ensemble,unweighted,LA-KH,200801,3,0.3313786666666667
ensemble,unweighted,LA-KH,200804,3,2.971864
ensemble,unweighted,LA-KH,200807,3,11.463583999999999
ensemble,unweighted,LA-KH,200810,3,3.376744666666667
ensemble,unweighted,LA-KH,200901,3,1.5484533333333335
ensemble,unweighted,LA-KH,200904,3,17.36463266666667
ensemble,unweighted,LA-KH,200907,3,169.07098933333333
ensemble,unweighted,LA-KH,200910,3,49.109186
ensemble,unweighted,LA-LM,200801,3,0.00022466666666666666
ensemble,unweighted,LA-LM,200804,3,0.009229999999999966
ensemble,unweighted,LA-LM,200807,3,0.0684666666666666
ensemble,unweighted,LA-LM,200810,3,0.00734
ensemble,unweighted,LA-LM,200901,3,0.00022466666666666666
ensemble,unweighted,LA-LM,200904,3,0.8878966666666667
ensemble,unweighted,LA-LM,200907,3,1.3389713333333335
ensemble,unweighted,LA-LM,200910,3,4.526443333333333
ensemble,unweighted,LA-LP,200801,3,10.445613666666667
ensemble,unweighted,LA-LP,200804,3,80.54887633333333
ensemble,unweighted,LA-LP,200807,3,9.430761666666667
ensemble,unweighted,LA-LP,200810,3,86.80768133333333
ensemble,unweighted,LA-LP,200901,3,0.8114716666666665
ensemble,unweighted,LA-LP,200904,3,3.2094243333333328
ensemble,unweighted,LA-LP,200907,3,91.77704266666666
ensemble,unweighted,LA-LP,200910,3,64.33280166666667
ensemble,unweighted,LA-OU,200801,3,0.0010926666666666333
ensemble,unweighted,LA-OU,200804,3,0.023089999999999968
ensemble,unweighted,LA-OU,200807,3,0.09140599999999997
ensemble,unweighted,LA-OU,200810,3,0.023986000000000004
ensemble,unweighted,LA-OU,200901,3,0.0010926666666666333
ensemble,unweighted,LA-OU,200904,3,0.023089999999999968
ensemble,unweighted,LA-OU,200907,3,4.904739333333334
ensemble,unweighted,LA-OU,200910,3,11.284416666666667
ensemble,unweighted,LA-PH,200901,3,7.000000000000062e-06
ensemble,unweighted,LA-PH,200904,3,0.0003029999999999667
ensemble,unweighted,LA-PH,200907,2,0.0019054999999999001
ensemble,unweighted,LA-PH,200910,3,0.00032833333333329986
ensemble,unweighted,LA-SL,200801,3,1.6937389999999999
ensemble,unweighted,LA-SL,200804,3,105.27498366666667
ensemble,unweighted,LA-SL,200807,3,58.45297866666667
ensemble,unweighted,LA-SL,200810,3,34.13789
ensemble,unweighted,LA-SL,200901,3,15.921188333333333
ensemble,unweighted,LA-SL,200904,3,55.627232666666664
ensemble,unweighted,LA-SL,200907,3,109.52935866666667
ensemble,unweighted,LA-SL,200910,3,44.73347866666666
ensemble,unweighted,LA-SV,200801,3,2.026319000000001
ensemble,unweighted,LA-SV,200804,3,15.022244333333331
ensemble,unweighted,LA-SV,200807,3,49.91689733333333
ensemble,unweighted,LA-SV,200810,3,15.175131
ensemble,unweighted,LA-SV,200901,3,2.257652333333334
ensemble,unweighted,LA-SV,200904,3,16.594362666666658
ensemble,unweighted,LA-SV,200907,3,43.78541233333332
ensemble,unweighted,LA-SV,200910,3,15.891750666666669
ensemble,unweighted,LA-VT,200801,3,7.514423333333333
ensemble,unweighted,LA-VT,200804,3,55.901452000000006
ensemble,unweighted,LA-VT,200807,3,111.82529
ensemble,unweighted,LA-VT,200810,3,37.71471366666667
ensemble,unweighted,LA-VT,200901,3,7.477666666666667
ensemble,unweighted,LA-VT,200904,3,36.92096466666666
ensemble,unweighted,LA-VT,200907,3,97.571352
ensemble,unweighted,LA-VT,200910,3,252.45663399999998
ensemble,unweighted,LA-XA,200801,3,0.3439140000000003
ensemble,unweighted,LA-XA,200804,3,3.2077726666666653
ensemble,unweighted,LA-XA,200807,3,11.914090333333334
ensemble,unweighted,LA-XA,200810,3,2.940281666666666
ensemble,unweighted,LA-XA,200901,3,0.3439140000000003
ensemble,unweighted,LA-XA,200904,3,3.825772666666666
ensemble,unweighted,LA-XA,200907,3,13.253338666666664
ensemble,unweighted,LA-XA,200910,3,3.1777859999999998
ensemble,unweighted,LA-XE,200801,3,0.010068666666666634
ensemble,unweighted,LA-XE,200804,3,1.073445
ensemble,unweighted,LA-XE,200807,3,0.6406376666666668
ensemble,unweighted,LA-XE,200810,3,0.3512143333333333
ensemble,unweighted,LA-XE,200901,3,1.189402
ensemble,unweighted,LA-XE,200904,3,2.87773
ensemble,unweighted,LA-XE,200907,3,16.335122000000002
ensemble,unweighted,LA-XE,200910,3,4.397574666666666
ensemble,unweighted,LA-XI,200801,3,5.866666666666607e-05
ensemble,unweighted,LA-XI,200804,3,0.3004593333333333
