model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,200801,45,5.359555555555555
climatology,unweighted,200804,45,26.23410315555556
climatology,unweighted,200807,45,33.693777777777775
climatology,unweighted,200810,45,21.7052214
climatology,unweighted,200901,48,5.830577854166666
climatology,unweighted,200904,48,20.965904208333335
climatology,unweighted,200907,47,51.11837406382978
climatology,unweighted,200910,48,29.698516229166668
ensemble,unweighted,200801,45,5.981035000000001
ensemble,unweighted,200804,45,25.28190771111111
ensemble,unweighted,200807,45,23.92090762222222
ensemble,unweighted,200810,45,20.3863336
ensemble,unweighted,200901,48,6.673464041666667
ensemble,unweighted,200904,48,22.070747270833333
ensemble,unweighted,200907,47,48.80365976595744
ensemble,unweighted,200910,48,31.103046333333335
persistence,unweighted,200801,45,6.611819177777777
persistence,unweighted,200804,45,20.304079
persistence,unweighted,200807,45,33.16028768888889
persistence,unweighted,200810,45,19.002294022222223
persistence,unweighted,200901,48,16.822697104166668
persistence,unweighted,200904,48,19.039242229166668
persistence,unweighted,200907,47,45.428911
persistence,unweighted,200910,48,37.81606260416667
reference,unweighted,200801,45,5.186317683333333
reference,unweighted,200804,45,20.64740271111111
reference,unweighted,200807,45,21.472628661111113
reference,unweighted,200810,45,17.4646473
reference,unweighted,200901,48,5.699243239583333
reference,unweighted,200904,48,23.346735041666665
reference,unweighted,200907,47,57.471905760638286
reference,unweighted,200910,48,27.499186453125002
reference_r1,unweighted,200801,45,5.100317977777777
reference_r1,unweighted,200804,45,20.38365282222222
reference_r1,unweighted,200807,45,21.25518264444445
reference_r1,unweighted,200810,45,17.796459688888888
reference_r1,unweighted,200901,48,5.673658499999999
reference_r1,unweighted,200904,48,22.664860770833332
reference_r1,unweighted,200907,47,57.36762799999999
reference_r1,unweighted,200910,48,25.522453666666667
reference_r2,unweighted,200801,45,5.320848111111111
reference_r2,unweighted,200804,45,21.873564644444443
reference_r2,unweighted,200807,45,21.369399288888886
reference_r2,unweighted,200810,45,17.849598466666666
reference_r2,unweighted,200901,48,5.821890499999999
reference_r2,unweighted,200904,48,23.276246958333335
reference_r2,unweighted,200907,47,57.16767053191489
reference_r2,unweighted,200910,48,25.29180335416667
reference_r3,unweighted,200801,45,5.081612866666667
reference_r3,unweighted,200804,45,20.753231155555554
reference_r3,unweighted,200807,45,21.25600855555556
reference_r3,unweighted,200810,45,17.73054391111111
reference_r3,unweighted,200901,48,5.6541647500000005
reference_r3,unweighted,200904,48,25.070781916666665
reference_r3,unweighted,200907,47,57.94121536170212
reference_r3,unweighted,200910,48,25.43942485416667
reference_r4,unweighted,200801,45,5.2424917777777775
reference_r4,unweighted,200804,45,19.57916222222222
reference_r4,unweighted,200807,45,22.009924155555552
reference_r4,unweighted,200810,45,16.481987133333334
reference_r4,unweighted,200901,48,5.647259208333334
reference_r4,unweighted,200904,48,22.375050520833337
reference_r4,unweighted,200907,47,57.41110914893617
reference_r4,unweighted,200910,48,33.7430639375
