model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
ensemble,unweighted,1,124,14.68873289516129
ensemble,unweighted,2,123,18.252661422764227
ensemble,unweighted,3,124,23.5832897016129
persistence,unweighted,1,124,16.426420161290324
persistence,unweighted,2,123,24.763161593495933
persistence,unweighted,3,124,33.44749620161291
reference,unweighted,1,124,17.135842578629035
reference,unweighted,2,123,22.612914581300814
reference,unweighted,3,124,29.69776514516129
reference_r1,unweighted,1,124,15.902236862903226
reference_r1,unweighted,2,123,21.68766588617886
reference_r1,unweighted,3,124,29.385601056451613
reference_r2,unweighted,1,124,17.495802862903226
reference_r2,unweighted,2,123,22.431841666666667
reference_r2,unweighted,3,124,29.575866322580644
reference_r3,unweighted,1,124,17.203366217741937
reference_r3,unweighted,2,123,22.4709911300813
reference_r3,unweighted,3,124,29.501399903225806
reference_r4,unweighted,1,124,17.941964370967742
reference_r4,unweighted,2,123,23.861159642276423
reference_r4,unweighted,3,124,30.328193298387095
