model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,200801,45,5.359555555555555
climatology,unweighted,200804,45,26.23410315555556
climatology,unweighted,200807,45,33.693777777777775
climatology,unweighted,200810,45,21.7052214
climatology,unweighted,200901,48,5.830577854166666
climatology,unweighted,200904,48,20.965904208333335
climatology,unweighted,200907,47,51.11837406382978
climatology,unweighted,200910,48,29.698516229166668
ensemble,unweighted,200801,45,4.868060666666667
ensemble,unweighted,200804,45,22.03032931111111
ensemble,unweighted,200807,45,18.077965355555556
ensemble,unweighted,200810,45,16.87733711111111
ensemble,unweighted,200901,48,6.12411525
ensemble,unweighted,200904,48,18.4736345
ensemble,unweighted,200907,47,42.39289729787234
ensemble,unweighted,200910,48,21.54653825
persistence,unweighted,200801,45,6.611819177777777
persistence,unweighted,200804,45,20.304079
persistence,unweighted,200807,45,33.16028768888889
persistence,unweighted,200810,45,19.002294022222223
persistence,unweighted,200901,48,16.822697104166668
persistence,unweighted,200904,48,19.039242229166668
persistence,unweighted,200907,47,45.428911
persistence,unweighted,200910,48,37.81606260416667
reference,unweighted,200801,45,5.139613433333333
reference,unweighted,200804,45,19.47260692777778
reference,unweighted,200807,45,29.056643805555556
reference,unweighted,200810,45,15.729745983333332
reference,unweighted,200901,48,5.6856219999999995
reference,unweighted,200904,48,26.943140786458333
reference,unweighted,200907,47,53.986175739361705
reference,unweighted,200910,48,30.969405640625
reference_r1,unweighted,200801,45,5.088937866666666
reference_r1,unweighted,200804,45,21.719136177777777
reference_r1,unweighted,200807,45,30.274085555555555
reference_r1,unweighted,200810,45,15.930352044444444
reference_r1,unweighted,200901,48,5.707801708333334
reference_r1,unweighted,200904,48,27.395266833333334
reference_r1,unweighted,200907,47,54.1097804468085
reference_r1,unweighted,200910,48,31.12402002083333
reference_r2,unweighted,200801,45,5.346978244444444
reference_r2,unweighted,200804,45,18.962793644444446
reference_r2,unweighted,200807,45,28.23334408888889
reference_r2,unweighted,200810,45,15.880702533333334
reference_r2,unweighted,200901,48,5.756567895833334
reference_r2,unweighted,200904,48,27.062182125000003
reference_r2,unweighted,200907,47,54.01243414893617
reference_r2,unweighted,200910,48,30.874039312500003
reference_r3,unweighted,200801,45,5.032564866666667
reference_r3,unweighted,200804,45,18.63292231111111
reference_r3,unweighted,200807,45,29.422864866666668
reference_r3,unweighted,200810,45,15.100972333333335
reference_r3,unweighted,200901,48,5.751254395833334
reference_r3,unweighted,200904,48,26.8901679375
reference_r3,unweighted,200907,47,53.317252574468085
reference_r3,unweighted,200910,48,31.179058874999996
reference_r4,unweighted,200801,45,5.089972755555555
reference_r4,unweighted,200804,45,18.575575577777776
reference_r4,unweighted,200807,45,28.296280711111113
reference_r4,unweighted,200810,45,16.00695702222222
reference_r4,unweighted,200901,48,5.526864
reference_r4,unweighted,200904,48,26.42494625
reference_r4,unweighted,200907,47,54.50523578723404
reference_r4,unweighted,200910,48,30.700504354166668
