model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
hier_nb,unweighted,1,124,20.25350897580645
hier_nb,unweighted,2,123,23.131720788617887
hier_nb,unweighted,3,124,27.418186846774194
persistence,unweighted,1,124,16.426420161290324
persistence,unweighted,2,123,24.763161593495933
persistence,unweighted,3,124,33.44749620161291
reference,unweighted,1,124,17.459784929435486
reference,unweighted,2,123,23.17832068902439
reference,unweighted,3,124,29.81919879435484
reference_r1,unweighted,1,124,18.119919693548386
reference_r1,unweighted,2,123,23.192824528455283
reference_r1,unweighted,3,124,28.91497171774194
reference_r2,unweighted,1,124,17.16565395967742
reference_r2,unweighted,2,123,23.107110495934958
reference_r2,unweighted,3,124,29.752056193548388
reference_r3,unweighted,1,124,17.171142451612905
reference_r3,unweighted,2,123,23.412910886178864
reference_r3,unweighted,3,124,30.645881
reference_r4,unweighted,1,124,17.382423612903228
reference_r4,unweighted,2,123,23.000436845528455
reference_r4,unweighted,3,124,29.963886266129034
