model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.307350129032258
climatology,unweighted,2,123,23.731123772357726
climatology,unweighted,3,124,26.96736664516129
ensemble,unweighted,1,124,19.1711302016129
ensemble,unweighted,2,123,22.034005918699187
ensemble,unweighted,3,124,26.530077008064517
persistence,unweighted,1,124,16.426420161290324
persistence,unweighted,2,123,24.763161593495933
persistence,unweighted,3,124,33.44749620161291
reference,unweighted,1,124,17.693602659274195
reference,unweighted,2,123,23.36805580284553
reference,unweighted,3,124,29.97893382862903
reference_r1,unweighted,1,124,18.35139485483871
reference_r1,unweighted,2,123,24.33150626829268
reference_r1,unweighted,3,124,30.40945747580645
reference_r2,unweighted,1,124,17.41335080645161
reference_r2,unweighted,2,123,22.559559821138212
reference_r2,unweighted,3,124,29.331641225806454
reference_r3,unweighted,1,124,17.968916540322578
reference_r3,unweighted,2,123,24.057053951219512
reference_r3,unweighted,3,124,30.268576225806452
reference_r4,unweighted,1,124,17.040748435483874
reference_r4,unweighted,2,123,22.52410317073171
reference_r4,unweighted,3,124,29.906060387096773
