model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,200801,45,5.359555555555555
climatology,unweighted,200804,45,26.23410315555556
climatology,unweighted,200807,45,33.693777777777775
climatology,unweighted,200810,45,21.7052214
climatology,unweighted,200901,48,5.830577854166666
climatology,unweighted,200904,48,20.965904208333335
climatology,unweighted,200907,47,51.11837406382978
climatology,unweighted,200910,48,29.698516229166668
ensemble,unweighted,200801,45,4.776475266666666
ensemble,unweighted,200804,45,21.82711188888889
ensemble,unweighted,200807,45,17.60875948888889
ensemble,unweighted,200810,45,16.035990488888892
ensemble,unweighted,200901,48,5.920211999999999
ensemble,unweighted,200904,48,17.982033666666666
ensemble,unweighted,200907,47,41.737421319148936
ensemble,unweighted,200910,48,22.135493395833333
persistence,unweighted,200801,45,6.611819177777777
persistence,unweighted,200804,45,20.283622666666666
persistence,unweighted,200807,45,32.91197982222222
persistence,unweighted,200810,45,18.623586377777777
persistence,unweighted,200901,48,16.376680229166666
persistence,unweighted,200904,48,18.6138768125
persistence,unweighted,200907,47,45.421945723404264
persistence,unweighted,200910,48,36.974086854166664
reference,unweighted,200801,45,5.380119611111111
reference,unweighted,200804,45,19.820207355555553
reference,unweighted,200807,45,21.56401383333333
reference,unweighted,200810,45,17.496585516666666
reference,unweighted,200901,48,5.786967380208334
reference,unweighted,200904,48,26.133274140625
reference,unweighted,200907,47,56.41984898404255
reference,unweighted,200910,48,24.33660565625
reference_r1,unweighted,200801,45,6.139711044444444
reference_r1,unweighted,200804,45,19.15339728888889
reference_r1,unweighted,200807,45,21.619464044444438
reference_r1,unweighted,200810,45,16.366399311111113
reference_r1,unweighted,200901,48,5.878916791666666
reference_r1,unweighted,200904,48,25.212054854166666
reference_r1,unweighted,200907,47,56.388574787234035
reference_r1,unweighted,200910,48,24.5035190625
reference_r2,unweighted,200801,45,5.275144377777778
reference_r2,unweighted,200804,45,20.5302538
reference_r2,unweighted,200807,45,21.63844671111111
reference_r2,unweighted,200810,45,17.907767888888888
reference_r2,unweighted,200901,48,5.593657875000001
reference_r2,unweighted,200904,48,27.293840020833333
reference_r2,unweighted,200907,47,57.027989638297875
reference_r2,unweighted,200910,48,23.970730416666665
reference_r3,unweighted,200801,45,4.925846666666667
reference_r3,unweighted,200804,45,20.51757091111111
reference_r3,unweighted,200807,45,21.631067555555553
reference_r3,unweighted,200810,45,17.937717755555553
reference_r3,unweighted,200901,48,5.789463541666667
reference_r3,unweighted,200904,48,27.439578937500002
reference_r3,unweighted,200907,47,56.19434457446809
reference_r3,unweighted,200910,48,24.685703291666666
reference_r4,unweighted,200801,45,5.179776355555555
reference_r4,unweighted,200804,45,19.079607422222224
reference_r4,unweighted,200807,45,21.36707702222222
reference_r4,unweighted,200810,45,17.77445711111111
reference_r4,unweighted,200901,48,5.8858313125
reference_r4,unweighted,200904,48,24.587622750000005
reference_r4,unweighted,200907,47,56.06848693617022
reference_r4,unweighted,200910,48,24.186469854166663
