model,weighting,horizon_distance,n_cells,mean_crps
climatology,unweighted,1,124,22.430639338709675
climatology,unweighted,2,123,22.64089430894309
climatology,unweighted,3,124,27.31842741935484
ensemble,unweighted,1,124,14.799273927419355
ensemble,unweighted,2,123,17.942713308943087
ensemble,unweighted,3,124,23.503482387096774
persistence,unweighted,1,124,16.309537709677418
persistence,unweighted,2,123,24.43583944715447
persistence,unweighted,3,124,33.101433217741935
reference,unweighted,1,124,16.446681949596773
reference,unweighted,2,123,21.405776922764225
reference,unweighted,3,124,26.55446806854839
reference_r1,unweighted,1,124,16.60396193548387
reference_r1,unweighted,2,123,21.33719248780488
reference_r1,unweighted,3,124,26.495696419354843
reference_r2,unweighted,1,124,16.428467879032258
reference_r2,unweighted,2,123,21.479771032520325
reference_r2,unweighted,3,124,26.61378928225806
reference_r3,unweighted,1,124,16.43760051612903
reference_r3,unweighted,2,123,21.42010207317073
reference_r3,unweighted,3,124,26.58152483064516
reference_r4,unweighted,1,124,16.316697467741935
reference_r4,unweighted,2,123,21.386042097560974
reference_r4,unweighted,3,124,26.52686174193548
