model,weighting,location,split_first_period,n_cells,mean_crps
climatology,unweighted,LA-AT,200801,3,1.7291666666666667
climatology,unweighted,LA-AT,200804,3,3.6875
climatology,unweighted,LA-AT,200807,3,7.3125
climatology,unweighted,LA-AT,200810,3,33.6875
climatology,unweighted,LA-AT,200901,3,45.973333333333336
climatology,unweighted,LA-AT,200904,3,39.093333333333334
climatology,unweighted,LA-AT,200907,3,26.88
climatology,unweighted,LA-AT,200910,3,9.893333333333333
climatology,unweighted,LA-BK,200801,3,0.22916666666666666
climatology,unweighted,LA-BK,200804,3,21.25
climatology,unweighted,LA-BK,200807,3,13.395833333333334
climatology,unweighted,LA-BK,200810,3,35.0
climatology,unweighted,LA-BK,200901,3,0.3466666666666667
climatology,unweighted,LA-BK,200904,3,89.46666666666668
climatology,unweighted,LA-BK,200907,3,117.90666666666668
climatology,unweighted,LA-BK,200910,3,8.799999999999999
climatology,unweighted,LA-BL,200801,3,3.7916666666666665
climatology,unweighted,LA-BL,200804,3,8.479166666666666
climatology,unweighted,LA-BL,200807,3,20.020833333333332
climatology,unweighted,LA-BL,200810,3,11.208333333333334
climatology,unweighted,LA-BL,200901,3,1.9599999999999997
climatology,unweighted,LA-BL,200904,3,12.76
climatology,unweighted,LA-BL,200907,3,28.88
climatology,unweighted,LA-BL,200910,3,11.706666666666669
climatology,unweighted,LA-CH,200801,3,29.645833333333332
climatology,unweighted,LA-CH,200804,3,39.0
climatology,unweighted,LA-CH,200807,3,38.125
climatology,unweighted,LA-CH,200810,3,24.791666666666668
climatology,unweighted,LA-CH,200901,3,10.973333333333334
climatology,unweighted,LA-CH,200904,3,38.093333333333334
climatology,unweighted,LA-CH,200907,3,38.73333333333334
climatology,unweighted,LA-CH,200910,3,39.666666666666664
climatology,unweighted,LA-HO,200801,3,0.041666666666666664
climatology,unweighted,LA-HO,200804,3,0.125
climatology,unweighted,LA-HO,200807,3,0.4583333333333333
climatology,unweighted,LA-HO,200810,3,0.10416666666666667
climatology,unweighted,LA-HO,200901,3,0.02666666666666667
climatology,unweighted,LA-HO,200904,3,0.08
climatology,unweighted,LA-HO,200907,3,0.29333333333333333
climatology,unweighted,LA-HO,200910,3,0.7333333333333333
climatology,unweighted,LA-KH,200801,3,0.10416666666666667
climatology,unweighted,LA-KH,200804,3,5.625
climatology,unweighted,LA-KH,200807,3,46.604166666666664
climatology,unweighted,LA-KH,200810,3,4.5
climatology,unweighted,LA-KH,200901,3,2.066666666666667
climatology,unweighted,LA-KH,200904,3,16.866666666666667
climatology,unweighted,LA-KH,200907,3,139.56000000000003
climatology,unweighted,LA-KH,200910,3,54.81333333333333
climatology,unweighted,LA-LM,200801,3,0.10416666666666667
climatology,unweighted,LA-LM,200804,3,0.0
climatology,unweighted,LA-LM,200807,3,0.041666666666666664
climatology,unweighted,LA-LM,200810,3,0.041666666666666664
climatology,unweighted,LA-LM,200901,3,0.06666666666666664
climatology,unweighted,LA-LM,200904,3,1.0
climatology,unweighted,LA-LM,200907,3,1.5599999999999998
climatology,unweighted,LA-LM,200910,3,4.76
climatology,unweighted,LA-LP,200801,3,11.770833333333334
climatology,unweighted,LA-LP,200804,3,81.9375
climatology,unweighted,LA-LP,200807,3,9.6875
climatology,unweighted,LA-LP,200810,3,68.33333333333333
climatology,unweighted,LA-LP,200901,3,0.8666666666666667
climatology,unweighted,LA-LP,200904,3,10.840000000000003
climatology,unweighted,LA-LP,200907,3,100.33333333333333
climatology,unweighted,LA-LP,200910,3,73.86666666666666
climatology,unweighted,LA-OU,200801,3,0.0
climatology,unweighted,LA-OU,200804,3,0.041666666666666664
climatology,unweighted,LA-OU,200807,3,0.16666666666666666
climatology,unweighted,LA-OU,200810,3,0.10416666666666667
climatology,unweighted,LA-OU,200901,3,0.0
climatology,unweighted,LA-OU,200904,3,0.02666666666666667
climatology,unweighted,LA-OU,200907,3,5.173333333333334
climatology,unweighted,LA-OU,200910,3,11.733333333333334
climatology,unweighted,LA-PH,200901,3,0.0
climatology,unweighted,LA-PH,200904,3,0.0
