model,weighting,split_first_period,n_cells,mean_crps
climatology,unweighted,200801,45,3.8722222222222222
climatology,unweighted,200804,45,22.75631728888889
climatology,unweighted,200807,45,32.977777777777774
climatology,unweighted,200810,45,20.229166666666668
climatology,unweighted,200901,48,5.489999999999999
climatology,unweighted,200904,48,20.263854166666665
climatology,unweighted,200907,47,52.34914893617022
climatology,unweighted,200910,48,34.67755208333333
ensemble,unweighted,200801,45,4.093814266666666
ensemble,unweighted,200804,45,20.501025066666667
ensemble,unweighted,200807,45,17.342496044444445
ensemble,unweighted,200810,45,16.14744273333333
ensemble,unweighted,200901,48,5.6779360625
ensemble,unweighted,200904,48,18.52823641666667
ensemble,unweighted,200907,47,43.113198276595746
ensemble,unweighted,200910,48,24.051331395833333
persistence,unweighted,200801,45,7.024821155555556
persistence,unweighted,200804,45,19.691488177777778
persistence,unweighted,200807,45,32.33461817777778
persistence,unweighted,200810,45,18.264466155555557
persistence,unweighted,200901,48,16.927147458333334
persistence,unweighted,200904,48,18.701503125
persistence,unweighted,200907,47,46.45552419148937
persistence,unweighted,200910,48,36.662313895833336
reference,unweighted,200801,45,5.382800850000001
reference,unweighted,200804,45,20.682628072222222
reference,unweighted,200807,45,20.17108483333333
reference,unweighted,200810,45,16.63660948888889
reference,unweighted,200901,48,5.252565057291666
reference,unweighted,200904,48,24.507877526041668
reference,unweighted,200907,47,53.52297196276596
reference,unweighted,200910,48,24.826701906249998
reference_r1,unweighted,200801,45,5.339163622222222
reference_r1,unweighted,200804,45,20.790192755555555
reference_r1,unweighted,200807,45,20.395835466666668
reference_r1,unweighted,200810,45,16.533445422222222
reference_r1,unweighted,200901,48,5.2165239375
reference_r1,unweighted,200904,48,24.119926708333335
reference_r1,unweighted,200907,47,53.539840893617026
reference_r1,unweighted,200910,48,25.13898920833333
reference_r2,unweighted,200801,45,5.392566177777778
reference_r2,unweighted,200804,45,20.767951
reference_r2,unweighted,200807,45,20.131037288888887
reference_r2,unweighted,200810,45,16.599108844444444
reference_r2,unweighted,200901,48,5.2943901875
reference_r2,unweighted,200904,48,24.551392958333334
reference_r2,unweighted,200907,47,53.40257065957447
reference_r2,unweighted,200910,48,25.138613833333334
reference_r3,unweighted,200801,45,5.4112599999999995
reference_r3,unweighted,200804,45,20.53990742222222
reference_r3,unweighted,200807,45,19.784065
reference_r3,unweighted,200810,45,16.6990782
reference_r3,unweighted,200901,48,5.259000020833334
reference_r3,unweighted,200904,48,24.68384775
reference_r3,unweighted,200907,47,54.25705361702128
reference_r3,unweighted,200910,48,24.420039729166664
reference_r4,unweighted,200801,45,5.388213599999999
reference_r4,unweighted,200804,45,20.63246111111111
reference_r4,unweighted,200807,45,20.373401577777777
reference_r4,unweighted,200810,45,16.71480548888889
reference_r4,unweighted,200901,48,5.240346083333333
reference_r4,unweighted,200904,48,24.6763426875
reference_r4,unweighted,200907,47,52.892422680851055
reference_r4,unweighted,200910,48,24.609164854166668
