model,weighting,location,split_first_period,n_cells,mean_crps
climatology,population,LA-AT,200801,3,1.8766666666666667
climatology,population,LA-AT,200804,3,4.11
climatology,population,LA-AT,200807,3,10.526666666666667
climatology,population,LA-AT,200810,3,34.74333333333334
climatology,population,LA-AT,200901,3,46.489884333333336
climatology,population,LA-AT,200904,3,40.032215
climatology,population,LA-AT,200907,3,29.878155
climatology,population,LA-AT,200910,3,7.592442
climatology,population,LA-BK,200801,3,0.27666666666666667
climatology,population,LA-BK,200804,3,21.273333333333337
climatology,population,LA-BK,200807,3,12.280000000000001
climatology,population,LA-BK,200810,3,34.973333333333336
climatology,population,LA-BK,200901,3,0.5012286666666667
climatology,population,LA-BK,200904,3,93.51679366666666
climatology,population,LA-BK,200907,3,119.84184633333334
climatology,population,LA-BK,200910,3,10.356298
climatology,population,LA-BL,200801,3,3.6199999999999997
climatology,population,LA-BL,200804,3,7.366666666666667
climatology,population,LA-BL,200807,3,24.006666666666668
climatology,population,LA-BL,200810,3,8.403333333333334
climatology,population,LA-BL,200901,3,1.3863260000000002
climatology,population,LA-BL,200904,3,12.27488166666667
climatology,population,LA-BL,200907,3,31.795670666666663
climatology,population,LA-BL,200910,3,10.036192000000002
climatology,population,LA-CH,200801,3,50.37333333333333
climatology,population,LA-CH,200804,3,65.99333333333334
climatology,population,LA-CH,200807,3,44.45333333333333
climatology,population,LA-CH,200810,3,37.36
climatology,population,LA-CH,200901,3,17.137458
climatology,population,LA-CH,200904,3,34.411892333333334
climatology,population,LA-CH,200907,3,40.429376
climatology,population,LA-CH,200910,3,16.801071999999998
climatology,population,LA-HO,200801,3,0.01
climatology,population,LA-HO,200804,3,0.0233333333333333
climatology,population,LA-HO,200807,3,0.2966666666666667
climatology,population,LA-HO,200810,3,0.22333333333333333
climatology,population,LA-HO,200901,3,0.0082809999999999
climatology,population,LA-HO,200904,3,0.0193223333333333
climatology,population,LA-HO,200907,3,0.24518466666666663
climatology,population,LA-HO,200910,3,0.7904573333333333
climatology,population,LA-KH,200801,3,0.44666666666666655
climatology,population,LA-KH,200804,3,3.476666666666667
climatology,population,LA-KH,200807,3,29.026666666666667
climatology,population,LA-KH,200810,3,3.5300000000000002
climatology,population,LA-KH,200901,3,2.127218
climatology,population,LA-KH,200904,3,16.835876
climatology,population,LA-KH,200907,3,142.235039
climatology,population,LA-KH,200910,3,55.05719233333333
climatology,population,LA-LM,200801,3,0.016666666666666632
climatology,population,LA-LM,200804,3,0.0033333333333333335
climatology,population,LA-LM,200807,3,0.026666666666666596
climatology,population,LA-LM,200810,3,0.03666666666666667
climatology,population,LA-LM,200901,3,0.013801666666666665
climatology,population,LA-LM,200904,3,0.9420936666666667
climatology,population,LA-LM,200907,3,1.567416
climatology,population,LA-LM,200910,3,4.605697
climatology,population,LA-LP,200801,3,11.643333333333333
climatology,population,LA-LP,200804,3,90.5
climatology,population,LA-LP,200807,3,11.196666666666665
climatology,population,LA-LP,200810,3,79.78999999999999
climatology,population,LA-LP,200901,3,0.41128966666666666
climatology,population,LA-LP,200904,3,3.404432666666666
climatology,population,LA-LP,200907,3,83.72971433333333
climatology,population,LA-LP,200910,3,65.14785566666667
climatology,population,LA-OU,200801,3,0.0
climatology,population,LA-OU,200804,3,0.006666666666666667
climatology,population,LA-OU,200807,3,0.06666666666666667
climatology,population,LA-OU,200810,3,0.02999999999999997
climatology,population,LA-OU,200901,3,0.0
climatology,population,LA-OU,200904,3,0.005520666666666599
climatology,population,LA-OU,200907,3,5.145873333333333
climatology,population,LA-OU,200910,3,11.933509666666666
climatology,population,LA-PH,200901,3,0.0
climatology,population,LA-PH,200904,3,0.0
climatology,population,LA-PH,200907,2,0.02
climatology,population,LA-PH,200910,3,0.0
climatology,population,LA-SL,200801,3,1.9099999999999997
climatology,population,LA-SL,200804,3,97.24
climatology,population,LA-SL,200807,3,67.91666666666667
climatology,population,LA-SL,200810,3,38.13
climatology,population,LA-SL,200901,3,16.062821
climatology,population,LA-SL,200904,3,44.228548333333336
climatology,population,LA-SL,200907,3,108.113192
climatology,population,LA-SL,200910,3,43.17124033333334
climatology,population,LA-SV,200801,3,1.2733333333333332
climatology,population,LA-SV,200804,3,33.72666666666667
climatology,population,LA-SV,200807,3,135.32
climatology,population,LA-SV,200810,3,24.67666666666667
climatology,population,LA-SV,200901,3,1.1447503333333333
climatology,population,LA-SV,200904,3,30.738804999999996
climatology,population,LA-SV,200907,3,101.11638766666667
climatology,population,LA-SV,200910,3,20.184012666666664
climatology,population,LA-VT,200801,3,8.256666666666666
climatology,population,LA-VT,200804,3,60.656666666666666
climatology,population,LA-VT,200807,3,156.8033333333333
climatology,population,LA-VT,200810,3,61.43333333333334
climatology,population,LA-VT,200901,3,6.3441313333333325
climatology,population,LA-VT,200904,3,25.158537000000003
climatology,population,LA-VT,200907,3,100.21278933333333
climatology,population,LA-VT,200910,3,222.56729199999998
climatology,population,LA-XA,200801,3,0.62
climatology,population,LA-XA,200804,3,7.716666666666665
climatology,population,LA-XA,200807,3,13.056666666666667
climatology,population,LA-XA,200810,3,1.7866666666666668
climatology,population,LA-XA,200901,3,0.5134219999999999
climatology,population,LA-XA,200904,3,7.023262333333336
climatology,population,LA-XA,200907,3,14.176890666666669
climatology,population,LA-XA,200910,3,2.326326333333334
climatology,population,LA-XE,200801,3,0.07
climatology,population,LA-XE,200804,3,1.0848806666666666
climatology,population,LA-XE,200807,3,0.42
climatology,population,LA-XE,200810,3,0.4583209999999999
climatology,population,LA-XE,200901,3,1.1486336666666666
climatology,population,LA-XE,200904,3,2.920193
climatology,population,LA-XE,200907,3,18.800044333333332
climatology,population,LA-XE,200910,3,4.603912
climatology,population,LA-XI,200801,3,0.0
climatology,population,LA-XI,200804,3,0.3333333333333333
climatology,population,LA-XI,200807,3,0.01
climatology,population,LA-XI,200810,3,0.003333333333333333
climatology,population,LA-XI,200901,3,0.0
climatology,population,LA-XI,200904,3,23.942093666666665
climatology,population,LA-XI,200907,3,3.553614333333333
climatology,population,LA-XI,200910,3,0.0027603333333332996
ensemble,population,LA-AT,200801,3,1.6145209999999999
ensemble,population,LA-AT,200804,3,3.858477666666667
ensemble,population,LA-AT,200807,3,8.114439333333332
ensemble,population,LA-AT,200810,3,25.82449
ensemble,population,LA-AT,200901,3,37.18920333333333
ensemble,population,LA-AT,200904,3,28.144877333333334
ensemble,population,LA-AT,200907,3,22.659515000000003
ensemble,population,LA-AT,200910,3,4.5020549999999995
ensemble,population,LA-BK,200801,3,0.2521926666666667
ensemble,population,LA-BK,200804,3,20.816547
ensemble,population,LA-BK,200807,3,9.080666666666666
