model,weighting,split_first_period,n_cells,mean_crps
climatology,population,200801,45,9.579589689619183
climatology,population,200804,45,39.43682612767221
climatology,population,200807,45,70.54023650299555
climatology,population,200810,45,30.764871746534787
climatology,population,200901,48,6.094589950207957
climatology,population,200904,48,23.561160117023654
climatology,population,200907,47,70.43560773879396
climatology,population,200910,48,64.10994368978254
ensemble,population,200801,45,9.052561198812754
ensemble,population,200804,45,29.947828739380604
ensemble,population,200807,45,33.713743679338705
ensemble,population,200810,45,22.251236890503453
ensemble,population,200901,48,7.491522432488339
ensemble,population,200904,48,20.34256243525868
ensemble,population,200907,47,59.748794521426646
ensemble,population,200910,48,45.985995889297996
persistence,population,200801,45,15.535524619957485
persistence,population,200804,45,26.081821820559465
persistence,population,200807,45,43.029174394248415
persistence,population,200810,45,26.978570219201625
persistence,population,200901,48,22.749339084128202
persistence,population,200904,48,19.19093939647936
persistence,population,200907,47,68.55270109629303
persistence,population,200910,48,47.7312005874102
reference,population,200801,45,9.05590017818969
reference,population,200804,45,28.19852677078834
reference,population,200807,45,41.36538941459472
reference,population,200810,45,23.375299464769952
reference,population,200901,48,7.5388433955978975
reference,population,200904,48,38.12164264000777
reference,population,200907,47,89.77336184711321
reference,population,200910,48,58.757991769509175
reference_r1,population,200801,45,8.892478520027847
reference_r1,population,200804,45,27.408781477626103
reference_r1,population,200807,45,41.487460079592914
reference_r1,population,200810,45,23.997163828246794
reference_r1,population,200901,48,7.493621497039827
reference_r1,population,200904,48,37.33112291084887
reference_r1,population,200907,47,90.2120245960186
reference_r1,population,200910,48,58.03458446500048
reference_r2,population,200801,45,8.954988711142873
reference_r2,population,200804,45,28.473649451509008
reference_r2,population,200807,45,41.13794008949411
reference_r2,population,200810,45,24.20501768582085
reference_r2,population,200901,48,7.5669323484369055
reference_r2,population,200904,48,37.5995432552396
reference_r2,population,200907,47,89.36004603432488
reference_r2,population,200910,48,57.51724521346147
reference_r3,population,200801,45,9.448752446099647
reference_r3,population,200804,45,29.38196761169032
reference_r3,population,200807,45,41.1980992953546
reference_r3,population,200810,45,21.43989582313683
reference_r3,population,200901,48,7.7047720803329325
reference_r3,population,200904,48,39.912654394289
reference_r3,population,200907,47,90.73632518938636
reference_r3,population,200910,48,61.03921789863006
reference_r4,population,200801,45,8.927381035488395
reference_r4,population,200804,45,27.529708542327946
reference_r4,population,200807,45,41.63805819393727
reference_r4,population,200810,45,23.859120521875344
reference_r4,population,200901,48,7.390047656581925
reference_r4,population,200904,48,37.643249999653605
reference_r4,population,200907,47,88.78505156872293
reference_r4,population,200910,48,58.44091950094469
