weighting,location,time_period,weight
population,LA-AT,200801,100456.0
population,LA-AT,200802,100456.0
population,LA-AT,200803,100456.0
population,LA-AT,200804,100456.0
population,LA-AT,200805,100456.0
population,LA-AT,200806,100456.0
population,LA-AT,200807,100456.0
population,LA-AT,200808,100456.0
population,LA-AT,200809,100456.0
population,LA-AT,200810,100456.0
population,LA-AT,200811,100456.0
population,LA-AT,200812,100456.0
population,LA-AT,200901,100456.0
population,LA-AT,200902,100456.0
population,LA-AT,200903,100456.0
population,LA-AT,200904,100456.0
population,LA-AT,200905,100456.0
population,LA-AT,200906,100456.0
population,LA-AT,200907,100456.0
population,LA-AT,200908,100456.0
population,LA-AT,200909,100456.0
population,LA-AT,200910,100456.0
population,LA-AT,200911,100456.0
population,LA-AT,200912,100456.0
population,LA-BK,200801,88893.0
population,LA-BK,200802,88893.0
population,LA-BK,200803,88893.0
population,LA-BK,200804,88893.0
population,LA-BK,200805,88893.0
population,LA-BK,200806,88893.0
population,LA-BK,200807,88893.0
population,LA-BK,200808,88893.0
population,LA-BK,200809,88893.0
population,LA-BK,200810,88893.0
population,LA-BK,200811,88893.0
population,LA-BK,200812,88893.0
population,LA-BK,200901,88893.0
population,LA-BK,200902,88893.0
population,LA-BK,200903,88893.0
population,LA-BK,200904,88893.0
population,LA-BK,200905,88893.0
population,LA-BK,200906,88893.0
population,LA-BK,200907,88893.0
population,LA-BK,200908,88893.0
population,LA-BK,200909,88893.0
population,LA-BK,200910,88893.0
population,LA-BK,200911,88893.0
population,LA-BK,200912,88893.0
population,LA-BL,200801,304188.0
population,LA-BL,200802,304188.0
population,LA-BL,200803,304188.0
population,LA-BL,200804,304188.0
population,LA-BL,200805,304188.0
population,LA-BL,200806,304188.0
population,LA-BL,200807,304188.0
population,LA-BL,200808,304188.0
population,LA-BL,200809,304188.0
population,LA-BL,200810,304188.0
population,LA-BL,200811,304188.0
population,LA-BL,200812,304188.0
population,LA-BL,200901,304188.0
population,LA-BL,200902,304188.0
population,LA-BL,200903,304188.0
population,LA-BL,200904,304188.0
population,LA-BL,200905,304188.0
population,LA-BL,200906,304188.0
population,LA-BL,200907,304188.0
population,LA-BL,200908,304188.0
population,LA-BL,200909,304188.0
population,LA-BL,200910,304188.0
population,LA-BL,200911,304188.0
population,LA-BL,200912,304188.0
population,LA-CH,200801,586946.0
population,LA-CH,200802,586946.0
population,LA-CH,200803,586946.0
population,LA-CH,200804,586946.0
population,LA-CH,200805,586946.0
population,LA-CH,200806,586946.0
population,LA-CH,200807,586946.0
population,LA-CH,200808,586946.0
population,LA-CH,200809,586946.0
population,LA-CH,200810,586946.0
population,LA-CH,200811,586946.0
population,LA-CH,200812,586946.0
population,LA-CH,200901,586946.0
population,LA-CH,200902,586946.0
population,LA-CH,200903,586946.0
population,LA-CH,200904,586946.0
population,LA-CH,200905,586946.0
population,LA-CH,200906,586946.0
population,LA-CH,200907,586946.0
population,LA-CH,200908,586946.0
population,LA-CH,200909,586946.0
population,LA-CH,200910,586946.0
population,LA-CH,200911,586946.0
population,LA-CH,200912,586946.0
population,LA-HO,200801,97424.0
population,LA-HO,200802,97424.0
population,LA-HO,200803,97424.0
population,LA-HO,200804,97424.0
population,LA-HO,200805,97424.0
population,LA-HO,200806,97424.0
population,LA-HO,200807,97424.0
population,LA-HO,200808,97424.0
population,LA-HO,200809,97424.0
population,LA-HO,200810,97424.0
population,LA-HO,200811,97424.0
population,LA-HO,200812,97424.0
population,LA-HO,200901,97424.0
population,LA-HO,200902,97424.0
population,LA-HO,200903,97424.0
population,LA-HO,200904,97424.0
population,LA-HO,200905,97424.0
population,LA-HO,200906,97424.0
population,LA-HO,200907,97424.0
population,LA-HO,200908,97424.0
population,LA-HO,200909,97424.0
population,LA-HO,200910,97424.0
population,LA-HO,200911,97424.0
population,LA-HO,200912,97424.0
population,LA-KH,200801,325633.0
population,LA-KH,200802,325633.0
population,LA-KH,200803,325633.0
population,LA-KH,200804,325633.0
population,LA-KH,200805,325633.0
