model,weighting,split_first_period,n_cells,mean_crps
climatology,cases,200801,45,36.16154822335025
climatology,cases,200804,45,107.8175260804769
climatology,cases,200807,45,78.68306882022472
climatology,cases,200810,45,61.80635291710625
climatology,cases,200901,48,29.6791279504717
climatology,cases,200904,48,73.77407301784329
climatology,cases,200907,47,117.50881418840581
climatology,cases,200910,48,154.84685104059196
ensemble,cases,200801,45,29.669824581218272
ensemble,cases,200804,45,104.67480219895677
ensemble,cases,200807,45,48.558196231741576
ensemble,cases,200810,45,51.5204377354936
ensemble,cases,200901,48,26.93362541745283
ensemble,cases,200904,48,72.3457793685027
ensemble,cases,200907,47,116.52464103488995
ensemble,cases,200910,48,109.5295671640592
persistence,cases,200801,45,20.90649024619289
persistence,cases,200804,45,103.37802414157973
persistence,cases,200807,45,76.87942870014045
persistence,cases,200810,45,49.94807038809345
persistence,cases,200901,48,27.879811103773587
persistence,cases,200904,48,69.40400554072926
persistence,cases,200907,47,129.3176277651637
persistence,cases,200910,48,67.03269541141648
reference,cases,200801,45,31.278291904822336
reference,cases,200804,45,96.77309414679583
reference,cases,200807,45,72.90114146523875
reference,cases,200810,45,58.99919370648078
reference,cases,200901,48,26.756225291273584
reference,cases,200904,48,77.34824153878976
reference,cases,200907,47,167.36218139117017
reference,cases,200910,48,151.03048414196618
reference_r1,cases,200801,45,30.69467032741117
reference_r1,cases,200804,45,89.75999147168406
reference_r1,cases,200807,45,73.26578504705056
reference_r1,cases,200810,45,60.08339281914091
reference_r1,cases,200901,48,26.928222535377355
reference_r1,cases,200904,48,76.77272016757175
reference_r1,cases,200907,47,166.41050383252815
reference_r1,cases,200910,48,149.9805168680761
reference_r2,cases,200801,45,30.50405396700508
reference_r2,cases,200804,45,114.78199130327869
reference_r2,cases,200807,45,72.73728777176967
reference_r2,cases,200810,45,60.499002742275806
reference_r2,cases,200901,48,27.172958933962263
reference_r2,cases,200904,48,76.41888658650116
reference_r2,cases,200907,47,164.94259855609232
reference_r2,cases,200910,48,146.292793205074
reference_r3,cases,200801,45,32.868246718274115
reference_r3,cases,200804,45,94.33313429210135
reference_r3,cases,200807,45,72.7643036980337
reference_r3,cases,200810,45,55.440560325546336
reference_r3,cases,200901,48,27.30965896226415
reference_r3,cases,200904,48,79.34067864313421
reference_r3,cases,200907,47,174.1510588271605
reference_r3,cases,200910,48,158.76077391247358
reference_r4,cases,200801,45,31.046196606598986
reference_r4,cases,200804,45,88.21725952011921
reference_r4,cases,200807,45,72.8371893441011
reference_r4,cases,200810,45,59.97381893896006
reference_r4,cases,200901,48,25.614060733490568
reference_r4,cases,200904,48,76.8606807579519
reference_r4,cases,200907,47,163.94456434889963
reference_r4,cases,200910,48,149.087852582241
