model,weighting,horizon_distance,n_cells,mean_crps
climatology,cases,1,124,89.3079520986878
climatology,cases,2,123,103.42475099720882
climatology,cases,3,124,113.05294812702473
hier_nb,cases,1,124,98.3045670699836
hier_nb,cases,2,123,110.33670459756407
hier_nb,cases,3,124,124.75046777216541
persistence,cases,1,124,53.69262261973756
persistence,cases,2,123,77.88634632834305
persistence,cases,3,124,119.57006942817561
reference,cases,1,124,91.07063811468015
reference,cases,2,123,111.52886880353971
reference,cases,3,124,137.13762455210997
reference_r1,cases,1,124,90.21194569054127
reference_r1,cases,2,123,112.8481252192337
reference_r1,cases,3,124,133.63385599765556
reference_r2,cases,1,124,90.22739146008747
reference_r2,cases,2,123,109.4681241890383
reference_r2,cases,3,124,140.45914027621484
reference_r3,cases,1,124,92.88318879852378
reference_r3,cases,2,123,116.00220045673687
reference_r3,cases,3,124,140.2398287476556
reference_r4,cases,1,124,90.96002650956807
reference_r4,cases,2,123,107.79702534914998
reference_r4,cases,3,124,134.21767318691388
