model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
climatology,cases,LA-AT,24,49.86212288869258,51.830388692579504,0.037102473498233215,0.0,566.0
climatology,cases,LA-BK,24,127.45375574002158,131.63754045307442,0.003236245954692557,0.002157497303128371,927.0
climatology,cases,LA-BL,24,17.582213486842107,31.24780701754386,0.8596491228070176,0.5526315789473685,228.0
climatology,cases,LA-CH,24,49.32193410448375,63.52221308103661,0.6898395721925134,0.5026737967914439,2431.0
climatology,cases,LA-HO,24,0.7135509999999999,1.0,0.6666666666666666,0.3333333333333333,6.0
climatology,cases,LA-KH,24,123.16693918560605,184.12073863636363,0.24337121212121213,0.1581439393939394,1056.0
climatology,cases,LA-LM,24,4.010508826086957,4.304347826086956,0.043478260869565216,0.0,23.0
climatology,cases,LA-LP,24,127.11326646856288,150.44835329341316,0.11002994011976049,0.07335329341317365,1336.0
climatology,cases,LA-OU,24,13.987912698113208,14.245283018867925,0.018867924528301886,0.0,53.0
climatology,cases,LA-PH,11,,,,,0.0
climatology,cases,LA-SL,24,100.42846483780068,115.61099656357388,0.029553264604810996,0.0006872852233676976,1455.0
climatology,cases,LA-SV,24,71.33025506770834,108.1875,0.9791666666666666,0.796875,192.0
climatology,cases,LA-VT,24,142.39452749231182,190.39411923388184,0.4933908821149177,0.41758834637172915,3707.0
climatology,cases,LA-XA,24,13.452908384,23.656,1.0,0.936,125.0
climatology,cases,LA-XE,24,16.300648323529412,17.86764705882353,0.058823529411764705,0.00980392156862745,102.0
climatology,cases,LA-XI,24,32.176105869047625,32.285714285714285,0.0,0.0,84.0
hier_nb,cases,LA-AT,24,49.611808024734984,51.830388692579504,0.030035335689045935,0.0,566.0
hier_nb,cases,LA-BK,24,129.80088467529663,132.01186623516722,0.002157497303128371,0.002157497303128371,927.0
hier_nb,cases,LA-BL,24,11.266832074561403,9.0,1.0,0.8201754385964912,228.0
hier_nb,cases,LA-CH,24,69.14078423981901,101.92677910324969,0.8087206910736322,0.3537638831756479,2431.0
hier_nb,cases,LA-HO,24,0.7996645,1.0,0.5,0.0,6.0
hier_nb,cases,LA-KH,24,142.43580070170455,193.91003787878788,0.10227272727272728,0.020833333333333332,1056.0
hier_nb,cases,LA-LM,24,3.9671741739130435,4.304347826086956,0.043478260869565216,0.0,23.0
hier_nb,cases,LA-LP,24,130.3810336497006,152.99700598802394,0.11002994011976049,0.08532934131736528,1336.0
hier_nb,cases,LA-OU,24,13.752449452830188,14.245283018867925,0.018867924528301886,0.018867924528301886,53.0
hier_nb,cases,LA-PH,11,,,,,0.0
hier_nb,cases,LA-SL,24,106.65618384467355,115.74364261168385,0.0013745704467353953,0.0,1455.0
hier_nb,cases,LA-SV,24,34.22700303125,18.411458333333332,1.0,0.9583333333333334,192.0
hier_nb,cases,LA-VT,24,153.18588222605882,200.2380631238198,0.7596439169139466,0.5611006204478014,3707.0
hier_nb,cases,LA-XA,24,11.775433,11.432,1.0,1.0,125.0
hier_nb,cases,LA-XE,24,14.695879156862745,17.573529411764707,0.1568627450980392,0.00980392156862745,102.0
hier_nb,cases,LA-XI,24,32.08298469047619,32.285714285714285,0.0,0.0,84.0
persistence,cases,LA-AT,24,23.55418514664311,24.840989399293285,0.09187279151943463,0.0,566.0
persistence,cases,LA-BK,24,85.63045912081985,86.4638619201726,0.0010787486515641855,0.0,927.0
persistence,cases,LA-BL,24,9.68146921491228,14.223684210526315,1.0,0.631578947368421,228.0
persistence,cases,LA-CH,24,55.14146860839161,75.34718222953516,0.7531879884821061,0.3048128342245989,2431.0
persistence,cases,LA-HO,24,0.2866356666666667,0.3333333333333333,1.0,0.6666666666666666,6.0
persistence,cases,LA-KH,24,146.2530190407197,173.56628787878788,0.026515151515151516,0.022727272727272728,1056.0
persistence,cases,LA-LM,24,1.1991237826086956,1.3478260869565217,0.17391304347826086,0.17391304347826086,23.0
persistence,cases,LA-LP,24,143.7344351976048,162.39745508982037,0.1309880239520958,0.006736526946107785,1336.0
persistence,cases,LA-OU,24,6.560872660377358,6.7924528301886795,0.0,0.0,53.0
persistence,cases,LA-PH,11,,,,,0.0
persistence,cases,LA-SL,24,98.58613297938145,102.48797250859107,0.003436426116838488,0.0,1455.0
persistence,cases,LA-SV,24,19.665302494791668,25.739583333333332,1.0,0.9166666666666666,192.0
persistence,cases,LA-VT,24,90.69811667952521,132.7998381440518,0.6957108173725385,0.47423792824386296,3707.0
persistence,cases,LA-XA,24,9.089999344,11.848,1.0,0.216,125.0
persistence,cases,LA-XE,24,11.014954813725492,11.803921568627452,0.21568627450980393,0.029411764705882353,102.0
persistence,cases,LA-XI,24,34.13578294047619,34.20238095238095,0.0,0.0,84.0
reference,cases,LA-AT,24,35.42848743153711,47.36506183745583,0.2959363957597173,0.09010600706713781,566.0
reference,cases,LA-BK,24,102.23003066477885,123.17907227615966,0.1518338727076591,0.09978425026968717,927.0
reference,cases,LA-BL,24,13.885404660087719,20.43969298245614,0.8695175438596491,0.2741228070175439,228.0
reference,cases,LA-CH,24,67.82098728331962,88.38425545043192,0.9380913204442616,0.34358288770053474,2431.0
reference,cases,LA-HO,24,0.7675306666666666,1.0,0.5833333333333334,0.4166666666666667,6.0
reference,cases,LA-KH,24,158.7484468951231,191.51313920454547,0.21875,0.1503314393939394,1056.0
reference,cases,LA-LM,24,3.028499293478261,4.086956521739131,0.43478260869565216,0.13043478260869565,23.0
reference,cases,LA-LP,24,129.00427492047154,152.02722679640718,0.2994011976047904,0.0,1336.0
reference,cases,LA-OU,24,10.624364712264152,13.547169811320755,0.3443396226415094,0.10377358490566038,53.0
reference,cases,LA-PH,11,,,,,0.0
reference,cases,LA-SL,24,78.71344814020618,104.31829896907216,0.5323024054982818,0.10652920962199312,1455.0
reference,cases,LA-SV,24,22.37167636067707,20.061848958333332,1.0,0.7408854166666666,192.0
reference,cases,LA-VT,24,180.2618803419207,282.8655921230105,0.7863501483679525,0.16650930671702185,3707.0
reference,cases,LA-XA,24,11.036136181999998,16.414,0.926,0.396,125.0
reference,cases,LA-XE,24,14.99465889215686,17.454656862745097,0.25,0.18627450980392157,102.0
reference,cases,LA-XI,24,31.83727548809524,32.285714285714285,0.0744047619047619,0.011904761904761904,84.0
reference_r1,cases,LA-AT,24,35.834497878091874,47.669611307420496,0.20848056537102475,0.09540636042402827,566.0
reference_r1,cases,LA-BK,24,101.74080438834952,123.25404530744336,0.15318230852211434,0.10248112189859762,927.0
reference_r1,cases,LA-BL,24,13.798680486842105,20.18421052631579,0.7894736842105263,0.32456140350877194,228.0
reference_r1,cases,LA-CH,24,65.32431619292471,82.85026737967914,0.9424105306458248,0.3965446318387495,2431.0
reference_r1,cases,LA-HO,24,0.7605271666666669,1.0,0.5,0.5,6.0
reference_r1,cases,LA-KH,24,157.0441510056818,191.9090909090909,0.21875,0.14678030303030304,1056.0
