model,weighting,horizon_distance,n_cells,mean_crps
climatology,cases,1,124,89.3079520986878
climatology,cases,2,123,103.42475099720882
climatology,cases,3,124,113.05294812702473
ensemble,cases,1,124,67.91511619190815
ensemble,cases,2,123,86.93043939203248
ensemble,cases,3,124,110.87141635741688
persistence,cases,1,124,53.69262261973756
persistence,cases,2,123,77.88634632834305
persistence,cases,3,124,119.57006942817561
reference,cases,1,124,91.88992977767906
reference,cases,2,123,112.10827178355748
reference,cases,3,124,139.3695907365729
reference_r1,cases,1,124,91.05997064844176
reference_r1,cases,2,123,109.18968379548338
reference_r1,cases,3,124,137.0992444087809
reference_r2,cases,1,124,93.66132835757246
reference_r2,cases,2,123,118.96887804389748
reference_r2,cases,3,124,139.52881024978683
reference_r3,cases,1,124,90.78717513203937
reference_r3,cases,2,123,110.07023923699568
reference_r3,cases,3,124,142.56733889215684
reference_r4,cases,1,124,92.05124497266266
reference_r4,cases,2,123,110.20428605785337
reference_r4,cases,3,124,138.28296939556694
