model,weighting,split_first_period,n_cells,mean_crps
climatology,cases,200801,45,36.16154822335025
climatology,cases,200804,45,107.8175260804769
climatology,cases,200807,45,78.68306882022472
climatology,cases,200810,45,61.80635291710625
climatology,cases,200901,48,29.6791279504717
climatology,cases,200904,48,73.77407301784329
climatology,cases,200907,47,117.50881418840581
climatology,cases,200910,48,154.84685104059196
ensemble,cases,200801,45,30.74106859898477
ensemble,cases,200804,45,105.85038937630404
ensemble,cases,200807,45,49.6920040252809
ensemble,cases,200810,45,51.48552846872644
ensemble,cases,200901,48,26.96060234669811
ensemble,cases,200904,48,71.99965485802949
ensemble,cases,200907,47,118.36182300375738
ensemble,cases,200910,48,115.32098335010572
persistence,cases,200801,45,20.90649024619289
persistence,cases,200804,45,103.37802414157973
persistence,cases,200807,45,76.87942870014045
persistence,cases,200810,45,49.94807038809345
persistence,cases,200901,48,27.879811103773587
persistence,cases,200904,48,69.40400554072926
persistence,cases,200907,47,129.3176277651637
persistence,cases,200910,48,67.03269541141648
reference,cases,200801,45,35.11900595748731
reference,cases,200804,45,99.10238009146795
reference,cases,200807,45,70.033799434691
reference,cases,200810,45,57.70063370610399
reference,cases,200901,48,27.54842712441038
reference,cases,200904,48,73.98806529402637
reference,cases,200907,47,169.39676975221417
reference,cases,200910,48,156.66871663731501
reference_r1,cases,200801,45,39.17552615989848
reference_r1,cases,200804,45,97.70259204769002
reference_r1,cases,200807,45,64.36562889115169
reference_r1,cases,200810,45,55.268327385832706
reference_r1,cases,200901,48,25.630004808962262
reference_r1,cases,200904,48,72.22822451202482
reference_r1,cases,200907,47,166.85156678663446
reference_r1,cases,200910,48,156.22645587188163
reference_r2,cases,200801,45,33.35223604060914
reference_r2,cases,200804,45,97.8028659865872
reference_r2,cases,200807,45,70.96446402106741
reference_r2,cases,200810,45,59.69753156970611
reference_r2,cases,200901,48,33.05638977830189
reference_r2,cases,200904,48,75.83598714817688
reference_r2,cases,200907,47,171.69616047074604
reference_r2,cases,200910,48,164.89049736490486
reference_r3,cases,200801,45,34.585093956852795
reference_r3,cases,200804,45,111.9483247876304
reference_r3,cases,200807,45,73.08453801896067
reference_r3,cases,200810,45,55.23035888093444
reference_r3,cases,200901,48,25.703881827830187
reference_r3,cases,200904,48,71.38950916834756
reference_r3,cases,200907,47,169.1573190273752
reference_r3,cases,200910,48,152.3840644317125
reference_r4,cases,200801,45,33.36316767258883
reference_r4,cases,200804,45,88.95573754396422
reference_r4,cases,200807,45,71.72056680758429
reference_r4,cases,200810,45,60.606316987942726
reference_r4,cases,200901,48,25.80343208254717
reference_r4,cases,200904,48,76.49854034755624
reference_r4,cases,200907,47,169.88203272410095
reference_r4,cases,200910,48,153.17384888076108
