weighting,location,time_period,weight
cases,LA-AT,200801,4.0
cases,LA-AT,200802,2.0
cases,LA-AT,200803,0.0
cases,LA-AT,200804,0.0
cases,LA-AT,200805,4.0
cases,LA-AT,200806,10.0
cases,LA-AT,200807,6.0
cases,LA-AT,200808,11.0
cases,LA-AT,200809,24.0
cases,LA-AT,200810,47.0
cases,LA-AT,200811,43.0
cases,LA-AT,200812,23.0
cases,LA-AT,200901,18.0
cases,LA-AT,200902,46.0
cases,LA-AT,200903,77.0
cases,LA-AT,200904,99.0
cases,LA-AT,200905,0.0
cases,LA-AT,200906,24.0
cases,LA-AT,200907,64.0
cases,LA-AT,200908,21.0
cases,LA-AT,200909,17.0
cases,LA-AT,200910,4.0
cases,LA-AT,200911,16.0
cases,LA-AT,200912,6.0
cases,LA-BK,200801,1.0
cases,LA-BK,200802,0.0
cases,LA-BK,200803,0.0
cases,LA-BK,200804,0.0
cases,LA-BK,200805,12.0
cases,LA-BK,200806,53.0
cases,LA-BK,200807,2.0
cases,LA-BK,200808,9.0
cases,LA-BK,200809,33.0
cases,LA-BK,200810,48.0
cases,LA-BK,200811,55.0
cases,LA-BK,200812,5.0
cases,LA-BK,200901,1.0
cases,LA-BK,200902,0.0
cases,LA-BK,200903,1.0
cases,LA-BK,200904,3.0
cases,LA-BK,200905,74.0
cases,LA-BK,200906,216.0
cases,LA-BK,200907,212.0
cases,LA-BK,200908,110.0
cases,LA-BK,200909,52.0
cases,LA-BK,200910,31.0
cases,LA-BK,200911,5.0
cases,LA-BK,200912,4.0
cases,LA-BL,200801,10.0
cases,LA-BL,200802,7.0
cases,LA-BL,200803,1.0
cases,LA-BL,200804,3.0
cases,LA-BL,200805,15.0
cases,LA-BL,200806,19.0
cases,LA-BL,200807,31.0
cases,LA-BL,200808,32.0
cases,LA-BL,200809,30.0
cases,LA-BL,200810,5.0
cases,LA-BL,200811,12.0
cases,LA-BL,200812,1.0
cases,LA-BL,200901,2.0
cases,LA-BL,200902,3.0
cases,LA-BL,200903,0.0
cases,LA-BL,200904,2.0
cases,LA-BL,200905,0.0
cases,LA-BL,200906,7.0
cases,LA-BL,200907,35.0
cases,LA-BL,200908,9.0
cases,LA-BL,200909,0.0
cases,LA-BL,200910,1.0
cases,LA-BL,200911,2.0
cases,LA-BL,200912,1.0
cases,LA-CH,200801,73.0
cases,LA-CH,200802,90.0
cases,LA-CH,200803,92.0
cases,LA-CH,200804,69.0
cases,LA-CH,200805,113.0
cases,LA-CH,200806,295.0
cases,LA-CH,200807,162.0
cases,LA-CH,200808,143.0
cases,LA-CH,200809,185.0
cases,LA-CH,200810,140.0
cases,LA-CH,200811,102.0
cases,LA-CH,200812,73.0
cases,LA-CH,200901,31.0
cases,LA-CH,200902,48.0
cases,LA-CH,200903,60.0
cases,LA-CH,200904,102.0
cases,LA-CH,200905,66.0
cases,LA-CH,200906,124.0
cases,LA-CH,200907,122.0
cases,LA-CH,200908,110.0
cases,LA-CH,200909,105.0
cases,LA-CH,200910,59.0
cases,LA-CH,200911,35.0
cases,LA-CH,200912,32.0
cases,LA-HO,200801,0.0
cases,LA-HO,200802,0.0
cases,LA-HO,200803,0.0
cases,LA-HO,200804,0.0
cases,LA-HO,200805,0.0
cases,LA-HO,200806,0.0
cases,LA-HO,200807,0.0
cases,LA-HO,200808,0.0
cases,LA-HO,200809,1.0
cases,LA-HO,200810,0.0
cases,LA-HO,200811,0.0
cases,LA-HO,200812,1.0
cases,LA-HO,200901,0.0
cases,LA-HO,200902,0.0
cases,LA-HO,200903,0.0
cases,LA-HO,200904,0.0
cases,LA-HO,200905,0.0
cases,LA-HO,200906,0.0
cases,LA-HO,200907,0.0
cases,LA-HO,200908,0.0
