model,weighting,horizon_distance,n_cells,mean_crps
climatology,cases,1,124,89.3079520986878
climatology,cases,2,123,103.42475099720882
climatology,cases,3,124,113.05294812702473
ensemble,cases,1,124,67.44003493685074
ensemble,cases,2,123,84.30571660923623
ensemble,cases,3,124,110.48349441325661
persistence,cases,1,124,53.69262261973756
persistence,cases,2,123,77.88634632834305
persistence,cases,3,124,119.57006942817561
reference,cases,1,124,88.77316403239475
reference,cases,2,123,104.39887029884547
reference,cases,3,124,123.59867347740837
reference_r1,cases,1,124,88.90538937998906
reference_r1,cases,2,123,107.0915089317432
reference_r1,cases,3,124,123.31473100255755
reference_r2,cases,1,124,85.23400114215418
reference_r2,cases,2,123,105.02945013702106
reference_r2,cases,3,124,123.07323281820119
reference_r3,cases,1,124,89.31386810688902
reference_r3,cases,2,123,104.24302759020553
reference_r3,cases,3,124,123.98080378473999
reference_r4,cases,1,124,91.63939750054675
reference_r4,cases,2,123,101.23149453641207
reference_r4,cases,3,124,124.0259263041347
