model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
climatology,cases,LA-AT,24,49.86212288869258,51.830388692579504,0.037102473498233215,0.0,566.0
climatology,cases,LA-BK,24,127.45375574002158,131.63754045307442,0.003236245954692557,0.002157497303128371,927.0
climatology,cases,LA-BL,24,17.582213486842107,31.24780701754386,0.8596491228070176,0.5526315789473685,228.0
climatology,cases,LA-CH,24,49.32193410448375,63.52221308103661,0.6898395721925134,0.5026737967914439,2431.0
climatology,cases,LA-HO,24,0.7135509999999999,1.0,0.6666666666666666,0.3333333333333333,6.0
climatology,cases,LA-KH,24,123.16693918560605,184.12073863636363,0.24337121212121213,0.1581439393939394,1056.0
climatology,cases,LA-LM,24,4.010508826086957,4.304347826086956,0.043478260869565216,0.0,23.0
climatology,cases,LA-LP,24,127.11326646856288,150.44835329341316,0.11002994011976049,0.07335329341317365,1336.0
climatology,cases,LA-OU,24,13.987912698113208,14.245283018867925,0.018867924528301886,0.0,53.0
climatology,cases,LA-PH,11,,,,,0.0
climatology,cases,LA-SL,24,100.42846483780068,115.61099656357388,0.029553264604810996,0.0006872852233676976,1455.0
climatology,cases,LA-SV,24,71.33025506770834,108.1875,0.9791666666666666,0.796875,192.0
climatology,cases,LA-VT,24,142.39452749231182,190.39411923388184,0.4933908821149177,0.41758834637172915,3707.0
climatology,cases,LA-XA,24,13.452908384,23.656,1.0,0.936,125.0
climatology,cases,LA-XE,24,16.300648323529412,17.86764705882353,0.058823529411764705,0.00980392156862745,102.0
climatology,cases,LA-XI,24,32.176105869047625,32.285714285714285,0.0,0.0,84.0
ensemble,cases,LA-AT,24,37.0807641484099,51.51678445229682,0.2420494699646643,0.1978798586572438,566.0
ensemble,cases,LA-BK,24,98.80354358252427,130.87270765911543,0.5026968716289104,0.15426105717367852,927.0
ensemble,cases,LA-BL,24,9.6204245,4.328947368421052,1.0,0.9342105263157895,228.0
ensemble,cases,LA-CH,24,49.645145903331965,61.34738790621144,0.958041958041958,0.6853146853146853,2431.0
ensemble,cases,LA-HO,24,0.47646933333333324,1.0,1.0,0.8333333333333334,6.0
ensemble,cases,LA-KH,24,133.4793645189394,184.66287878787878,0.45075757575757575,0.22253787878787878,1056.0
ensemble,cases,LA-LM,24,2.4205303913043474,4.304347826086956,0.2608695652173913,0.21739130434782608,23.0
ensemble,cases,LA-LP,24,123.57944025,152.23502994011977,0.2986526946107784,0.27395209580838326,1336.0
ensemble,cases,LA-OU,24,9.50009720754717,14.245283018867925,0.37735849056603776,0.3584905660377358,53.0
ensemble,cases,LA-PH,11,,,,,0.0
ensemble,cases,LA-SL,24,83.84696324948453,112.29209621993127,0.2652920962199313,0.23642611683848797,1455.0
ensemble,cases,LA-SV,24,24.656487843750003,19.106770833333332,1.0,0.9895833333333334,192.0
ensemble,cases,LA-VT,24,114.1984293647154,176.51240895602913,1.0,0.49069328297814946,3707.0
ensemble,cases,LA-XA,24,9.905315096,11.048,1.0,0.704,125.0
ensemble,cases,LA-XE,24,13.411968313725492,17.205882352941178,0.29411764705882354,0.13725490196078433,102.0
ensemble,cases,LA-XI,24,30.7632330952381,32.285714285714285,0.14285714285714285,0.13095238095238096,84.0
persistence,cases,LA-AT,24,23.55418514664311,24.840989399293285,0.09187279151943463,0.0,566.0
persistence,cases,LA-BK,24,85.63045912081985,86.4638619201726,0.0010787486515641855,0.0,927.0
persistence,cases,LA-BL,24,9.68146921491228,14.223684210526315,1.0,0.631578947368421,228.0
persistence,cases,LA-CH,24,55.14146860839161,75.34718222953516,0.7531879884821061,0.3048128342245989,2431.0
persistence,cases,LA-HO,24,0.2866356666666667,0.3333333333333333,1.0,0.6666666666666666,6.0
persistence,cases,LA-KH,24,146.2530190407197,173.56628787878788,0.026515151515151516,0.022727272727272728,1056.0
persistence,cases,LA-LM,24,1.1991237826086956,1.3478260869565217,0.17391304347826086,0.17391304347826086,23.0
persistence,cases,LA-LP,24,143.7344351976048,162.39745508982037,0.1309880239520958,0.006736526946107785,1336.0
persistence,cases,LA-OU,24,6.560872660377358,6.7924528301886795,0.0,0.0,53.0
persistence,cases,LA-PH,11,,,,,0.0
persistence,cases,LA-SL,24,98.58613297938145,102.48797250859107,0.003436426116838488,0.0,1455.0
persistence,cases,LA-SV,24,19.665302494791668,25.739583333333332,1.0,0.9166666666666666,192.0
persistence,cases,LA-VT,24,90.69811667952521,132.7998381440518,0.6957108173725385,0.47423792824386296,3707.0
persistence,cases,LA-XA,24,9.089999344,11.848,1.0,0.216,125.0
persistence,cases,LA-XE,24,11.014954813725492,11.803921568627452,0.21568627450980393,0.029411764705882353,102.0
persistence,cases,LA-XI,24,34.13578294047619,34.20238095238095,0.0,0.0,84.0
reference,cases,LA-AT,24,52.20103456492933,70.24867491166077,0.5145759717314488,0.10556537102473498,566.0
reference,cases,LA-BK,24,71.18035069929881,101.74285329018339,0.5569039913700108,0.31202804746494067,927.0
reference,cases,LA-BL,24,11.799297787280704,11.288377192982455,0.9320175438596491,0.731359649122807,228.0
reference,cases,LA-CH,24,70.71070405327026,66.49866310160428,0.9404566022213081,0.8277457836281366,2431.0
reference,cases,LA-HO,24,0.7794614583333334,1.0,0.5416666666666666,0.0,6.0
reference,cases,LA-KH,24,144.6913996328125,178.8404356060606,0.1553030303030303,0.13139204545454544,1056.0
reference,cases,LA-LM,24,2.823038891304348,3.869565217391304,0.43478260869565216,0.043478260869565216,23.0
reference,cases,LA-LP,24,126.93181008196107,151.3431886227545,0.32372754491017963,0.030875748502994012,1336.0
reference,cases,LA-OU,24,12.758153948113208,14.070754716981131,0.1320754716981132,0.018867924528301886,53.0
reference,cases,LA-PH,11,,,,,0.0
reference,cases,LA-SL,24,65.27977732147767,60.85463917525773,0.7405498281786942,0.7037800687285224,1455.0
reference,cases,LA-SV,24,22.571351442708334,25.279947916666668,0.3294270833333333,0.2890625,192.0
reference,cases,LA-VT,24,166.8062024455085,211.99973024008634,0.6561909900188831,0.5020906393309954,3707.0
reference,cases,LA-XA,24,11.293442552,15.692,0.514,0.158,125.0
reference,cases,LA-XE,24,10.291250085784313,14.752450980392156,0.4950980392156863,0.23774509803921567,102.0
reference,cases,LA-XI,24,32.46029578571429,33.00595238095238,0.125,0.11904761904761904,84.0
reference_r1,cases,LA-AT,24,51.31589062367491,69.13427561837456,0.5459363957597173,0.18197879858657243,566.0
reference_r1,cases,LA-BK,24,72.28005715857604,103.90129449838187,0.5577130528586839,0.31607335490830635,927.0
reference_r1,cases,LA-BL,24,11.883492482456141,11.366228070175438,0.9517543859649122,0.7280701754385965,228.0
reference_r1,cases,LA-CH,24,69.259202,68.49197860962566,0.8951048951048951,0.8753599341834636,2431.0
reference_r1,cases,LA-HO,24,0.7929970000000001,1.0,0.5,0.0,6.0
reference_r1,cases,LA-KH,24,147.10920091287878,179.79166666666666,0.1553030303030303,0.14583333333333334,1056.0
