model,weighting,location,n_cells,mean_crps,mae,coverage_10_90,coverage_25_75,observed_total
climatology,population,LA-AT,24,21.906170375,23.583333333333332,0.2083333333333333,0.125,566.0
climatology,population,LA-BK,24,36.6274375,38.416666666666664,0.25,0.2083333333333333,927.0
climatology,population,LA-BL,24,12.361217125,19.770833333333332,0.7083333333333334,0.5,228.0
climatology,population,LA-CH,24,38.36997479166667,49.708333333333336,0.75,0.5416666666666666,2431.0
climatology,population,LA-HO,24,0.2020723333333333,0.25,0.9166666666666666,0.8333333333333334,6.0
climatology,population,LA-KH,24,31.59191566666667,43.729166666666664,0.75,0.5833333333333334,1056.0
climatology,population,LA-LM,24,0.9015427083333332,0.9583333333333334,0.75,0.7083333333333334,23.0
climatology,population,LA-LP,24,43.227911541666664,49.5,0.5833333333333334,0.4583333333333333,1336.0
climatology,population,LA-OU,24,2.1485296249999997,2.2083333333333335,0.8333333333333334,0.7916666666666666,53.0
climatology,population,LA-PH,11,0.0036363636363636,0.0,1.0,1.0,0.0
climatology,population,LA-SL,24,52.09655854166667,60.416666666666664,0.125,0.0833333333333333,1455.0
climatology,population,LA-SV,24,43.52257779166667,62.5,0.7916666666666666,0.5833333333333334,192.0
climatology,population,LA-VT,24,80.17909370833333,107.14583333333331,0.5833333333333334,0.4583333333333333,3707.0
climatology,population,LA-XA,24,5.902487666666667,7.4375,0.9583333333333334,0.7916666666666666,125.0
climatology,population,LA-XE,24,3.6882480833333338,4.208333333333333,0.5833333333333334,0.4583333333333333,102.0
climatology,population,LA-XI,24,3.480641875,3.5,0.7916666666666666,0.7916666666666666,84.0
ensemble,population,LA-AT,24,16.488447333333333,23.25,0.5416666666666666,0.4166666666666667,566.0
ensemble,population,LA-BK,24,29.063302625,38.125,0.7083333333333334,0.5833333333333334,927.0
ensemble,population,LA-BL,24,6.998584791666667,6.125,1.0,0.7916666666666666,228.0
ensemble,population,LA-CH,24,37.505160333333336,45.9375,1.0,0.75,2431.0
ensemble,population,LA-HO,24,0.1976368749999999,0.25,1.0,0.9166666666666666,6.0
ensemble,population,LA-KH,24,29.389750083333332,39.375,0.9166666666666666,0.75,1056.0
ensemble,population,LA-LM,24,0.6109383333333334,0.9583333333333334,0.8333333333333334,0.7916666666666666,23.0
ensemble,population,LA-LP,24,43.47567441666666,51.604166666666664,0.6666666666666666,0.5833333333333334,1336.0
ensemble,population,LA-OU,24,1.5226592499999998,2.2083333333333335,0.9166666666666666,0.8333333333333334,53.0
ensemble,population,LA-PH,11,0.0202831818181817,0.0,1.0,1.0,0.0
ensemble,population,LA-SL,24,40.58728033333334,57.708333333333336,0.5833333333333334,0.5416666666666666,1455.0
ensemble,population,LA-SV,24,15.775381999999995,9.5,1.0,0.875,192.0
ensemble,population,LA-VT,24,58.62097691666667,73.22916666666667,1.0,0.7916666666666666,3707.0
ensemble,population,LA-XA,24,4.1155025,3.0,1.0,0.9583333333333334,125.0
ensemble,population,LA-XE,24,3.0347778750000005,4.083333333333333,0.7916666666666666,0.6666666666666666,102.0
ensemble,population,LA-XI,24,3.4821105416666667,3.5,0.9166666666666666,0.875,84.0
persistence,population,LA-AT,24,15.346857291666668,16.291666666666668,0.25,0.0833333333333333,566.0
persistence,population,LA-BK,24,38.44067654166667,39.125,0.1666666666666666,0.125,927.0
persistence,population,LA-BL,24,7.121955875,8.791666666666666,1.0,0.7916666666666666,228.0
persistence,population,LA-CH,24,41.61995612500001,56.708333333333336,0.875,0.3333333333333333,2431.0
persistence,population,LA-HO,24,0.3535624999999999,0.4166666666666667,0.75,0.5833333333333334,6.0
persistence,population,LA-KH,24,43.7257775,50.583333333333336,0.7083333333333334,0.5,1056.0
persistence,population,LA-LM,24,0.4121275416666666,0.4583333333333333,0.7083333333333334,0.7083333333333334,23.0
persistence,population,LA-LP,24,91.59999908333332,104.5,0.4166666666666667,0.1666666666666666,1336.0
