model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,population,371,28.576665035953056,37.05501059613432,-8.47834556018126,0.22880429458211382,27.814382130770326,1.8980928488291775,6.104959055873647,3.693318274363823,-8.456588711757949,3.9448351871136587,160,211,0,7,8,0.431266846361186
ensemble,reference_r1,population,371,28.576665035953056,36.88806652462817,-8.311401488675113,0.22531409942904002,27.710477347815,1.8910022392100458,6.082741905949646,3.7151547128941544,-8.290373948486783,3.9683951822087167,152,219,0,6,8,0.40970350404312667
ensemble,reference_r2,population,371,28.576665035953056,36.88202838346441,-8.305363347511356,0.2251872717292024,27.280344104120275,1.8616493371731726,5.5579243038036,3.581857377668708,-8.285139625365314,3.825607721596611,169,202,0,6,8,0.4555256064690027
ensemble,reference_r3,population,371,28.576665035953056,37.64238943238645,-9.065724396433398,0.24083817560830778,30.269656137787788,2.065644226124753,6.593376838629254,3.9028771196821115,-9.040929869051574,4.168556278247138,155,216,0,6,8,0.41778975741239893
ensemble,reference_r4,population,371,28.576665035953056,36.80755804405823,-8.230893008105179,0.22361964350508912,27.563618219241416,1.8809803641807805,6.232225894245668,3.6033203769112685,-8.209911404128118,3.84887575507795,152,219,0,5,8,0.40970350404312667
persistence,reference,population,371,33.74413311106453,37.05501059613432,-3.310877485069789,0.08935033162330808,47.644868553946694,3.2513533416083753,7.135465571890134,4.226385986016094,-3.29221053278662,4.506237309599257,174,197,0,4,8,0.46900269541778977
persistence,reference_r1,population,371,33.74413311106453,36.88806652462817,-3.1439334135636403,0.0852290106195891,47.547335269041355,3.2446975320444142,7.166052707474333,4.186997457479504,-3.1259957695154554,4.464284747006426,169,202,0,4,8,0.4555256064690027
persistence,reference_r2,population,371,33.74413311106453,36.88202838346441,-3.1378952723998816,0.08507924888986629,46.62301265501844,3.1816204471234055,6.543175979444894,4.1198489249812695,-3.120761446393989,4.392515713001238,177,194,0,4,8,0.477088948787062
persistence,reference_r3,population,371,33.74413311106453,37.64238943238645,-3.8982563213219232,0.10356027818914104,50.14938579720844,3.4222651471215912,7.564700174510561,4.495090348655545,-3.8765516900802472,4.793398092349074,167,204,0,4,8,0.4501347708894879
persistence,reference_r4,population,371,33.74413311106453,36.80755804405823,-3.063424932993705,0.08322814921127941,47.16197780087766,3.2184001923758387,7.3068976162735195,4.126191798340208,-3.0455332251567904,4.399004781691182,166,205,0,4,8,0.4474393530997305
climatology,reference,population,371,39.31154324476414,37.05501059613432,2.2565326486298227,-0.0608968291285612,40.167511525219616,2.7410879027558464,6.3383335860685746,5.007682570624922,2.2919837602573896,5.356923474825138,165,206,0,3,8,0.444743935309973
climatology,reference_r1,population,371,39.31154324476414,36.88806652462817,2.4234767201359713,-0.06569812268468822,39.92688001839434,2.7246668677617683,6.223855046515858,5.006560714100978,2.4581985235285533,5.355663835109118,153,218,0,3,8,0.4123989218328841
climatology,reference_r2,population,371,39.31154324476414,36.88202838346441,2.429514861299729,-0.06587259344957741,40.33944366187719,2.752820795384536,6.17379619820354,4.966077310895148,2.4634328466500195,5.312387997230632,175,196,0,3,8,0.4716981132075472
climatology,reference_r3,population,371,39.31154324476414,37.64238943238645,1.6691538123776861,-0.044342397960040136,41.77999069071734,2.8511257658486735,6.7086137027165265,5.1765464871264335,1.7076426029637615,5.537562772062595,167,204,0,3,8,0.4501347708894879
climatology,reference_r4,population,371,39.31154324476414,36.80755804405823,2.503985200705906,-0.06802910417769814,39.75242497632167,2.7127618084926644,6.321525982117083,4.906055054635754,2.538661067887219,5.2482907530812755,162,209,0,3,8,0.4366576819407008
