model,against,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,371,18.871890743935314,22.098446493261452,-3.226555749326145,0.1460082612734801,18.509594185195606,0.9609702488314382,2.3598636426041324,1.7035186116610055,-3.1738598646045726,1.809141613470242,157,214,0,6,8,0.42318059299191374
ensemble,reference_r1,371,18.871890743935314,21.91740396495957,-3.0455132210242577,0.13895410359243576,18.528772301836753,0.9619659270368254,2.3353280568859227,1.7096916092874748,-2.993089652655879,1.8179652805380588,152,219,0,6,8,0.40970350404312667
ensemble,reference_r2,371,18.871890743935314,22.27197036657682,-3.4000796226415098,0.15266182410802542,18.20280414268415,0.9450425034394273,2.267962353037936,1.555233140902688,-3.358807128069593,1.6472108997812487,167,204,0,7,8,0.4501347708894879
ensemble,reference_r3,371,18.871890743935314,22.38484446091644,-3.5129537169811313,0.15693447069130562,20.173800509019102,1.0473715361373823,2.510956415454554,1.952527704303318,-3.4492244903073277,2.0743318061292366,154,217,0,5,8,0.41509433962264153
ensemble,reference_r4,371,18.871890743935314,21.81956718059299,-2.9476764366576798,0.13509325882868262,18.35914512162711,0.9531593226378478,2.369823986358286,1.6293498611039945,-2.8943181873854895,1.7337386721859562,152,219,0,6,8,0.40970350404312667
climatology,reference,371,24.868768760107816,22.098446493261452,2.770322266846361,-0.1253627610289767,26.933138656511034,1.398298887463454,2.9292336653038307,1.717421253697457,2.844963421103908,1.8456747423875364,161,210,0,2,8,0.4339622641509434
climatology,reference_r1,371,24.868768760107816,21.91740396495957,2.951364795148249,-0.1346585024333511,26.861917377637013,1.3946012629020035,2.865669874822076,1.7241248973245116,3.0257336330526017,1.8523681378795611,151,220,0,2,8,0.40700808625336926
climatology,reference_r2,371,24.868768760107816,22.27197036657682,2.5967983935309964,-0.11659491058896032,26.921242280943847,1.397681258417965,2.9869431656434036,1.6439546679362051,2.6600161576388883,1.7682015698033697,172,199,0,2,8,0.4636118598382749
climatology,reference_r3,371,24.868768760107816,22.38484446091644,2.4839242991913753,-0.11096455476955702,28.139847054477297,1.4609480659304843,3.012674702299741,1.8817825283828333,2.569598795401153,2.020132632979153,162,209,0,2,8,0.4366576819407008
climatology,reference_r4,371,24.868768760107816,21.81956718059299,3.049201579514826,-0.1397461991009099,26.67745412898565,1.3850244082079912,2.890344246563348,1.6681973027662116,3.1245050983229916,1.795090771751961,157,214,0,2,8,0.42318059299191374
persistence,reference,371,24.879338288409706,22.098446493261452,2.7808917951482486,-0.12584105384947497,39.39684152167743,2.0453820986815443,3.92536046330976,2.9850022838177366,2.772783710554263,3.13865861654718,174,197,0,3,8,0.46900269541778977
persistence,reference_r1,371,24.879338288409706,21.91740396495957,2.9619343234501354,-0.1351407460566738,39.36756496688155,2.0438621356901554,3.9924868392038952,2.964933935627417,2.953553922502956,3.11595390459163,169,202,0,2,8,0.4555256064690027
persistence,reference_r2,371,24.879338288409706,22.27197036657682,2.607367921832884,-0.11706947696669534,39.06385465581542,2.0280942819880288,3.7065015749323758,2.991582424326441,2.587836447089244,3.1498605983643744,177,194,0,3,8,0.477088948787062
persistence,reference_r3,371,24.879338288409706,22.38484446091644,2.4944938274932618,-0.1114367281777906,40.644123500403005,2.110137752504444,4.001908615647924,3.1378694753534146,2.497419084851508,3.2998469862707256,167,204,0,3,8,0.4501347708894879
persistence,reference_r4,371,24.879338288409706,21.81956718059299,3.059771107816714,-0.14023060505701368,39.10226861795529,2.0300886355317536,4.022809215143081,2.8732158525491283,3.052325387773347,3.0199273521111167,166,205,0,2,8,0.4474393530997305
