model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
persistence,reference,cases,371,86.59836223090068,115.21612566729722,-28.61776343639655,0.2483833167505941,75.33454681481632,9.366041473955926,20.170421702820104,12.701520481196683,-17.212837536180974,10.728870153410316,174,197,0,5,8,0.46900269541778977
persistence,reference_r1,cases,371,86.59836223090068,114.04603459165241,-27.447672360751767,0.24067186955714437,76.06414420354538,9.456749385412857,20.627195913410528,12.839672465571157,-16.14370622146882,10.875525008035632,169,202,0,5,8,0.4555256064690027
persistence,reference_r2,cases,371,86.59836223090068,115.57236689984542,-28.97400466894476,0.25070010631566897,72.03494384719653,8.95581509643112,18.47516894925371,11.259805424922202,-18.57542747110868,9.628159034208673,177,194,0,6,8,0.477088948787062
persistence,reference_r3,cases,371,86.59836223090068,118.37414800333576,-31.77578577243511,0.26843518038701875,80.74502871024802,10.038704946018315,21.046193631790707,14.172063983746009,-18.777782760237294,11.933067665369947,167,204,0,5,8,0.4501347708894879
persistence,reference_r4,cases,371,86.59836223090068,112.87195317435523,-26.27359094345456,0.23277342337532947,74.23849307409068,9.229773516858428,20.622379309203385,12.75258644954125,-15.354433691909117,10.820167904975117,166,205,0,5,8,0.4474393530997305
climatology,reference,cases,371,102.89885811317224,115.21612566729722,-12.31726755412497,0.10690576065448365,53.90047816698014,6.701229851676819,9.642291019857609,12.414116688357831,-2.771436418508312,6.875072123696331,165,206,0,2,8,0.444743935309973
climatology,reference_r1,cases,371,102.89885811317224,114.04603459165241,-11.147176478480187,0.09774278008343917,54.28924373529994,6.74956351253337,9.893972487457209,12.550422718116549,-1.702305103796153,7.06691227201997,153,218,0,2,8,0.4123989218328841
climatology,reference_r2,cases,371,102.89885811317224,115.57236689984542,-12.673508786673182,0.1096586418244423,53.511181766821885,6.652830194630938,8.70561543959769,11.694834857851294,-4.134026353436018,6.432704981985473,175,196,0,3,8,0.4716981132075472
climatology,reference_r3,cases,371,102.89885811317224,118.37414800333576,-15.475289890163536,0.13073200653344874,56.26226273454594,6.994861036141843,10.46244303722668,13.572585866742738,-4.336381642564632,7.766756376232121,167,204,0,3,8,0.4501347708894879
climatology,reference_r4,cases,371,102.89885811317224,112.87195317435523,-9.973095061182978,0.08835760151839822,54.30985479371827,6.752126002601077,9.818767000462092,12.1550643169156,-0.9130325742364498,6.887744818320082,162,209,0,2,8,0.4366576819407008
hier_nb,reference,cases,371,112.25809567553495,115.21612566729722,-2.958029991762266,0.025673749873381446,48.586710283992886,6.040590444136832,8.632993496952817,13.797085646833374,5.159932237147071,7.5601649885979265,151,220,0,1,8,0.40700808625336926
hier_nb,reference_r1,cases,371,112.25809567553495,114.04603459165241,-1.7879389161174797,0.015677343999896842,49.53561774226052,6.158564295242987,8.944914124851268,13.956161540046308,6.229063551859233,7.839402202118485,150,221,0,2,8,0.40431266846361186
hier_nb,reference_r2,cases,371,112.25809567553495,115.57236689984542,-3.3142712243104757,0.028677021274320813,48.617180542114234,6.044378688884468,7.414909129749494,13.348246881029501,3.797342302219367,7.323793253272939,160,211,0,1,8,0.431266846361186
hier_nb,reference_r3,cases,371,112.25809567553495,118.37414800333576,-6.116052327800831,0.05166712859997491,49.7228504181434,6.181842181441858,9.575780891564284,14.615311106189921,3.5949870130907513,8.022717810528269,153,217,1,1,8,0.4123989218328841
hier_nb,reference_r4,cases,371,112.25809567553495,112.87195317435523,-0.6138574988202737,0.0054385299585633096,49.57447983436409,6.163395862987085,8.892726697805129,13.589797891446127,7.0183360814189335,7.693127579877564,144,227,0,1,8,0.3881401617250674
