location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
LA-AT,200801,1,ensemble,reference,3.2534620000000003,2.8567205,200801,0.3967415000000001
LA-AT,200802,2,ensemble,reference,1.47094,1.2271735,200801,0.2437665
LA-AT,200803,3,ensemble,reference,0.0585770000000001,0.07830275,200801,-0.0197257499999999
LA-AT,200804,1,ensemble,reference,0.075515,0.50567575,200804,-0.43016075
LA-AT,200805,2,ensemble,reference,3.063624,1.56358275,200804,1.50004125
LA-AT,200806,3,ensemble,reference,8.038071,4.13374575,200804,3.90432525
LA-AT,200807,1,ensemble,reference,2.6809190000000003,3.5250217500000014,200807,-0.8441027500000011
LA-AT,200808,2,ensemble,reference,5.30663,6.766005999999999,200807,-1.459375999999999
LA-AT,200809,3,ensemble,reference,15.272590999999998,17.3033775,200807,-2.0307865000000014
LA-AT,200810,1,ensemble,reference,32.19433,30.770417750000004,200810,1.4239122499999972
LA-AT,200811,2,ensemble,reference,30.803552,33.719483249999996,200810,-2.9159312499999963
LA-AT,200812,3,ensemble,reference,12.050458,17.15468825,200810,-5.104230249999999
LA-AT,200901,1,ensemble,reference,9.470793,8.29974025,200901,1.1710527500000012
LA-AT,200902,2,ensemble,reference,35.072083000000006,38.76478525,200901,-3.692702249999997
LA-AT,200903,3,ensemble,reference,65.5045,58.79363725,200901,6.71086274999999
LA-AT,200904,1,ensemble,reference,63.583589,50.53175225,200904,13.051836750000009
LA-AT,200905,2,ensemble,reference,5.456245000000001,48.4498705,200904,-42.9936255
LA-AT,200906,3,ensemble,reference,13.859645,39.38997125,200904,-25.53032625
LA-AT,200907,1,ensemble,reference,49.327618,48.98766975,200907,0.339948249999999
LA-AT,200908,2,ensemble,reference,9.044313000000002,14.9626135,200907,-5.918300499999997
LA-AT,200909,3,ensemble,reference,6.414878,10.2212285,200907,-3.8063505000000006
LA-AT,200910,1,ensemble,reference,3.6084700000000023,6.4422120000000005,200910,-2.833741999999998
LA-AT,200911,2,ensemble,reference,6.639325,6.16758375,200910,0.47174125
LA-AT,200912,3,ensemble,reference,3.499436,5.693875249999999,200910,-2.1944392499999985
LA-BK,200801,1,ensemble,reference,0.6625920000000001,0.95601925,200801,-0.2934272499999999
LA-BK,200802,2,ensemble,reference,0.0429159999999999,4.6500000000000046e-05,200801,0.0428694999999999
LA-BK,200803,3,ensemble,reference,0.054956,2.8000000000000247e-05,200801,0.054928
LA-BK,200804,1,ensemble,reference,0.0539479999999999,0.0264175,200804,0.0275304999999999
LA-BK,200805,2,ensemble,reference,10.816275,10.713214999999998,200804,0.103060000000001
LA-BK,200806,3,ensemble,reference,51.450245,50.8679235,200804,0.582321499999999
LA-BK,200807,1,ensemble,reference,3.9635700000000007,1.96930125,200807,1.9942687500000007
LA-BK,200808,2,ensemble,reference,6.212185999999999,5.856817999999999,200807,0.3553680000000003
LA-BK,200809,3,ensemble,reference,16.705795000000002,21.43587975,200807,-4.73008475
LA-BK,200810,1,ensemble,reference,31.341007,21.940763500000003,200810,9.400243499999998
LA-BK,200811,2,ensemble,reference,39.713802,47.66615875,200810,-7.95235675
LA-BK,200812,3,ensemble,reference,4.030754000000001,2.97199575,200810,1.0587582500000008
LA-BK,200901,1,ensemble,reference,0.6912400000000001,0.45439075,200901,0.23684925
LA-BK,200902,2,ensemble,reference,0.485103,0.30116375,200901,0.18393925
LA-BK,200903,3,ensemble,reference,0.6835800000000001,0.6673817500000001,200901,0.0161982499999999
LA-BK,200904,1,ensemble,reference,1.9620040000000003,1.287469,200904,0.6745350000000003
LA-BK,200905,2,ensemble,reference,70.34517600000001,43.308491,200904,27.036685000000013
LA-BK,200906,3,ensemble,reference,207.198696,146.54898674999998,200904,60.64970925000003
LA-BK,200907,1,ensemble,reference,116.99255300000002,188.15685825,200907,-71.16430524999998
LA-BK,200908,2,ensemble,reference,64.89166900000001,90.8190615,200907,-25.927392499999996
LA-BK,200909,3,ensemble,reference,34.026359,38.901625249999995,200907,-4.875266249999996
LA-BK,200910,1,ensemble,reference,14.438282,20.581325999999997,200910,-6.143043999999998
LA-BK,200911,2,ensemble,reference,6.228085999999999,12.810468749999998,200910,-6.582382749999999
LA-BK,200912,3,ensemble,reference,4.7061530000000005,4.833049750000001,200910,-0.1268967500000002
LA-BL,200801,1,ensemble,reference,4.752316,5.3708495,200801,-0.6185334999999998
LA-BL,200802,2,ensemble,reference,2.948835,5.84484275,200801,-2.89600775
LA-BL,200803,3,ensemble,reference,1.918908,0.42230275,200801,1.49660525
LA-BL,200804,1,ensemble,reference,2.1714330000000004,1.6217134999999998,200804,0.5497195000000006
LA-BL,200805,2,ensemble,reference,6.1070899999999995,6.6790910000000006,200804,-0.5720010000000011
LA-BL,200806,3,ensemble,reference,7.76793,7.575282,200804,0.1926480000000001
LA-BL,200807,1,ensemble,reference,11.812259,20.087886249999997,200807,-8.275627249999998
LA-BL,200808,2,ensemble,reference,11.166286000000005,20.6089715,200807,-9.442685499999994
LA-BL,200809,3,ensemble,reference,11.619613,18.523956,200807,-6.904342999999999
LA-BL,200810,1,ensemble,reference,12.084641,9.729708250000002,200810,2.354932749999998
LA-BL,200811,2,ensemble,reference,5.961112,4.276498999999999,200810,1.6846130000000006
LA-BL,200812,3,ensemble,reference,4.44173,0.9770205,200810,3.4647094999999997
LA-BL,200901,1,ensemble,reference,1.3089369999999994,0.7456575000000001,200901,0.5632794999999993
LA-BL,200902,2,ensemble,reference,1.4093089999999997,1.68273325,200901,-0.2734242500000003
LA-BL,200903,3,ensemble,reference,2.109197,1.1302832499999995,200901,0.9789137500000004
LA-BL,200904,1,ensemble,reference,2.000541,0.8048480000000001,200904,1.195693
LA-BL,200905,2,ensemble,reference,8.203175000000002,3.829161000000001,200904,4.374014000000001
LA-BL,200906,3,ensemble,reference,8.830447,5.61813075,200904,3.21231625
LA-BL,200907,1,ensemble,reference,12.158997,21.985704500000004,200907,-9.826707500000005
LA-BL,200908,2,ensemble,reference,13.841154999999995,6.174969249999998,200907,7.666185749999997
LA-BL,200909,3,ensemble,reference,17.565820000000002,4.862042999999998,200907,12.703777000000004
LA-BL,200910,1,ensemble,reference,8.506027,5.49467175,200910,3.0113552499999994
LA-BL,200911,2,ensemble,reference,5.505993,2.1073274999999994,200910,3.398665500000001
LA-BL,200912,3,ensemble,reference,2.3966450000000012,0.712077,200910,1.6845680000000014
LA-CH,200801,1,ensemble,reference,30.342163999999997,29.3396385,200801,1.0025254999999973
LA-CH,200802,2,ensemble,reference,43.361878,43.54995375,200801,-0.1880757500000029
LA-CH,200803,3,ensemble,reference,44.720146,50.399487500000006,200801,-5.679341500000007
LA-CH,200804,1,ensemble,reference,23.450320000000005,27.6368465,200804,-4.186526499999996
LA-CH,200805,2,ensemble,reference,38.683053,52.862192500000006,200804,-14.179139500000003
LA-CH,200806,3,ensemble,reference,137.596211,122.0008095,200804,15.595401500000008
LA-CH,200807,1,ensemble,reference,50.272617999999994,96.85658924999996,200807,-46.58397124999996
LA-CH,200808,2,ensemble,reference,51.63223400000001,88.99043875000001,200807,-37.35820475
LA-CH,200809,3,ensemble,reference,55.012531,120.46265225,200807,-65.45012125
LA-CH,200810,1,ensemble,reference,37.771174,47.67266175,200810,-9.90148775
LA-CH,200811,2,ensemble,reference,35.19261,44.33711,200810,-9.1445
LA-CH,200812,3,ensemble,reference,32.897906,32.772664750000004,200810,0.1252412499999948
LA-CH,200901,1,ensemble,reference,12.723594,10.049703,200901,2.673891000000001
LA-CH,200902,2,ensemble,reference,18.684742999999997,25.96861525,200901,-7.283872250000002
LA-CH,200903,3,ensemble,reference,23.65808,21.53617675,200901,2.1219032500000026
LA-CH,200904,1,ensemble,reference,46.882259000000005,36.957363,200904,9.924896000000004
LA-CH,200905,2,ensemble,reference,21.76912999999999,75.32216250000002,200904,-53.55303250000003
LA-CH,200906,3,ensemble,reference,40.357439,79.6897195,200904,-39.3322805
LA-CH,200907,1,ensemble,reference,34.49501999999998,71.15796999999995,200907,-36.66294999999997
LA-CH,200908,2,ensemble,reference,34.257270000000005,65.9228705,200907,-31.665600499999996
LA-CH,200909,3,ensemble,reference,31.720930999999993,61.406306249999965,200907,-29.68537524999997
LA-CH,200910,1,ensemble,reference,23.95056000000001,20.148328999999997,200910,3.802231000000013
LA-CH,200911,2,ensemble,reference,19.310257999999997,16.137065750000005,200910,3.1731922499999925
LA-CH,200912,3,ensemble,reference,19.584947999999997,12.705397,200910,6.8795509999999975
LA-HO,200801,1,ensemble,reference,0.141788,0.0033932499999999,200801,0.1383947500000001
LA-HO,200802,2,ensemble,reference,0.1485729999999999,0.00093875,200801,0.1476342499999999
LA-HO,200803,3,ensemble,reference,0.1514580000000001,0.0085314999999999,200801,0.1429265000000001
LA-HO,200804,1,ensemble,reference,0.038531,0.013471,200804,0.02506
LA-HO,200805,2,ensemble,reference,0.036947,0.022683,200804,0.014264
LA-HO,200806,3,ensemble,reference,0.088049,0.03302,200804,0.055029
LA-HO,200807,1,ensemble,reference,0.134926,0.3769914999999997,200807,-0.2420654999999997
