model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,unweighted,1824,12.520757286732456,13.693380938322369,-1.1726236515899122,0.08563434091782274,14.751768823533775,0.3454074343963728,0.6247349859109967,0.8081086083087995,-1.1726236515899122,0.8639044410269225,729,1095,0,5,8,0.3996710526315789
ensemble,reference_r1,unweighted,1824,12.520757286732456,13.712073897478069,-1.1913166107456141,0.08688084819647302,14.833076562127854,0.34731122625484795,0.6297885482464115,0.814360625779021,-1.191316610745614,0.870588128841121,734,1090,0,5,8,0.4024122807017544
ensemble,reference_r2,unweighted,1824,12.520757286732456,13.679676162280701,-1.1589188755482456,0.08471829755325355,14.748366201860906,0.34532776321684805,0.6275283603504728,0.8000758944015687,-1.1589188755482456,0.8553171086478278,740,1084,0,5,8,0.4057017543859649
ensemble,reference_r3,unweighted,1824,12.520757286732456,13.697216504385967,-1.1764592176535087,0.08589038636257218,14.751262949850167,0.3453955895435098,0.6206831183140602,0.8086573479011987,-1.1764592176535087,0.8644910683267271,730,1094,0,5,8,0.40021929824561403
ensemble,reference_r4,unweighted,1824,12.520757286732456,13.684557189144737,-1.1637999024122807,0.08504476150207219,14.732156356959432,0.3449482154482815,0.6215657476200971,0.810163600307391,-1.1637999024122805,0.8661013198815772,725,1099,0,5,8,0.39747807017543857
persistence,reference,unweighted,1824,15.108275474232457,13.693380938322369,1.414894535910088,-0.10332689510961868,23.05766653230617,0.5398870830585009,0.9905110900916297,1.1725040833156102,1.4148945359100877,1.2534595898172747,738,1086,0,2,8,0.40460526315789475
persistence,reference_r1,unweighted,1824,15.108275474232457,13.712073897478069,1.3962015767543865,-0.1018227867785324,23.11827376455738,0.5413061799036439,0.9950347934918081,1.1724389810034863,1.396201576754386,1.2533899925181162,733,1091,0,2,8,0.4018640350877193
persistence,reference_r2,unweighted,1824,15.108275474232457,13.679676162280701,1.4285993119517544,-0.1044322464219487,23.060944684971076,0.5399638398403547,0.9933818879932034,1.166834637489248,1.4285993119517544,1.2473986972872397,735,1089,0,2,8,0.4029605263157895
persistence,reference_r3,unweighted,1824,15.108275474232457,13.697216504385967,1.4110589698464913,-0.10301793575319906,23.021493328267727,0.5390401003169546,0.987548501095616,1.1705471591380707,1.4110589698464913,1.251367549873204,733,1091,0,2,8,0.4018640350877193
persistence,reference_r4,unweighted,1824,15.108275474232457,13.684557189144737,1.4237182850877197,-0.10403831599440294,23.06696683034126,0.5401048462380796,0.986476953986168,1.180764478754301,1.4237182850877195,1.2622903239918035,739,1085,0,2,8,0.40515350877192985
climatology,reference,unweighted,1824,16.351214800438594,13.693380938322369,2.657833862116228,-0.19409624796736624,17.280759021543226,0.40462284282349353,0.6348538713987611,1.1340672185769856,2.6578338621162283,1.2123688529962158,580,1244,0,1,8,0.31798245614035087
climatology,reference_r1,unweighted,1824,16.351214800438594,13.712073897478069,2.6391409029605266,-0.19246839848536101,17.35188374261581,0.40628820293872575,0.6345758018455441,1.1429821637265434,2.639140902960526,1.2218993302452235,580,1244,0,1,8,0.31798245614035087
climatology,reference_r2,unweighted,1824,16.351214800438594,13.679676162280701,2.6715386381578945,-0.19529253517888012,17.246599276899023,0.4038230045194682,0.6350518488280036,1.133060035776085,2.6715386381578945,1.2112921292914098,585,1239,0,1,8,0.3207236842105263
climatology,reference_r3,unweighted,1824,16.351214800438594,13.697216504385967,2.6539982960526314,-0.19376187090295272,17.315603082561992,0.4054387041526951,0.6319512604517662,1.139530716579487,2.6539982960526314,1.2182095780415543,576,1248,0,1,8,0.3157894736842105
climatology,reference_r4,unweighted,1824,16.351214800438594,13.684557189144737,2.66665761129386,-0.19486619657734927,17.258252665501836,0.40409586448002427,0.6384824332601795,1.1212085620498315,2.66665761129386,1.198622370945126,581,1243,0,1,8,0.31853070175438597
