location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
TH-10,200801,1,ensemble,reference,42.070685999999995,47.74256775,200801,-5.671881750000004
TH-10,200802,2,ensemble,reference,35.802745999999985,31.0033515,200801,4.799394499999984
TH-10,200803,3,ensemble,reference,43.07803099999998,19.35134675,200801,23.72668424999998
TH-10,200804,1,ensemble,reference,37.92657399999999,19.373496000000003,200804,18.553077999999985
TH-10,200805,2,ensemble,reference,47.899951999999985,43.61370824999999,200804,4.286243749999997
TH-10,200806,3,ensemble,reference,79.26600300000001,135.724399,200804,-56.45839599999999
TH-10,200807,1,ensemble,reference,76.27224000000001,71.59173775,200807,4.680502250000018
TH-10,200808,2,ensemble,reference,72.49671800000004,32.203679,200807,40.29303900000004
TH-10,200809,3,ensemble,reference,63.20305300000001,25.714374,200807,37.48867900000001
TH-10,200810,1,ensemble,reference,96.862674,160.36443975,200810,-63.501765750000004
TH-10,200811,2,ensemble,reference,64.67057500000001,114.615438,200810,-49.944862999999984
TH-10,200812,3,ensemble,reference,55.70015900000001,104.476524,200810,-48.776364999999984
TH-10,200901,1,ensemble,reference,39.673280000000005,58.5545575,200901,-18.881277499999996
TH-10,200902,2,ensemble,reference,41.99721799999999,27.1673235,200901,14.829894499999991
TH-10,200903,3,ensemble,reference,67.72721899999999,20.162043500000003,200901,47.56517549999999
TH-10,200904,1,ensemble,reference,63.20235499999998,77.72794999999999,200904,-14.52559500000001
TH-10,200905,2,ensemble,reference,46.15659600000001,144.92277075,200904,-98.76617475
TH-10,200906,3,ensemble,reference,81.53031400000003,194.5005365,200904,-112.97022249999998
TH-10,200907,1,ensemble,reference,83.98774100000003,56.96342,200907,27.02432100000003
TH-10,200908,2,ensemble,reference,74.58471399999996,41.797345750000005,200907,32.78736824999996
TH-10,200909,3,ensemble,reference,80.83156000000002,38.77476075,200907,42.056799250000026
TH-10,200910,1,ensemble,reference,60.70540200000002,66.25407874999999,200910,-5.54867674999997
TH-10,200911,2,ensemble,reference,59.045343,116.8955615,200910,-57.8502185
TH-10,200912,3,ensemble,reference,72.067397,212.08312875,200910,-140.01573175
TH-11,200801,1,ensemble,reference,8.091092,6.83924975,200801,1.2518422500000002
TH-11,200802,2,ensemble,reference,17.399445,7.2463437499999985,200801,10.153101250000002
TH-11,200803,3,ensemble,reference,15.992502000000002,14.11907575,200801,1.8734262500000014
TH-11,200804,1,ensemble,reference,9.412432,8.76310925,200804,0.6493227500000014
TH-11,200805,2,ensemble,reference,12.814239,14.2848435,200804,-1.4706044999999985
TH-11,200806,3,ensemble,reference,41.103309,22.68376875,200804,18.419540250000004
TH-11,200807,1,ensemble,reference,37.546936,46.003342,200807,-8.456406000000001
TH-11,200808,2,ensemble,reference,36.270796,56.840161,200807,-20.569365000000005
TH-11,200809,3,ensemble,reference,35.06789699999999,64.871561,200807,-29.803664000000012
TH-11,200810,1,ensemble,reference,37.371993,23.59912525,200810,13.772867750000003
TH-11,200811,2,ensemble,reference,19.897689,21.09029075,200810,-1.1926017500000015
TH-11,200812,3,ensemble,reference,16.459749000000002,21.676958,200810,-5.217208999999997
TH-11,200901,1,ensemble,reference,9.865803,7.0113035,200901,2.8544994999999993
TH-11,200902,2,ensemble,reference,12.091595000000002,4.877626,200901,7.213969000000001
TH-11,200903,3,ensemble,reference,20.477187,8.16718425,200901,12.31000275
TH-11,200904,1,ensemble,reference,12.910212,15.803461249999998,200904,-2.8932492499999984
TH-11,200905,2,ensemble,reference,12.183526,39.03715325,200904,-26.853627250000002
TH-11,200906,3,ensemble,reference,16.039310999999998,50.352269500000006,200904,-34.31295850000001
TH-11,200907,1,ensemble,reference,12.95721499999999,12.020338499999998,200907,0.9368764999999932
TH-11,200908,2,ensemble,reference,15.305312,14.81781325,200907,0.4874987500000003
TH-11,200909,3,ensemble,reference,15.029353,8.561808500000001,200907,6.467544499999999
TH-11,200910,1,ensemble,reference,11.919912000000004,8.36803775,200910,3.5518742500000045
