model,against,weighting,split_first_period,n_cells,mean_diff,crps_model,crps_against
ensemble,reference,unweighted,200801,189,-4.2522344986772485,14.890929582010582,19.143164080687832
ensemble,reference,unweighted,200804,189,-0.82142262037037,33.665149386243385,34.486572006613756
ensemble,reference,unweighted,200807,189,-9.703978596560848,82.360547989418,92.06452658597884
ensemble,reference,unweighted,200810,189,-10.210859407407405,74.92641112698412,85.13727053439153
ensemble,reference,unweighted,200901,189,1.2404753121693117,22.73749301058201,21.497017698412698
ensemble,reference,unweighted,200904,189,-2.461206822751323,43.43532618518518,45.89653300793651
ensemble,reference,unweighted,200907,189,-6.145139943121693,90.41629621693122,96.5614361600529
ensemble,reference,unweighted,200910,189,-6.885520960317462,58.88970648148148,65.77522744179893
ensemble,reference_r1,unweighted,200801,189,-4.163192735449735,14.890929582010582,19.05412231746032
ensemble,reference_r1,unweighted,200804,189,-0.839285687830687,33.665149386243385,34.504435074074074
ensemble,reference_r1,unweighted,200807,189,3.9521090370370353,82.360547989418,78.40843895238095
ensemble,reference_r1,unweighted,200810,189,-10.711424597883596,74.92641112698412,85.63783572486773
ensemble,reference_r1,unweighted,200901,189,1.0628091111111115,22.73749301058201,21.6746838994709
ensemble,reference_r1,unweighted,200904,189,-2.644307830687831,43.43532618518518,46.07963401587301
ensemble,reference_r1,unweighted,200907,189,-6.768068650793651,90.41629621693122,97.18436486772487
ensemble,reference_r1,unweighted,200910,189,-6.926574031746036,58.88970648148148,65.81628051322751
ensemble,reference_r2,unweighted,200801,189,-4.424753888888889,14.890929582010582,19.31568347089947
ensemble,reference_r2,unweighted,200804,189,-0.7220354021164026,33.665149386243385,34.38718478835979
ensemble,reference_r2,unweighted,200807,189,3.7215084550264526,82.360547989418,78.63903953439153
ensemble,reference_r2,unweighted,200810,189,-9.422609560846558,74.92641112698412,84.34902068783069
ensemble,reference_r2,unweighted,200901,189,1.366480243386244,22.73749301058201,21.371012767195765
ensemble,reference_r2,unweighted,200904,189,-2.4288417354497356,43.43532618518518,45.86416792063492
ensemble,reference_r2,unweighted,200907,189,-6.385096248677251,90.41629621693122,96.80139246560847
