model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,unweighted,1512,52.665232497354495,57.57021843948414,-4.904985942129629,0.08520005786126372,34.87365554014516,0.8968536458780773,1.3052605899349972,1.354872277729379,-4.90498594212963,1.4484193903146758,696,816,0,7,8,0.4603174603174603
ensemble,reference_r1,unweighted,1512,52.665232497354495,56.044974420634915,-3.3797419232804238,0.06030410323527691,35.887776636411814,0.9229340262816063,1.2718819669918917,1.5757697594174631,-3.3797419232804238,1.6845687314798135,645,867,0,6,8,0.42658730158730157
ensemble,reference_r2,unweighted,1512,52.665232497354495,55.78683519775132,-3.1216027003968265,0.05595590230798131,36.027993797608296,0.9265400225640716,1.3591352093238167,1.4679087872045213,-3.121602700396826,1.5692605019297639,638,874,0,6,8,0.421957671957672
ensemble,reference_r3,unweighted,1512,52.665232497354495,55.68342949007937,-3.018196992724867,0.05420278564671743,36.372400348871864,0.9353972033322149,1.3128547847070577,1.5236062304812699,-3.0181969927248673,1.6288035733757267,640,872,0,6,8,0.42328042328042326
ensemble,reference_r4,unweighted,1512,52.665232497354495,62.765634649470904,-10.100402152116402,0.16092248901049788,48.219625068226655,1.240074946990573,1.9011727498913242,5.5769315628555365,-10.100402152116402,5.961990622197473,712,800,0,7,8,0.4708994708994709
persistence,reference,unweighted,1512,60.67262832142856,57.57021843948414,3.102409881944445,-0.05388914556934621,132.45597273015179,3.4064000524583187,1.5714735295038715,7.120967925707386,3.1024098819444457,7.612634925772386,716,796,0,4,8,0.47354497354497355
persistence,reference_r1,unweighted,1512,60.67262832142856,56.044974420634915,4.62765390079365,-0.08257036333109324,131.71053210241695,3.3872293881154305,1.6531281933106485,6.456332800838875,4.62765390079365,6.902110090208477,689,822,1,4,8,0.4556878306878307
persistence,reference_r2,unweighted,1512,60.67262832142856,55.78683519775132,4.885793123677249,-0.08757967908303521,130.99749605332107,3.368892079612226,1.666380809387949,6.435157429275885,4.885793123677248,6.879472665800949,685,827,0,4,8,0.453042328042328
persistence,reference_r3,unweighted,1512,60.67262832142856,55.68342949007937,4.989198831349206,-0.08959934538942282,130.88024606230576,3.365876735212778,1.7048959922489006,6.381389006543745,4.989198831349207,6.821991804060693,688,824,0,4,8,0.455026455026455
persistence,reference_r4,unweighted,1512,60.67262832142856,62.765634649470904,-2.0930063280423283,0.03334637401073404,141.10293049474603,3.6287758108012547,1.8574027514824767,10.475388267599799,-2.0930063280423283,11.198661111654248,728,783,1,4,8,0.48148148148148145
climatology,reference,unweighted,1512,65.5617181164021,57.57021843948414,7.991499676917988,-0.13881308588951002,89.23372061373499,2.294843670046781,5.145489999941476,2.3651663851804425,7.9914996769179885,2.528469221731378,783,729,0,1,8,0.5178571428571429
climatology,reference_r1,unweighted,1512,65.5617181164021,56.044974420634915,9.516743695767193,-0.1698054784420291,90.84851569097633,2.336371718366886,5.280646097945721,3.336360595498328,9.516743695767193,3.566719504882235,749,762,1,1,8,0.49537037037037035
climatology,reference_r2,unweighted,1512,65.5617181164021,55.78683519775132,9.774882918650793,-0.17521845223879606,92.13813355459003,2.3695371111213115,5.425784537157204,3.358551713356775,9.774882918650793,3.590442807755329,748,764,0,1,8,0.4947089947089947
climatology,reference_r3,unweighted,1512,65.5617181164021,55.68342949007937,9.87828862632275,-0.17740086623225437,92.9100574932293,2.3893888527293066,5.3885355588022765,3.3755710157057828,9.87828862632275,3.608637207284445,743,768,1,1,8,0.4914021164021164
climatology,reference_r4,unweighted,1512,65.5617181164021,62.765634649470904,2.7960834669312162,-0.04454799959478728,88.57090680139783,2.277797938105986,4.640231650402957,4.391927753337423,2.7960834669312167,4.695168262986414,813,698,1,2,8,0.5376984126984127
