location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
VN-01,200801,1,ensemble,reference,0.002148,0.0003637499999999,200801,0.0017842500000001002
VN-01,200802,2,ensemble,reference,0.002564,0.0001342499999999,200801,0.0024297500000001
VN-01,200803,3,ensemble,reference,0.002549,0.0002057499999999,200801,0.0023432500000001
VN-01,200804,1,ensemble,reference,0.002058,0.00321325,200804,-0.00115525
VN-01,200805,2,ensemble,reference,0.003874,0.18270725,200804,-0.17883325
VN-01,200806,3,ensemble,reference,0.0058269999999999,0.0212909999999999,200804,-0.015464
VN-01,200807,1,ensemble,reference,0.0121229999999999,0.06945225,200807,-0.057329250000000095
VN-01,200808,2,ensemble,reference,0.02616,0.0737034999999999,200807,-0.04754349999999989
VN-01,200809,3,ensemble,reference,0.0094999999999999,0.1302735,200807,-0.12077350000000009
VN-01,200810,1,ensemble,reference,0.0095609999999999,0.022795,200810,-0.0132340000000001
VN-01,200811,2,ensemble,reference,0.0062539999999999,0.0072467499999999,200810,-0.0009927499999999997
VN-01,200812,3,ensemble,reference,0.004054,0.0004727499999999,200810,0.0035812500000001004
VN-01,200901,1,ensemble,reference,0.001666,0.00040675,200901,0.00125925
VN-01,200902,2,ensemble,reference,0.00383,0.0001784999999999,200901,0.0036515000000001
VN-01,200903,3,ensemble,reference,0.002998,0.0014687499999999,200901,0.0015292500000000998
VN-01,200904,1,ensemble,reference,0.002571,0.00880075,200904,-0.006229749999999999
VN-01,200905,2,ensemble,reference,0.0069509999999999,0.0076377499999999,200904,-0.0006867499999999999
VN-01,200906,3,ensemble,reference,0.006066,0.0239392499999999,200904,-0.017873249999999903
VN-01,200907,1,ensemble,reference,0.014882,0.0571124999999999,200907,-0.0422304999999999
VN-01,200908,2,ensemble,reference,0.0299829999999999,0.0738284999999999,200907,-0.043845499999999996
VN-01,200909,3,ensemble,reference,0.014877,0.0944479999999999,200907,-0.07957099999999989
VN-01,200910,1,ensemble,reference,0.009325,0.0243559999999999,200910,-0.015030999999999899
VN-01,200911,2,ensemble,reference,0.0059609999999999,0.0099064999999999,200910,-0.003945499999999999
VN-01,200912,3,ensemble,reference,0.0046739999999999,0.0003382499999999,200910,0.004335749999999999
VN-02,200801,1,ensemble,reference,0.0078369999999999,6.900000000000005e-05,200801,0.0077679999999999
VN-02,200802,2,ensemble,reference,0.0060449999999999,2.3000000000000346e-05,200801,0.0060219999999999
VN-02,200803,3,ensemble,reference,0.0189199999999999,7.174999999999955e-05,200801,0.0188482499999999
VN-02,200804,1,ensemble,reference,0.008856,0.0036949999999999,200804,0.0051610000000000995
VN-02,200805,2,ensemble,reference,0.0214499999999999,0.1667112499999999,200804,-0.14526125
VN-02,200806,3,ensemble,reference,0.0603829999999999,0.01100425,200804,0.0493787499999999
VN-02,200807,1,ensemble,reference,0.046242,0.3715155,200807,-0.3252735
